소속 ,국회 ,직위 ,국회의원 ,성명 ,한선교 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"274,920","35,704",0,"310,624",,,
,,,,,,,
배우자 ,임야 ,"강원도 고성군 죽왕면 문암진리 산 19-1번지 8,926.00m² ","274,920","35,704",0,"310,624",가액변동 
,,,,,,,
▶ 건물(소계) ,"518,000","259,000","259,000","518,000",,,
,,,,,,,
본인 ,아파트 ,경기도 용인시 수지구 성복동 버들치마을 힐스테이트 3차 아파트 건물 83.79m² (건물 83.79m² 감소) ,"518,000",0,"259,000","259,000",지분 수정 
,,,,,,,
배우자 ,아파트 ,경기도 용인시 수지구 성복동 버들치마을 힐스테이트 3차 아파트 건물 83.79m² (건물 83.79m² 증가) ,- ,"259,000",0,"259,000",지분 수정 
,,,,"-259,000",,,
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"21,840",0,"2,850","18,990",,,
,,,,,,,
본인 ,자동차 ,"2009년식 제네시스 배기량(3,342cc) ","14,430",0,"2,850","11,580",가액변동 
,,,,,,,
본인 ,자동차 ,"2017년식 올뉴카니발R 9인승 2.2 디젤 배기량(2,200cc) ","7,410",- ,- ,"7,410",
,,,,,,,
▶ 예금(소계) ,"365,491","45,112","103,359","307,244",,,
,,,,,,,
본인 ,,"미래에셋대우(주) 340(4 증가), 중소기업은행 13, 신한은행 46,251(40 증가), 삼성증권 1,017(6 증가), 농협은행 127,190(84,791 감소), 농협중앙회 6, 국민은행 27, (주)KEB하나은행 64 ","259,649","17,097","101,838","174,908",생활비지출 등 
,,,,,,,
배우자 ,,"하나금융투자 31, 중소기업은행 4,553(1,103 감소) ","5,687",0,"1,103","4,584",
,,,,,,,
장녀 ,,"중소기업은행 496(418 감소), 우리은행 120,208(26,143 증가), 삼성화재해상보험 6,480(1,440 증가) ","100,019","27,583",418,"127,184",
,,,,,,,
차녀 ,,국민은행 568(432 증가) ,136,432,0,568,
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"108,882","18,004",0,"126,886",,,
,,,,,,,
본인 ,,"(주)KEB하나은행 126,886(18,004 증가) ","108,882","18,004",0,"126,886",후원금 증가 
,,,,,,,
▶ 유가증권(소계) ,"10,665",0,915,"9,750",,,
,,,,,,,
본인 ,상장주식 ,삼성테크윈 300주 ,"10,665",0,915,"9,750",평가액변동 
,,,,,,,
▶ 회원권(소계) ,"45,000",0,"7,000","38,000",,,
,,,,,,,
배우자 ,골프 ,한화호텔앤드리조트 감소 ,"45,000",0,"7,000","38,000",가액변동 
,,,,,,,
총계 ,"1,344,798","357,820","373,124","1,329,494","증 감 액 : -15,304천원 (가액변동: -234,061천원) ",,
,,,,,,,
