소속 ,국회 ,직위 ,국회의원 ,성명 ,한정애 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"520,000","550,000","520,000","550,000",,,
,,,,,,,
본인 ,아파트 전세(임차)권 ,서울특별시 강서구 화곡동 그랜드아이파크 건물 0.00m² (건물 168.69m² 감소) ,"520,000",0,"520,000",0,전세권 상실 
,,,,,"-520,000",,
,,,,,,,
본인 ,아파트 전세(임차)권 ,서울특별시 강서구 화곡동 우장산롯데캐슬 건물 117.19m² (건물 117.19m² 증가) ,- ,"550,000",0,"550,000",전세임차 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"7,580","42,450","7,580","42,450",,,
,,,,,,,
본인 ,자동차 ,"2006년식 렉스턴 배기량(2,700cc) 감소 ","7,580",0,"7,580",0,매도 
,,,,,"-4,500",,
,,,,,,,
배우자 ,자동차 ,"2018년식 G70 배기량(1,998cc) 증가 ",0,"42,450",0,"42,450",매매 
,,,,,,,
▶ 예금(소계) ,"218,479","35,953","1,763","252,669",,,
,,,,,,,
본인 ,,"미래에셋생명보험 13,200(1,800 증가), 미래에셋대우(주) 4, 농협생명보험 45,600(3,600 증가), 삼성생명보험 4,488, 신한은행 82,995(17,262 증가), 농협은행 24,130(854 감소), 국민은행 385, 에이비엘생명보험 6,149(1,640 증가) ","153,503","25,187","1,739","176,951",급여저축및생활비지출등 
,,,,,,,
배우자 ,,"(주)KEB하나은행 736(736 증가), 미래에셋대우(주) 726(722 증가), 현대해상화재보험 33,950(4,200 증가), 삼성화재해상보험 2,640(360 증가), 메리츠화재해상보험 4,720(480 증가), 신한은행 699(51 증가), 삼성생명보험 17,060(2,452 증가), 우체국 5, 삼성증권 143(2 증가), (주)KB손해보험 14,500(1,200 증가), 한국카카오은행(주) 539(539 증가) ","64,976","10,766",24,"75,718",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"34,008","156,016",0,"190,024",,,
,,,,,,,
본인 ,,"농협은행 190,024(156,016 증가) ","34,008","156,016",0,"190,024",후원금증가등 
,,,,,,,
▶ 유가증권(소계) ,"30,398",5,"6,695","23,708",,,
,,,,,,,
본인 ,상장주식 ,광명전기 150주 ,388,5,0,393,평가액 변동 
,,,,,,,
본인 ,비상장주식 ,매일노동뉴스 600주 ,"3,000",0,0,"3,000",
,,,,,,,
배우자 ,상장주식 ,"IHQ 8,209주, 제주반도체 1,400주 ","27,010",0,"6,695","20,315",
,,,,,,,
총계 ,"810,465","784,424","536,038","1,058,851","증 감 액 : 248,386천원 (가액변동: -6,690천원) ",,
,,,,,,,
