소속 ,국회 ,직위 ,국회의원 ,성명 ,함진규 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"312,000",0,0,"312,000",,,
,,,,,,,
본인 ,임야 ,"경기도 화성시 향남읍 상신리 산 105-14번지 1,386.00m² 중 693.00m² ","300,000",0,0,"300,000",가액변동없음 
,,,,,,,
본인 ,임야 ,경기도 화성시 향남읍 상신리 산 105-18번지 17.00m² ,"12,000",0,0,"12,000",가액변동없음 
,,,,,,,
▶ 건물(소계) ,"206,230","138,690",0,"344,920",,,
,,,,,,,
본인 ,복합건물(주 택+상가) ,경기도 시흥시 장현동 유호N PLUS빌 II(주상복합아파트 건물 58.56m² ,"150,000",0,0,"150,000",가액변동없음 
,,,,,,,
본인 ,사무실 전세(임차)권 ,"경기도 시흥시 신천동 유암타워 건물 1,652.00m² 중 66.00m² ","10,000",0,0,"10,000",변동없음 
,,,,,,,
본인 ,아파트 (분양권) ,경기도 시흥시 광석동 건물 0.00m² (건물 0.00m² 감소) ,0,0,0,0,
,,,,,,,
본인 ,아파트 (분양권) ,경기도 시흥시 장현동 장현지구 C-1블럭 건물 112.02m² (건물 1.04m² 증가) ,"46,230","138,690",0,"184,920",중도금 추가납입 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"30,020",0,"3,420","26,600",,,
,,,,,,,
본인 ,자동차 ,"2017년식 싼타페 배기량(1,995cc) ","30,020",0,"3,420","26,600",가액변동 
,,,,,,,
▶ 예금(소계) ,"153,085","58,285","86,038","125,332",,,
,,,,,,,
본인 ,,"현대해상화재보험 2,800(600 증가), 신한은행 3, 메리츠화재해상보험 13,873(4,044 증가), 시흥중앙","69,388","41,963","43,479","67,872",급여저축및생활비지출등 
,,"100(100 증가), 우체국 4,512, 농협은행 22,118(28,790 감소), 시흥지역산림조합 1,230(30 증가), 국민은행 464, 농협중앙회 264(2 감소), (주)KEB하나은행 22,508(22,502 증가) ",,,,,
,,,,,,,
배우자 ,,"(주)KEB하나은행 11, DB손해보험(주) 0(50 감소), 한화투자 증권 1, 현대해상화재보험 9,440(1,735 증가), 에이아이지손해 보험(주) 1,589(851 증가), 중소기업은행 652(2,050 감소), 우체국 4,637(795 증가), 신한은행 28, 삼성생명보험 0(4,243 감소), (주)KB손해보험 6,410(1,204 증가), AIA생명보험 4,644(620 증가), 농협은행 2,544(1,053 증가), 농협손해보험 4,830(840 증가), 우리은행 40, 한화생명보험 33(33 증가), 라이나생명보험 739(228 증가), 시흥중앙 100(100 증가)","34,582","7,606","6,490","35,698",
,,,,,,,
,,,,,,,
장녀 ,,"씨티은행 531(12,181 감소), 농협은행 7,155(7,983 감소), 신한은행 374(811 감소) ","29,035","1,200","22,175","8,060",
,,,,,,,
차녀 ,,"씨티은행 11, (주)KEB하나은행 87(53 감소), 시흥중앙 50(50 증가), 농협은행 13,554(6,375 감소) ","20,080","7,516","13,894","13,702",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"39,555","16,255","2,691","53,119",,,
,,,,,,,
본인 ,,"농협은행 53,119(13,564 증가) ","39,555","16,255","2,691","53,119",후원금 증가 
,,,,,,,
▶ 채무(소계) ,"314,924","341,183","29,560","626,547",,,
,,,,,,,
본인 ,금융기관채무 ,"농협은행 263,690(110,690 증가), 농협중앙회 88,757(2,493 증가), (주)KEB하나은행 200,000(200,000 증가) ","239,264","341,183","28,000","552,447",중도금 추가납입을 위한 대출 등 
,,,,,,,
배우자 ,,사인간채무 ,"28,000",0,0,"28,000",변동없음 
,,,,,,,
배우자 ,금융기관채무 ,"농협은행 46,100(1,560 감소) ","47,660",0,"1,560","46,100",예금 등으로 상환 
,,,,,,,
총계 ,"425,966","-127,953","62,589","235,424","증 감 액 : -190,542천원 (가액변동: -3,420천원) ",,
,,,,,,,
