소속 ,국회 ,직위 ,국회의원 ,성명 ,김도읍 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"60,115","6,641",0,"66,756",,,
,,,,,,,
본인 ,전 ,경상남도 김해시 신문동 918번지 165.00m² ,"6,220","1,172",0,"7,392",가액변동 
,,,,,,,
본인 ,대지 ,부산광역시 강서구 강동동 159-4번지 331.00m² 중 82.75m² ,"53,895","5,469",0,"59,364",가액변동 
,,,,,,,
▶ 건물(소계) ,"3,601,213","163,012","10,000","3,754,225",,,
,,,,,,,
본인 ,아파트 ,서울특별시 송파구 신천동 잠실푸르지오월드마크아파트 건물 124.98m² 중 62.49m² ,"428,000","20,000",0,"448,000",가액변동 
,,,,,,,
본인 ,아파트 ,부산광역시 북구 화명동 대림쌍용강변타운 건물 84.92m² ,"248,000","11,000",0,"259,000",가액변동 
,,,,,,,
본인 ,근린생활시설 ,"부산광역시 강서구 강동동 대지 1,514.00m² 건물 538.00m² ","1,688,662","68,201",0,"1,756,863",가액변동 
,,,,,,,
본인 ,사무실 전세(임차)권 ,부산광역시 강서구 대저1동 건물 85.80m² ,"20,000",0,0,"20,000",
,,,,,,,
본인 ,근린생활시설 ,부산광역시 강서구 강동동 대지 557.00m² 건물 284.43m² ,"778,551","43,811",0,"822,362",가액변동 
,,,,,,,
배우자 ,아파트 ,서울특별시 송파구 신천동 잠실푸르지오월드마크아파트 건물 124.98m² 중 62.49m² ,"428,000","20,000",0,"448,000",가액변동 
,,,,,,,
장녀 ,기타 전세(임차)권 ,서울특별시 종로구 명륜3가 건물 18.00m² ,"10,000",0,"10,000",0,계약만료 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"9,780",880,0,"10,660",,,
,,,,,,,
본인 ,자동차 ,"2011년식 그랜저HG300 배기량(3,000cc) ","9,780",880,0,"10,660",가액변동 
,,,,,,,
▶ 예금(소계) ,"315,667","31,679","58,842","288,504",,,
,,,,,,,
본인 ,,"신한은행 9,561(4,494 감소), 농협은행 1,823(13,735 감소), 국민은행 3, 한화생명보험 30,672, DB손해보험(주) 2,728(860 증가), 교보생명보험 43,100(3,400 증가), 스탠다드차타드은행 3 ","101,859","5,368","19,337","87,890","수당등저축,3명자녀교육비 및생활비지출등 "
,,,,,,,
배우자 ,,"(주)KEB하나은행 15,000(186 감소), 국민은행 21,879(18,856 감소), 동양생명보험 6,001, 농협중앙회 10,628(4,203 증가), 우체국 13,306(1,444 증가), (주)KB손해보험 53,044(9,412 증가), 신한은행 504(3 증가), 한화생명보험 65,711(10,117 감소) ","200,170","22,349","36,446","186,073","수당등저축,3명자녀교육비 및생활비지출등 "
,,,,,,,
모 ,,"농협중앙회 11(1,376 감소), 중소기업은행 1 ","1,388",0,"1,376",12,
,,,,,,,
장녀 ,,"우리은행 40(1,433 감소), 신한은행 4,350(800 증가) ","5,023",800,"1,433","4,390",
,,,,,,,
차녀 ,,"국민은행 487(487 증가), (주)KB손해보험 35(35 증가), DB손해보험(주) 1,455(119 증가), KB증권 10, 우리은행 8, 농협중앙회 2(174 감소) ","1,530",641,174,"1,997",
,,,,,,,
장남 ,,"신한은행 6,780(1,200 증가), 중소기업은행 1,321(1,321 증가), 국민은행 39(76 감소), 농협은행 2 ","5,697","2,521",76,"8,142",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"57,791",0,"53,115","4,676",,,
,,,,,,,
본인 ,,"농협중앙회 4,676(53,115 감소) ","57,791",0,"53,115","4,676",정치자금 지출 
,,,,,,,
▶ 채무(소계) ,"920,710","15,302","28,400","907,612",,,
,,,,,,,
본인 ,금융기관채무 ,"신한은행 784,681(28,400 감소) ","813,081",0,"28,400","784,681",급여로 일부상환 
,,,,,,,
본인 ,건물임대채무 ,부산광역시 강서구 강동동 임대보증금 ,"105,000",0,0,"105,000",변동없음 
,,,,,,,
배우자 ,금융기관채무 ,"(주)KEB하나은행 13,110(13,110 증가), 국민은행 4,821(2,192 증가) ","2,629","15,302",0,"17,931",생활비 지출로 인한 대출 
,,,,,,,
총계 ,"3,123,856","186,910","93,557","3,217,209","증감액:93,353천원 (가액변동: 170,533천원) ",,
,,,,,,,
