소속 ,국회 ,직위 ,국회의원 ,성명 ,홍문종 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"793,398","2,287","2,370","793,315",,,
,,,,,,,
본인 ,전 ,경기도 의정부시 고산동 616-6번지 195.00m² ,"34,515",916,0,"35,431",공시지가 변경 
,,,,,,,
본인 ,전 ,경기도 의정부시 고산동 616-7번지 8.00m² ,"1,276",34,0,"1,310",공시지가 변경 
,,,,,,,
본인 ,전 ,경기도 의정부시 고산동 616-9번지 250.00m² ,"42,975","1,125",0,"44,100",공시지가 변경 
,,,,,,,
본인 ,전 ,경기도 포천시 소흘읍 무림리 46-1번지 106.00m² ,"7,451",0,328,"7,123",공시지가 변경 
,,,,,,,
본인 ,전 ,"경기도 포천시 소흘읍 무림리 46-3번지 1,021.00m² ","46,557",0,"2,042","44,515",공시지가 변경 
,,,,,,,
본인 ,도로 ,경기도 포천시 소흘읍 무림리 63-1번지 605.00m² ,"12,342",121,0,"12,463",공시지가 변경 
,,,,,,,
본인 ,도로 ,경기도 포천시 소흘읍 무림리 71-4번지 100.00m² ,"2,040",20,0,"2,060",공시지가 변경 
,,,,,,,
본인 ,도로 ,경기도 포천시 소흘읍 무림리 72-3번지 160.00m² ,"3,264",32,0,"3,296",공시지가 변경 
,,,,,,,
본인 ,도로 ,경기도 포천시 소흘읍 무림리 73-3번지 195.00m² ,"3,978",39,0,"4,017",공시지가 변경 
,,,,,,,
본인 ,임야 ,"경기도 포천시 소흘읍 무림리 산 26번지 7,041.00m² ","639,000",0,0,"639,000",변동없음 
,,,,,,,
▶ 건물(소계) ,"10,693,773","842,405","10,000","11,526,178",,,
,,,,,,,
본인 ,문화및 집회시설 ,"경기도 포천시 소흘읍 무림리 대지 7,871.00m² 건물 2,567.64m² ","3,685,674","234,097",0,"3,919,771",공시가격 변경 
,,,,,,,
본인 ,문화및 집회시설 ,"경기도 포천시 소흘읍 무림리 대지 20,462.00m² 건물 180.88m² (건물 58.15m² 증가) ","6,221,099","608,308",0,"6,829,407",공시가격 변경 
,,,,,,,
본인 ,사무실 전세(임차)권 ,경기도 의정부시 신곡동 엘리트타운 건물 0.00m² (건물 0.00m² 감소) ,0,0,0,0,
,,,,,,,
본인 ,사무실 전세(임차)권 ,경기도 의정부시 신곡동 엘리트타운 건물 97.44m² (건물 66.77m² 감소) ,"20,000",0,"10,000","10,000",행정구역 변경(축소) 
,,,,,,,
본인 ,오피스텔 ,서울특별시 영등포구 여의도동 진미파라곤 대지 10.71m² 건물 73.46m² ,"525,000",0,0,"525,000",변동없음 
,,,,,,,
배우자 ,아파트 ,경기도 의정부시 신곡동 드림밸리아파트 건물 95.49m² ,"242,000",0,0,"242,000",변동없음 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"45,380","55,000","10,300","90,080",,,
,,,,,,,
본인 ,자동차 ,"2007년식 포터II 배기량(2,497cc) 감소 ","2,400",0,"2,400",0,양도 
,,,,,,,
본인 ,자동차 ,"2015년식 올뉴카니발 배기량(3,300cc) ","25,080",0,"3,630","21,450",차량가액 변경 
,,,,,,,
본인 ,자동차 ,"2018년식 1t 포터2 배기량(2,497cc) 증가 ",0,"55,000",0,"55,000",매입 
,,,,,,,
배우자 ,자동차 ,"2016년식 티볼리 배기량(1,600cc) ","17,900",0,"4,270","13,630",차량가액 변경 
,,,,,,,
▶ 예금(소계) ,"925,935","111,995","120,085","917,845",,,
,,,,,,,
본인 ,,"미래에셋생명보험 32,500(3,000 증가), 중소기업은행 13,613(45,630 감소), 우리은행 31,261(5,105 감소), 삼성생명보험 117,941(1,936 증가), 신한은행 3,976(3,976 증가), 농협은행 6,387(1,043 증가), 신한금융투자(주) 537(2 증가), 농협중앙회 7,915(9,146 감소), 믿음신협 2,323(78 증가) ","266,299","10,066","59,912","216,453",각종 금융거래로 인한 변동 
,,,,,,,
배우자 ,,"(주)KEB하나은행 15,596(653 증가), 삼성화재해상보험 1,170(360 증가), 중소기업은행 534,621(40,073 증가), 동양생명보험 23,787(1,577 증가), 우리은행 27,850(12,895 감소), 믿음신협 7,136(1,319 증가), 농협은행 0(273 감소), 믿음신협 47,000, 미래에셋생명보험 32,750(2,750 증가) ","656,346","93,737","60,173","689,910",
,,,,,,,
장남 ,,"신한은행 5(3 증가), 중소기업은행 4, 씨티은행 2, 우리은행 11(11 증가), 삼성화재해상보험 2,171(479 증가) ","1,700",493,0,"2,193",
,,,,,,,
차남 ,,"중소기업은행 4,696(4,694 증가), 삼성화재해상보험 1,946(463 증가), (주)KEB하나은행 2,641(2,542 증가), 씨티은행 2, 신한은행 4 ","1,590","7,699",0,"9,289",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"1,358","5,686",0,"7,044",,,
,,,,,,,
본인 ,,"농협은행 7,044(5,686 증가) ","1,358","5,686",0,"7,044",정치자금 수입.지출 등으로 인한잔액변경 
,,,,,,,
▶ 채권(소계) ,"1,875,000",0,0,"1,875,000",,,
,,,,,,,
본인 ,,사인간채권 ,"1,875,000",0,0,"1,875,000",변동없음 
,,,,,,,
▶ 채무(소계) ,"6,785,485","83,249","6,607","6,862,127",,,
,,,,,,,
본인 ,,사인간채무 ,"1,620,000",0,0,"1,620,000",변동없음 
,,,,,,,
본인 ,금융기관채무 ,"중소기업은행 4,865,301, 신한은행 33,249(33,242 증가), 신한카드 8,177 ","4,873,485","33,249",7,"4,906,727",추가대출 
,,,,,,,
본인 ,건물임대채무 ,경기도 포천시 소흘읍 무림리 임대보증금 증가 ,"200,000","50,000",0,"250,000",임대보증금으로 인한 변동 
,,,,,,,
배우자 ,금융기관채무 ,"농협은행 85,400(6,600 감소) ","92,000",0,"6,600","85,400",일부상환 
,,,,,,,
▶ 회원권(소계) ,"49,300","4,700",0,"54,000",,,
,,,,,,,
본인 ,골프 ,레이크우드 컨트리클럽 증가 ,"49,300","4,700",0,"54,000",가액변동 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,"9,983",0,"9,983",0,,,
,,,,,,,
부 ,,등록제외 ,- ,- ,- ,- ,사망 
,,,,,,,
모 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
장녀 ,,등록제외 ,"9,983",0,"9,983",0,혼인 
,,,,,,,
총계 ,"7,608,642","938,824","146,131","8,401,335","증 감 액 : 792,693천원 (가액변동: 839,122천원) ",,
,,,,,,,
