소속 ,국회 ,직위 ,국회의원 ,성명 ,홍문표 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"3,670",280,0,"3,950",,,
,,,,,,,
본인 ,임야 ,"충청남도 홍성군 홍동면 문당리 산 12번지 2,975.00m² 중 425.00m² ","3,670",280,0,"3,950",가액변동 
,,,,,,,
▶ 건물(소계) ,"477,000","20,000","6,000","491,000",,,
,,,,,,,
본인 ,오피스텔 전세(임차)권 ,충청남도 홍성군 홍성읍 오관리 건물 99.17m² ,"3,000",0,0,"3,000",변동없음 
,,,,,,,
본인 ,오피스텔 전세(임차)권 ,충청남도 예산군 예산읍 예산리 건물 165.29m² ,"10,000",0,0,"10,000",변동없음 
,,,,,,,
본인 ,아파트 ,충청남도 홍성군 홍성읍 오관리 미림청솔아파트 건물 84.39m² ,"80,000",0,"6,000","74,000",가액변동 
,,,,,,,
배우자 ,아파트 ,서울특별시 광진구 자양2동 현대아파트 건물 0.00m² (건물 0.00m² 감소) ,0,0,0,0,행정구역변경 
,,,,,,,
배우자 ,아파트 ,서울특별시 광진구 자양동 현대아파트 건물 84.90m² ,"384,000","20,000",0,"404,000",가액변동 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"17,920",0,"2,300","15,620",,,
,,,,,,,
배우자 ,자동차 ,"2014년식 그랜저 HG 디젤 배기량(2,700cc) ","17,920",0,"2,300","15,620",가액변동 
,,,,,,,
▶ 예금(소계) ,"503,637","211,720","185,993","529,364",,,
,,,,,,,
본인 ,,"광진중앙 15,000(15,000 증가), 삼성생명보험 2,700, 새마을금고 15,099(2,540 증가), 우체국 21,869(775 증가), 자양2.3동 0(15,000 감소), 농협은행 66(10 증가), 국민은행 35,500(1,100 증가), 농협중앙회 173,703(17,379 감소), 홍성군산림조합 1,520 ","278,411","147,440","160,394","265,457",급여저축 등 
,,,,,,,
배우자 ,,"DB손해보험(주) 0(2,331 감소), 광진중앙 18,300(18,300 증가), 흥국생명보험 7,312, 새마을금고중앙회 공제사업부 4,749(3,800 증가), 국민은행 7,954(6,882 증가), 메리츠화재 해상보험 210(210 증가), 동양생명보험 5,863, 우체국 15,483 (745 증가), 삼성생명보험 108,894(12,004 증가), (주)KB손해 보험 10,360(1,776 증가), 농협중앙회 476(237 증가), 씨티은행 2, 새마을금고 14,787(1,562 증가), 한화생명보험 22,087(6,032 증가), 농협손해보험 0(960 감소), 우리은행 8, 자양2.3동 0(13,000 감소), 교보생명보험 22,222(1,264 증가), MG손해보험(주) 25,200(2,160 증가)","225,226","64,280","25,599","263,907",
,,,,,,,
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"22,807","15,080",0,"37,887",,,
,,,,,,,
본인 ,,"농협중앙회 37,887(15,080 증가) ","22,807","15,080",0,"37,887",정치자금수입및지출 
,,,,,,,
▶ 채무(소계) ,0,"30,000",0,"30,000",,,
,,,,,,,
본인 ,금융기관채무 ,"농협은행 30,000(30,000 증가) ",0,"30,000",0,"30,000",생활비지출 등 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
손녀1 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
총계 ,"1,025,034","217,080","194,293","1,047,821","증감액:22,787천원 (가액변동: 11,980천원) ",,
,,,,,,,
