소속 ,국회 ,직위 ,국회의원 ,성명 ,홍영표 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"37,334","1,360","20,622","18,072",,,
,,,,,,,
본인 ,대지 ,전라북도 고창군 부안면 오산리 195-1번지 387.00m² 중 96.75m² ,883,31,0,914,가액변동 
,,,,,,,
본인 ,임야 ,"전라북도 고창군 부안면 오산리 195-2번지 8,853.00m² 중 2,213.00m² ","8,785",199,0,"8,984",가액변동 
,,,,,,,
모 ,전 ,전라북도 고창군 부안면 오산리 181번지 764.00m² ,"7,044","1,130",0,"8,174",가액변동 
,,,,,,,
모 ,전 ,"전라북도 고창군 부안면 오산리 193-2번지 0.00m² (1,964.00m² 감소) ","20,622",0,"20,622",0,건물로 신고 
,,,,,,,
▶ 건물(소계) ,"439,940","32,094",0,"472,034",,,
,,,,,,,
본인 ,단독주택 ,전라북도 고창군 부안면 오산리 대지 876.00m² 중 175.20m² 건물 88.65m² 중 17.73m² ,"7,940","1,300",0,"9,240",가액변동 
,,,,,,,
배우자 ,아파트 ,인천광역시 부평구 삼산동 신성미소지움 건물 151.76m² ,"432,000",0,0,"432,000",가액변동 없음 
,,,,,,,
모 ,단독주택 ,"전라북도 고창군 부안면 오산리 대지 1,964.00m² 건물 387.46m² (대지 1,964.00m² 증가, 건물 387.46m² 증가) ",- ,"30,794",0,"30,794",신규 신고 
,,,,"-30,794",,,
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"15,230",0,"15,230",0,,,
,,,,,,,
본인 ,자동차 ,"2012년식 말리부 2.4 DOHC 배기량(2,384cc) 감소 ","15,230",0,"15,230",0,차량 매도 
,,,,,"-2,500",,
,,,,,,,
▶ 예금(소계) ,"246,397","95,806","70,725","271,478",,,
,,,,,,,
본인 ,,"미래에셋대우(주) 207(1 증가), 새마을금고 10, 농협은행 10,500(17,136 감소), 국민은행 913(609 증가), 미추홀신협 123, (주)KEB하나은행 32,294(14,760 증가), 교보생명보험 62,523(3,127 증가), 새마을금고중앙회 공제사업부 4,440(935 증가) ","108,714","19,432","17,136","111,010",급여 저축 생활비 지출 
,,,,,,,
배우자 ,,"DB손해보험(주) 9,175(1,102 증가), 한화투자증권 1, 국민은행 43,889(4,795 증가), 씨티은행 1,875(8,652 감소), 신한생명보험 19,200(3,600 증가), 교보생명보험 53,001(6,454 증가) ","119,842","51,156","43,857","127,141",
,,,,,,,
모 ,,"국민은행 2, 농협중앙회 12,128(6,934 증가), 우체국 1,956, (주)KEB하나은행 60(268 감소) ","7,480","7,941","1,275","14,146",급여 저축 생활비 지출 
,,,,,,,
차녀 ,,"국민은행 18,360(9,277 증가), (주)KEB하나은행 821(457 감소) ","10,361","17,277","8,457","19,181",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"202,611","88,048",0,"290,659",,,
,,,,,,,
본인 ,,"농협중앙회 290,659(88,048 증가) ","202,611","88,048",0,"290,659",후원금 증가 
,,,,,,,
▶ 채권(소계) ,"50,000",0,0,"50,000",,,
,,,,,,,
본인 ,,사인간채권 ,"50,000",0,0,"50,000",변동 없음 
,,,,,,,
▶ 채무(소계) ,"97,206",0,"10,621","86,585",,,
,,,,,,,
본인 ,금융기관채무 ,"삼성카드 36,585(10,621 감소), 농협은행 50,000 ","97,206",0,"10,621","86,585",리스료 상환 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
장녀 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
총계 ,"894,306","217,308","95,956","1,015,658","증 감 액 : 121,352천원 (가액변동: 2,660천원) ",,
,,,,,,,
