소속 ,국회 ,직위 ,국회의원 ,성명 ,홍의락 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"487,989","50,497",88,"538,398",,,
,,,,,,,
본인 ,임야 ,"경상북도 봉화군 봉성면 우곡리 산 134-1번지 6,942.00m² ","1,999",215,0,"2,214",가액 변동 
,,,,,,,
본인 ,임야 ,"경상북도 봉화군 봉성면 우곡리 201번지 1,881.00m² ","4,326",564,0,"4,890",가액 변동 
,,,,,,,
본인 ,임야 ,경상북도 봉화군 봉성면 우곡리 399번지 136.00m² ,"1,033",71,0,"1,104",가액 변동 
,,,,,,,
본인 ,임야 ,경상북도 봉화군 봉성면 창평리 산 21번지 298.00m² ,149,13,0,162,가액 변동 
,,,,,,,
본인 ,임야 ,"경상북도 봉화군 봉성면 창평리 산 34-4번지 1,587.00m² ",650,56,0,706,가액 변동 
,,,,,,,
본인 ,임야 ,경상북도 봉화군 봉성면 동양리 238번지 172.00m² ,490,39,0,529,가액 변동 
,,,,,,,
본인 ,임야 ,"경상북도 봉화군 봉성면 동양리 산 11번지 38,479.00m² ","18,046","1,539",0,"19,585",가액 변동 
,,,,,,,
본인 ,임야 ,"경상북도 봉화군 봉성면 동양리 산 16번지 13,488.00m² ","6,258",526,0,"6,784",가액 변동 
,,,,,,,
본인 ,임야 ,"경상북도 봉화군 봉성면 동양리 산 17번지 4,364.00m² ","1,784",153,0,"1,937",가액 변동 
,,,,,,,
본인 ,임야 ,"경상북도 봉화군 봉성면 동양리 산 19번지 9,521.00m² ","4,512",381,0,"4,893",가액 변동 
,,,,,,,
본인 ,임야 ,"경상북도 봉화군 봉성면 동양리 산 20번지 90,843.00m² ","39,153","3,361",0,"42,514",가액 변동 
,,,,,,,
본인 ,임야 ,"경상북도 봉화군 봉성면 동양리 산 45번지 54,077.00m² ","25,091","2,163",0,"27,254",가액 변동 
,,,,,,,
본인 ,임야 ,"경상북도 봉화군 봉성면 동양리 산 46번지 39,864.00m² ","24,436","2,073",0,"26,509",가액 변동 
,,,,,,,
본인 ,임야 ,"경상북도 봉화군 봉성면 동양리 산 65번지 174,545.00m² ","76,276","6,458",0,"82,734",가액 변동 
,,,,,,,
본인 ,임야 ,"경상북도 봉화군 봉성면 금봉리 산 76번지 7,934.00m² ","4,808",0,88,"4,720",가액 변동 
,,,,,,,
본인 ,임야 ,"경상북도 봉화군 봉성면 우곡리 산 83번지 11,901.00m² ","6,486",618,0,"7,104",가액 변동 
,,,,,,,
본인 ,임야 ,"경상북도 봉화군 봉성면 우곡리 산 89-2번지 1,587.00m² ",442,48,0,490,가액 변동 
,,,,,,,
본인 ,임야 ,경상북도 봉화군 봉성면 우곡리 산 121-2번지 496.00m² ,140,16,0,156,가액 변동 
,,,,,,,
본인 ,임야 ,경상북도 봉화군 봉성면 우곡리 산 129-2번지 793.00m² ,233,24,0,257,가액 변동 
,,,,,,,
본인 ,임야 ,경상북도 봉화군 봉성면 우곡리 산 132-2번지 694.00m² ,233,25,0,258,가액 변동 
,,,,,,,
본인 ,임야 ,"경상북도 봉화군 봉성면 우곡리 산 138-2번지 7,339.00m² ","2,590",279,0,"2,869",가액 변동 
,,,,,,,
본인 ,임야 ,"경상북도 봉화군 봉성면 동양리 284번지 1,997.00m² ","5,471",440,0,"5,911",가액 변동 
,,,,,,,
본인 ,전 ,"경상북도 봉화군 봉성면 동양리 302-1번지 1,646.00m² ","5,102",461,0,"5,563",가액 변동 
,,,,,,,
본인 ,전 ,경상북도 봉화군 봉성면 동양리 470-7번지 393.00m² ,"6,875","1,855",0,"8,730",가액 변동 
,,,,,,,
본인 ,전 ,경상북도 봉화군 봉성면 동양리 178번지 420.00m² ,"1,982",176,0,"2,158",가액 변동 
,,,,,,,
본인 ,전 ,경상북도 봉화군 봉성면 동양리 251-3번지 84.00m² ,289,26,0,315,가액 변동 
,,,,,,,
본인 ,전 ,경상북도 봉화군 봉성면 동양리 17번지 251.00m² ,"2,216",168,0,"2,384",가액 변동 
,,,,,,,
본인 ,전 ,경상북도 봉화군 봉성면 동양리 41번지 362.00m² ,"3,196",243,0,"3,439",가액 변동 
,,,,,,,
본인 ,전 ,경상북도 봉화군 봉성면 동양리 265번지 565.00m² ,"1,644",147,0,"1,791",가액 변동 
,,,,,,,
본인 ,전 ,경상북도 봉화군 봉성면 동양리 266번지 992.00m² ,"2,886",258,0,"3,144",가액 변동 
,,,,,,,
본인 ,전 ,경상북도 봉화군 봉성면 동양리 267번지 608.00m² ,"1,769",158,0,"1,927",가액 변동 
,,,,,,,
본인 ,전 ,"경상북도 봉화군 봉성면 동양리 273번지 6,724.00m² ","19,566","1,749",0,"21,315",가액 변동 
,,,,,,,
본인 ,전 ,경상북도 봉화군 봉성면 동양리 275번지 856.00m² ,"2,490",223,0,"2,713",가액 변동 
,,,,,,,
본인 ,전 ,경상북도 봉화군 봉성면 동양리 277번지 628.00m² ,"1,827",163,0,"1,990",가액 변동 
,,,,,,,
본인 ,전 ,"경상북도 봉화군 봉성면 동양리 278번지 1,696.00m² ","4,935",441,0,"5,376",가액 변동 
,,,,,,,
본인 ,대지 ,경상북도 봉화군 봉성면 동양리 468-3번지 67.00m² ,"2,291",188,0,"2,479",가액 변동 
,,,,,,,
본인 ,대지 ,경상북도 봉화군 봉성면 동양리 470-3번지 428.00m² ,"25,080","2,098",0,"27,178",가액 변동 
,,,,,,,
본인 ,대지 ,"경상북도 봉화군 봉성면 동양리 470-4번지 1,529.00m² ","31,294","7,096",0,"38,390",가액 변동 
,,,,,,,
본인 ,대지 ,경상북도 봉화군 봉성면 동양리 470-5번지 486.00m² ,"13,400","2,020",0,"15,420",가액 변동 
,,,,,,,
본인 ,대지 ,경상북도 봉화군 봉성면 동양리 470-9번지 250.00m² ,"8,550",700,0,"9,250",가액 변동 
,,,,,,,
본인 ,대지 ,"경상북도 봉화군 봉성면 우곡리 228번지 1,828.00m² ","10,534","2,106",0,"12,640",가액 변동 
,,,,,,,
본인 ,대지 ,경상북도 봉화군 봉성면 동양리 46번지 43.00m² ,379,29,0,408,가액 변동 
,,,,,,,
본인 ,대지 ,경상북도 봉화군 봉성면 동양리 44번지 48.00m² ,292,23,0,315,가액 변동 
,,,,,,,
본인 ,대지 ,경상북도 봉화군 봉성면 동양리 45번지 566.00m² ,"4,997",380,0,"5,377",가액 변동 
,,,,,,,
본인 ,대지 ,경상북도 봉화군 봉성면 동양리 276번지 536.00m² ,"1,854",172,0,"2,026",가액 변동 
,,,,,,,
본인 ,답 ,"경상북도 봉화군 봉성면 동양리 256-3번지 6,668.00m² ","60,678","6,002",0,"66,680",가액 변동 
,,,,,,,
본인 ,답 ,"경상북도 봉화군 봉성면 동양리 264번지 3,418.00m² ","11,826","1,025",0,"12,851",가액 변동 
,,,,,,,
본인 ,답 ,경상북도 봉화군 봉성면 동양리 268번지 962.00m² ,"3,328",308,0,"3,636",가액 변동 
,,,,,,,
본인 ,답 ,경상북도 봉화군 봉성면 동양리 279번지 717.00m² ,"2,086",186,0,"2,272",가액 변동 
,,,,,,,
본인 ,답 ,"경상북도 봉화군 봉성면 창평리 55-4번지 2,556.50m² ","18,151","1,815",0,"19,966",가액 변동 
,,,,,,,
본인 ,답 ,"경상북도 봉화군 봉성면 동양리 274번지 2,965.00m² ","8,213",741,0,"8,954",가액 변동 
,,,,,,,
본인 ,전 ,경상북도 봉화군 봉성면 동양리 285번지 843.00m² ,"3,464",287,0,"3,751",가액 변동 
,,,,,,,
본인 ,답 ,경상북도 봉화군 봉성면 동양리 326번지 129.00m² ,446,41,0,487,가액 변동 
,,,,,,,
본인 ,묘지 ,경상북도 봉화군 봉성면 우곡리 415-2번지 320.00m² ,345,32,0,377,가액 변동 
,,,,,,,
본인 ,도로 ,경상북도 봉화군 봉성면 동양리 41-1번지 140.00m² ,428,34,0,462,가액 변동 
,,,,,,,
본인 ,도로 ,경상북도 봉화군 봉성면 동양리 17-1번지 175.00m² ,535,42,0,577,가액 변동 
,,,,,,,
본인 ,하천 ,경상북도 봉화군 봉화읍 유곡리 271-3번지 126.00m² ,435,42,0,477,가액 변동 
,,,,,,,
▶ 건물(소계) ,"1,505,600","49,100",0,"1,554,700",,,
,,,,,,,
본인 ,아파트 ,서울특별시 강남구 도곡동 렉슬아파트 건물 134.90m² ,"1,344,000","48,000",0,"1,392,000",가액 변동 
,,,,,,,
본인 ,단독주택 ,경상북도 봉화군 봉성면 동양리 대지 940.00m² 건물 134.60m² ,"11,600","1,100",0,"12,700",가액 변동 
,,,,,,,
배우자 ,아파트 전세(임차)권 ,대구광역시 북구 구암동 주공그린빌아파트 건물 59.83m² ,"150,000",0,0,"150,000",변동 없음 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"28,970",0,"3,270","25,700",,,
,,,,,,,
배우자 ,자동차 ,"2006년식 쏘나타2.0 배기량(2,000cc) ","4,360",0,520,"3,840",가액 변동 
,,,,,,,
배우자 ,자동차 ,"2014년식 제네시스 배기량(3,342cc) ","24,610",0,"2,750","21,860",가액 변동 
,,,,,,,
