소속 ,국회 ,직위 ,국회의원 ,성명 ,홍익표 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"1,254,650","281,500","220,500","1,315,650",,,
,,,,,,,
본인 ,아파트 ,서울특별시 성동구 행당동 행당동한진아파트 건물 57.31m² (건물 57.31m² 감소) ,"501,000",0,"220,500","280,500","가액변동, 공유지분면적 정정 (1/2지분) "
,,,,,,,
본인 ,사무실 전세(임차)권 ,서울특별시 성동구 행당동 무학빌딩 3층 건물 148.00m² ,"16,650",0,0,"16,650",변동없음 
,,,,,,,
배우자 ,아파트 ,"서울특별시 성동구 행당동 행당동한진아파트 건물 114.62m² 중 57.31m² (건물 총면적 114.62m² 증가, 지분면적 57.31m² 증가) ",- ,"280,500",0,"280,500",공유지분면적 정정(1/2지분) 
,,,,"-280,500",,,
,,,,,,,
모 ,아파트 ,충청남도 홍성군 홍성읍 고암리 신동아파밀리에아파트 건물 129.67m² ,"187,000","1,000",0,"188,000",가액변동 
,,,,,,,
모 ,아파트 전세(임차)권 ,서울특별시 강남구 대치동 은마아파트 건물 84.43m² ,"550,000",0,0,"550,000",변동없음 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"33,690","49,610","19,220","64,080",,,
,,,,,,,
본인 ,자동차 ,"2014년식 제네시스 330 배기량(2,500cc) ","33,690",0,"19,220","14,470","가액변동, 공유지분 정정 (1/2지분) "
,,,,,,,
본인 ,자동차 ,"2019년식 싼타페 배기량(1,998cc) 증가 ",0,"35,140",0,"35,140",신규매입 
,,,,,,,
배우자 ,자동차 ,"2014년식 제네시스 330 배기량(2,500cc) 증가 ",0,"14,470",0,"14,470","가액변동, 공유지분 정정 (1/2지분) "
,,,,,,,
▶ 예금(소계) ,"294,634","47,330","73,213","268,751",,,
,,,,,,,
본인 ,,"푸르덴셜생명보험 44,184(2,310 증가), 신한은행 30,372(14,058 감소), 농협은행 2,005(861 감소), 국민은행 8,540(5,097 증가) ","92,613","7,696","15,208","85,101","생활비, 교육비 등 지출 "
,,,,,,,
배우자 ,,"푸르덴셜생명보험 47,209(8,065 증가), 현대해상화재보험 12,000, 디지비생명보험(주) 18,600(3,600 증가), 신한은행 33,789(22,295 감소), 신한생명보험 40,514(2,041 증가), 미래에셋생명보험 2,193 ","162,894","19,614","28,203","154,305",
,,,,,,,
부 ,,"국민은행 2(5 감소), 우리은행 4 ",11,0,5,6,
,,,,,,,
모 ,,"국민은행 28,126(9,369 감소), 우리은행 1,213(408 감소) ","39,116","20,020","29,797","29,339",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"105,770","58,700",0,"164,470",,,
,,,,,,,
본인 ,,"국민은행 164,470(58,700 증가) ","105,770","58,700",0,"164,470",후원회 기부금 증가 
,,,,,,,
▶ 유가증권(소계) ,"50,000",0,0,"50,000",,,
,,,,,,,
배우자 ,비상장주식 ,"(주)예인건축연구소 10,000주 ","50,000",0,0,"50,000",
,,,,,,,
▶ 채권(소계) ,"200,000",0,0,"200,000",,,
,,,,,,,
부 ,,사인간채권 ,"200,000",0,0,"200,000",변동없음 
,,,,,,,
▶ 채무(소계) ,"419,714",0,"60,765","358,949",,,
,,,,,,,
본인 ,금융기관채무 ,"신한은행 54,949(60,765 감소) ","115,714",0,"60,765","54,949",급여로 일부상환 
,,,,,,,
모 ,금융기관채무 ,"우리은행 171,000 ","171,000",0,0,"171,000",변동없음 
,,,,,,,
모 ,건물임대채무 ,충청남도 홍성군 홍성읍 고암리 신동아파밀리에아파트 임대보증금 ,"133,000",0,0,"133,000",변동없음 
,,,,,,,
총계 ,"1,519,030","437,140","252,168","1,704,002","증 감 액 : 184,972천원 (가액변동: -238,720천원) ",,
,,,,,,,
