소속 ,국회 ,직위 ,국회의원 ,성명 ,홍일표 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"507,939","29,155",0,"537,094",,,
,,,,,,,
본인 ,대지 ,인천광역시 남구 학익동 252-47번지 191.00m² ,"247,727","9,550",0,"257,277",가액변동 
,,,,,,,
본인 ,대지 ,인천광역시 남구 학익동 252-14번지 129.00m² ,"172,731","6,579",0,"179,310",가액변동 
,,,,,,,
부 ,임야 ,"경상북도 군위군 고로면 화북리 산 296번지 59,679.00m² ","24,349","2,327",0,"26,676",가액변동 
,,,,,,,
부 ,임야 ,"충청남도 홍성군 홍동면 문당리 산 53-1번지 6,744.00m² ","20,838","1,956",0,"22,794",가액변동 
,,,,,,,
부 ,전 ,충청남도 홍성군 홍동면 문당리 197-6번지 463.00m² ,"6,204",278,0,"6,482",가액변동 
,,,,,,,
부 ,답 ,"충청남도 홍성군 홍동면 문당리 713-1번지 2,776.20m² ","36,090","1,111",0,"37,201",가액변동 
,,,,,,,
부 ,대지 ,충청남도 홍성군 홍동면 문당리 197-3번지 317.00m² (317.00m² 증가) ,- ,"7,354",0,"7,354",토지 추가 
,,,,"-7,354",,,
,,,,,,,
▶ 건물(소계) ,"2,095,646","208,788",0,"2,304,434",,,
,,,,,,,
본인 ,상가 ,경기도 고양시 일산동구 풍동 신성프라쟈 대지 8.09m² 중 4.04m² 건물 26.77m² 중 13.39m² ,"37,297",84,0,"37,381",가액변동 
,,,,,,,
본인 ,상가 ,서울특별시 도봉구 쌍문동 엘지트윈빌1 제1층 대지 268.54m² 중 9.35m² 건물 701.51m² 중 24.43m² ,"76,094","3,149",0,"79,243",가액변동 
,,,,,,,
본인 ,아파트 ,서울특별시 양천구 목동 목동신시가지(아) 건물 145.13m² 중 72.57m² ,"484,000","80,000",0,"564,000",가액변동 
,,,,,,,
본인 ,상가 ,서울특별시 도봉구 쌍문동 1층 대지 23.32m² 중 5.83m² 건물 60.95m² 중 15.24m² ,"47,462","2,008",0,"49,470",가액변동 
,,,,,,,
본인 ,상가 ,서울특별시 도봉구 쌍문동 1층 대지 43.96m² 중 10.99m² 건물 114.87m² 중 28.72m² ,"89,754","3,581",0,"93,335",가액변동 
,,,,,,,
본인 ,상가 ,서울특별시 도봉구 쌍문동 1층 대지 1.07m² 중 1.02m² 건물 10.66m² 중 2.67m² ,"8,237",328,0,"8,565",가액변동 
,,,,,,,
본인 ,상가 ,서울특별시 도봉구 쌍문동 1층 대지 6.20m² 중 1.55m² 건물 16.20m² 중 4.05m² ,"12,873",400,0,"13,273",가액변동 
,,,,,,,
본인 ,상가 ,서울특별시 도봉구 쌍문동 1층 대지 2.88m² 중 0.72m² 건물 7.54m² 중 1.89m² ,"5,794",346,0,"6,140",가액변동 
,,,,,,,
본인 ,상가 ,서울특별시 도봉구 쌍문동 1층 대지 6.19m² 중 1.55m² 건물 16.19m² 중 4.05m² ,"12,425",493,0,"12,918",가액변동 
,,,,,,,
본인 ,상가 ,서울특별시 도봉구 쌍문동 1층 대지 3.67m² 중 0.92m² 건물 9.55m² 중 2.39m² ,"7,397",294,0,"7,691",가액변동 
,,,,,,,
본인 ,상가 ,서울특별시 도봉구 쌍문동 1층 대지 7.69m² 중 1.92m² 건물 20.10m² 중 5.03m² ,"15,595",621,0,"16,216",가액변동 
,,,,,,,
본인 ,상가 ,서울특별시 도봉구 쌍문동 1층 대지 3.43m² 중 0.86m² 건물 8.98m² 중 2.25m² ,"7,196",172,0,"7,368",가액변동 
,,,,,,,
본인 ,상가 ,서울특별시 도봉구 쌍문동 1층 대지 7.23m² 중 1.81m² 건물 18.90m² 중 4.73m² ,"14,726",586,0,"15,312",가액변동 
,,,,,,,
본인 ,상가 ,서울특별시 도봉구 쌍문동 1층 대지 7.83m² 중 1.96m² 건물 20.47m² 중 5.12m² ,"16,171",530,0,"16,701",가액변동 
,,,,,,,
본인 ,상가 ,서울특별시 도봉구 쌍문동 1층 대지 7.83m² 중 1.96m² 건물 20.47m² 중 5.12m² ,"16,171",530,0,"16,701",가액변동 
,,,,,,,
본인 ,상가 ,서울특별시 도봉구 쌍문동 1층 대지 6.81m² 중 1.70m² 건물 17.80m² 중 4.45m² ,"13,888",554,0,"14,442",가액변동 
,,,,,,,
본인 ,상가 ,서울특별시 도봉구 쌍문동 1층 대지 6.81m² 중 1.70m² 건물 17.80m² 중 4.45m² ,"13,888",554,0,"14,442",가액변동 
,,,,,,,
본인 ,상가 ,서울특별시 도봉구 쌍문동 1층 대지 9.95m² 중 2.49m² 건물 26.00m² 중 6.50m² ,"20,360",813,0,"21,173",가액변동 
,,,,,,,
본인 ,상가 ,서울특별시 도봉구 쌍문동 1층 대지 28.61m² 중 7.15m² 건물 74.77m² 중 18.69m² ,"58,601","2,223",0,"60,824",가액변동 
,,,,,,,
본인 ,상가 ,서울특별시 도봉구 쌍문동 1층 대지 9.27m² 중 2.31m² 건물 24.15m² 중 6.04m² ,"18,813",749,0,"19,562",가액변동 
,,,,,,,
본인 ,상가 ,서울특별시 도봉구 쌍문동 1층 대지 18.48m² 중 4.62m² 건물 48.30m² 중 12.08m² ,"37,629","1,499",0,"39,128",가액변동 
,,,,,,,
본인 ,상가 ,서울특별시 도봉구 쌍문동 1층 대지 9.37m² 중 2.34m² 건물 24.50m² 중 6.13m² ,"18,938",870,0,"19,808",가액변동 
,,,,,,,
본인 ,상가 ,서울특별시 도봉구 쌍문동 1층 대지 40.90m² 중 10.22m² 건물 106.55m² 중 26.64m² ,"83,240","3,320",0,"86,560",가액변동 
,,,,,,,
본인 ,아파트 ,"인천광역시 남구 주안동 더월드스테이트 아파트 건물 60.00m² (건물 59,936.00m² 감소) ","195,000","9,000",0,"204,000",가액변동 
,,,,,,,
배우자 ,상가 ,경기도 고양시 일산동구 풍동 신성프라쟈 대지 8.09m² 중 4.04m² 건물 26.77m² 중 13.38m² ,"37,297",84,0,"37,381",가액변동 
,,,,,,,
배우자 ,아파트 ,서울특별시 양천구 목동 목동신시가지(아) 건물 145.13m² 중 72.57m² ,"484,000","80,000",0,"564,000",가액변동 
,,,,,,,
배우자 ,아파트 전세(임차)권 ,인천광역시 남구 주안동 더월드스테이트 아파트 건물 60.00m² ,"240,000","15,000",0,"255,000",계약변경 
,,,,,,,
부 ,단독주택 ,충청남도 홍성군 홍동면 문당리 대지 460.00m² 건물 66.77m² ,"22,800","1,000",0,"23,800",가액변동 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"1,000",0,0,"1,000",,,
,,,,,,,
본인 ,자동차 ,"2005년식 SM5 배기량(2,000cc) ","1,000",- ,- ,"1,000",변동없음 
,,,,,,,
▶ 예금(소계) ,"2,087,846","1,157,075","1,180,278","2,064,643",,,
,,,,,,,
본인 ,,"미래에셋대우(주) 2, 신한은행 665,107(6,276 감소), 노란우산공제회 12,000(3,000 증가), NH투자증권 9, 농협은행 8,669(48,694 감소), 국민은행 10,251, (주)KEB하나은행 42, 교보생명보험 38,000(3,000 증가), 새마을금고중앙회 공제사업부 1,050(600 증가) ","783,500","632,766","681,136","735,130",급여저축및생활비지출등 
,,,,,,,
배우자 ,,"(주)KEB하나은행 140,655(4,547 증가), 미래에셋대우(주) 231,527(27,982 감소), 푸르덴셜생명보험 297,978(23,940 증가), 삼성화재해상보험 1,010(240 증가), 삼성생명보험 141,520(4,080 증가), 신한은행 2,946(1,699 증가), 중소기업은행 13,116(2,621 증가), 동양생명보험 239,536, 신한생명보험 22,319(3,252 증가) ","1,078,210","483,528","471,131","1,090,607",
,,,,,,,
부 ,,"농협중앙회 2,848(3,562 감소), 홍성군산림조합 40 ","6,450",262,"3,824","2,888",
,,,,,,,
차남 ,,"푸르덴셜생명보험 82,584, 니쯔비씨도쿄UFJ은행홍고지점(일본) 5,899(5,358 증가), (주)KEB하나은행 43,004(7,817 증가), 에이비엘생명보험 100,000, 우체국 550(157 증가), 신한은행 3,981(3,000 증가) ","219,686","40,519","24,187","236,018",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"49,214",0,"45,691","3,523",,,
,,,,,,,
본인 ,,"농협중앙회 3,523(45,691 감소) ","49,214",0,"45,691","3,523",정치자금 사용 
,,,,,,,
▶ 유가증권(소계) ,"98,203","27,970","3,580","122,593",,,
,,,,,,,
배우자 ,상장주식 ,"한국ANKOR유전25,572주,맵스미국9-2호 29,412주(29,412주 증가) ","48,203","27,970","3,580","72,593",평가액변동및 펀드가 주식으로 변동 
,,,,,,,
배우자 ,회사채 ,"우리은행조건부 50,000주 ","50,000",0,0,"50,000",
,,,,,,,
▶ 채권(소계) ,"394,509",0,"2,475","392,034",,,
,,,,,,,
본인 ,,사인간채권 감소 ,"394,509",0,"2,475","392,034",일부환수 
,,,,,,,
▶ 채무(소계) ,"417,500",0,0,"417,500",,,
,,,,,,,
본인 ,건물임대채무 ,서울특별시 도봉구 쌍문동 1층 임대보증금 ,"62,500",0,0,"62,500",변동없음 
,,,,,,,
