소속 ,국회 ,직위 ,국회의원 ,성명 ,홍철호 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"100,403",771,0,"101,174",,,
,,,,,,,
본인 ,임야 ,경기도 김포시 월곶면 용강리 산 47-1번지 127.20m² 중 127.20m² ,"1,742",0,0,"1,742",변동없음 
,,,,,,,
본인 ,임야 ,"경기도 김포시 월곶면 용강리 산 47-2번지 3,138.40m² 중 3,138.40m² ","41,740",0,0,"41,740",변동없음 
,,,,,,,
본인 ,전 ,경기도 김포시 월곶면 용강리 337-1번지 741.00m² ,"38,309",519,0,"38,828",가액변동 
,,,,,,,
본인 ,전 ,"경기도 김포시 월곶면 용강리 337-3번지 1,762.00m² 중 360.00m² ","18,612",252,0,"18,864",가액변동 
,,,,,,,
▶ 건물(소계) ,"1,266,000","363,000","410,000","1,219,000",,,
,,,,,,,
본인 ,사무실 전세(임차)권 ,경기도 김포시 운양동 헤리움타운 건물 0.00m² (건물 65.71m² 감소) ,"60,000",0,"60,000",0,계약해지 
,,,,,,,
본인 ,아파트 전세(임차)권 ,경기도 김포시 운양동 한라비발디아파트 건물 0.00m² (건물 131.00m² 감소) ,"350,000",0,"350,000",0,계약해지 
,,,,,,,
본인 ,단독주택 ,경기도 고양시 일산동구 마두동 대지 136.50m² 건물 243.88m² 중 121.94m² ,"428,000","16,500",0,"444,500",가액변동 
,,,,,,,
본인 ,아파트 전세(임차)권 ,경기도 김포시 운양동 한강신도시 푸르지오 건물 80.80m² (건물 80.80m² 증가) ,- ,"230,000",0,"230,000",신규임차 
,,,,,,,
본인 ,사무실 전세(임차)권 ,경기도 김포시 구래동 카림애비뉴상가 2층 건물 149.08m² (건물 149.08m² 증가) ,- ,"100,000",0,"100,000",신규임차 
,,,,,,,
배우자 ,단독주택 ,경기도 고양시 일산동구 마두동 대지 136.50m² 건물 243.88m² 중 121.94m² ,"428,000","16,500",0,"444,500",가액변동 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"130,160",0,"37,250","92,910",,,
,,,,,,,
본인 ,자동차 ,"2014년식 카니발 배기량(2,199cc) 감소 ","21,930",0,"21,930",0,처분(매도) 
,,,,,"-23,000",,
,,,,,,,
본인 ,자동차 ,"2016년식 제네시스 배기량(5,035cc) ","92,060",0,"13,100","78,960",가액변동 
,,,,,,,
배우자 ,자동차 ,"2014년식 LF쏘나타 배기량(1,999cc) ","16,170",0,"2,220","13,950",가액변동 
,,,,,,,
▶ 예금(소계) ,"938,447","391,063","215,139","1,114,371",,,
,,,,,,,
본인 ,,"중소기업은행 1,565(56 증가), 김포한강신협 5,376(100 증가), 대곶신협 327(1,495 감소), 우리은행 22, 우체국 3,726(1,542 증가), 농협은행 10,300(37,895 감소), 통진신협 104(2 증가), 농협중앙회 152,808(46,213 증가), (주)KEB하나은행 14, 김포시산림조합 1,000 ","166,719","47,918","39,395","175,242",생활비지출및급여저축등 
,,,,,,,
배우자 ,,"국민은행 836(1 증가), 메리츠화재해상보험 2,380(336 증가), 일산신협 9,785(30,000 감소), (주)KB손해보험 18,957(2,556 증가), 삼성생명보험 50,000, 동양생명보험 69,300(13,200 증가), 신한은행 211,428(65,651 증가), 메트라이프생명보험 75,802(7,647 증가), 신한생명보험 77,495(5,602 증가), 한화생명보험 50,000, 교보생명보험 25,264(3,600 증가), 일산신협 30,000(30,000 증가) ","522,654","231,450","132,857","621,247",
,,,,,,,
장남 ,,"신한은행 71,672(39,267 증가), 중소기업은행 9,521(6,515 증가), 흥국생명보험 36,000, 삼성생명보험 3,528, 한국카카오은행(주) 47,607(47,607 증가), (주)KEB하나은행 187(33,223 감소), 푸르덴셜생명보험 149,367(8,642 증가) ","249,074","111,695","42,887","317,882",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"12,685","33,725",0,"46,410",,,
,,,,,,,
본인 ,,"농협중앙회 46,410(33,725 증가) ","12,685","33,725",0,"46,410",정치자금 잔액변동 
,,,,,,,
▶ 유가증권(소계) ,"3,360,000",0,0,"3,360,000",,,
,,,,,,,
본인 ,비상장주식 ,"(주)플러스원 400,000주, (주)크레치코 260,000주 ","3,300,000",0,0,"3,300,000",변동없음 
,,,,,,,
장남 ,비상장주식 ,"(주)엔 팜 12,000주 ","60,000",0,0,"60,000",
,,,,,,,
▶ 채권(소계) ,0,"295,000",0,"295,000",,,
,,,,,,,
본인 ,,사인간채권 증가 ,0,"295,000",0,"295,000",사인간채권 
,,,,,,,
▶ 채무(소계) ,"389,000",0,"389,000",0,,,
,,,,,,,
본인 ,,사인간채무 감소 ,"389,000",0,"389,000",0,전액상환 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,"1,239,484",0,"1,239,484",0,,,
,,,,,,,
부 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
모 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
차녀 ,,고지거부 ,"1,239,484",0,"1,239,484",0,독립생계유지 
,,,,,,,
총계 ,"6,658,179","1,083,559","1,512,873","6,228,865","증 감 액 : -429,314천원 (가액변동: 18,451천원) ",,
,,,,,,,
