소속 ,국회 ,직위 ,국회의원 ,성명 ,황영철 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"284,000","30,000",0,"314,000",,,
,,,,,,,
본인 ,연립주택 ,강원도 홍천군 홍천읍 희망리 건물 115.70m² ,"61,000",0,0,"61,000",가액변동 없음 
,,,,,,,
배우자 ,연립주택 ,강원도 홍천군 홍천읍 신장대리 대지 49.00m² 건물 65.41m² ,"53,000",0,0,"53,000",가액변동 없음 
,,,,,,,
배우자 ,아파트 전세(임차)권 ,서울특별시 종로구 명륜2가 명륜아남아파트 건물 44.37m² ,"170,000","30,000",0,"200,000",보증금 증가 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"9,000",0,0,"9,000",,,
,,,,,,,
본인 ,자동차 ,"2015년식 아반떼 배기량(1,591cc) ","9,000",- ,- ,"9,000",가액변동 없음 
,,,,,,,
▶ 예금(소계) ,"299,720","91,740","104,538","286,922",,,
,,,,,,,
본인 ,,"미래에셋생명보험 15,631(1,303 증가), 현대해상화재보험 5,678(817 증가), 신한은행 805(2,000 감소), 한화손해보험 3,253(235 증가), 홍천신협 692(11 증가), 농협은행 13,246(5,425 감소), 농협중앙회 108, 홍천신협 73 ","44,545","2,368","7,427","39,486",급여저축및생활비지출등 
,,,,,,,
배우자 ,,"한국교직원공제회 76,419(9,444 증가), 새마을금고중앙회 공제사업부 8,844(1,206 증가), 현대해상화재보험 26,891(562 증가), 국민은행 71,303(29,886 감소), 삼성생명보험 39,060 (3,060 증가), 우리은행 3,808(1,118 증가), 한화생명보험 15,170(3,939 증가), 농협은행 4,300(3,200 증가) ","253,152","88,739","96,096","245,795",
,,,,,,,
모 ,,"국민은행 34, 농협은행 310(31 증가), 우체국 6, 신한은행 20, 홍천 576(733 감소), 현대해상화재보험 650(600 증가) ","1,698",631,733,"1,596",
,,,,,,,
장남 ,,"신한은행 3(282 감소), 국민은행 40, 우리은행 2(2 증가) ",325,2,282,45,
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"14,426",0,"9,317","5,109",,,
,,,,,,,
본인 ,,"농협중앙회 5,109(9,317 감소) ","14,426",0,"9,317","5,109",정치자금 지출 
,,,,,,,
총계 ,"607,146","121,740","113,855","615,031","증감액:7,885천원 ",,
,,,,,,,
