소속 ,국회 ,직위 ,국회의원 ,성명 ,황주홍 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"1,107,334","48,912",0,"1,156,246",,,
,,,,,,,
본인 ,전 ,전라남도 강진군 강진읍 동성리 527-17번지 323.00m² ,"29,716","3,746",0,"33,462",가액변동 
,,,,,,,
본인 ,전 ,전라남도 강진군 강진읍 동성리 527-22번지 274.00m² ,"26,550","3,316",0,"29,866",가액변동 
,,,,,,,
본인 ,전 ,전라남도 강진군 강진읍 동성리 527-25번지 30.00m² ,"3,015",126,0,"3,141",가액변동 
,,,,,,,
본인 ,전 ,전라남도 강진군 강진읍 동성리 527-18번지 192.00m² ,"19,296",806,0,"20,102",가액변동 
,,,,,,,
본인 ,대지 ,전라남도 강진군 강진읍 동성리 524-1번지 497.00m² ,"49,948","2,087",0,"52,035",가액변동 
,,,,,,,
배우자 ,대지 ,서울특별시 동작구 노량진동 148-56번지 133.90m² ,"978,809","38,831",0,"1,017,640",가액변동 
,,,,,,,
▶ 건물(소계) ,"1,895,075","159,966",0,"2,055,041",,,
,,,,,,,
본인 ,단독주택 ,전라남도 강진군 강진읍 동성리 대지 321.00m² 건물 141.14m² ,"167,000","17,000",0,"184,000",가액변동 
,,,,,,,
배우자 ,아파트 ,서울특별시 양천구 목6동 목동신시가지 건물 0.00m² (건물 0.00m² 감소) ,0,0,0,0,
,,,,,,,
배우자 ,아파트 ,서울특별시 양천구 목동 목동신시가지 건물 65.10m² ,"560,000","90,000",0,"650,000",가액변동 
,,,,,,,
배우자 ,상가 ,인천광역시 계양구 용종동 새롬2차프라자 건물 86.11m² ,"197,075","41,966",0,"239,041",가액변동 
,,,,,,,
배우자 ,아파트 ,광주광역시 남구 봉선동 포스코아파트 건물 107.00m² ,"371,000","11,000",0,"382,000",가액변동 
,,,,,,,
배우자 ,아파트 전세(임차)권 ,서울특별시 마포구 신공덕동 신공덕1차 삼성래미안아파트 건물 114.75m² ,"600,000",0,0,"600,000",
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"57,310",0,"11,360","45,950",,,
,,,,,,,
배우자 ,자동차 ,"2005년식 그렌저TG 배기량(2,656cc) ","3,350",0,400,"2,950",가액변동 
,,,,,,,
배우자 ,자동차 ,"2014년식 트랙스1.4 배기량(1,362cc) ","5,655",0,780,"4,875",가액변동 
,,,,,,,
배우자 ,자동차 ,"2018년식 G70 배기량(2,000cc) ","42,650",0,"9,400","33,250",가액변동 
,,,,,,,
장녀 ,자동차 ,"2014년식 트랙스1.4 배기량(1,362cc) ","5,655",0,780,"4,875",가액변동 
,,,,,,,
▶ 예금(소계) ,"1,021,765","241,516","183,318","1,079,963",,,
,,,,,,,
본인 ,,"미래에셋생명보험 9,500(1,200 증가), 신한은행 1,475(1 증가), 삼성생명보험 10,828(1,973 증가), NH투자증권 136, 농협은행 16,146(29,839 감소), 한화생명보험 105,450(10,975 증가), 농협중앙회 0(600 감소), 광주은행 3,955(25 감소), DB손해보험(주) 3,640(840 증가), IBK연금보험 22,000(12,000 증가), 삼성화재해상보험 9,307(1,188 증가) ","184,724","34,002","36,289","182,437",생활비지출등 
,,,,,,,
배우자 ,,"한국교직원공제회 97,965(6,934 증가), 광주은행 5,031(7,821 감소), 국민은행 47,035(1,336 증가), 우체국 3,575(157 감소), (주)KB손해보험 4,320(480 증가), NH투자증권 405,092(21,876 증가), 한화손해보험 0(40 감소), 한화생명보험 70,177(2,866 증가), 농협손해보험 105(105 증가), 한국투자증권 168,994(31,311 증가) ","745,404","177,031","120,141","802,294",
,,,,,,,
장녀 ,,"케이디비생명보험 3,216(224 증가), 국민은행 21,915(9,589 증가), 우리은행 11, 한화손해보험 110(110 증가), NH투자증권 34,902(669 증가), 한국투자증권 31,716(6,613 감소), 메리츠화재해상보험 0(3,623 감소), DB생명보험(주) 1,603(1,480 증가), 신한은행 1,759(1,759 증가) ","91,637","30,483","26,888","95,232",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"47,107","53,078",0,"100,185",,,
,,,,,,,
본인 ,,"농협은행 100,185(53,078 증가) ","47,107","53,078",0,"100,185",후원금 증가 
,,,,,,,
▶ 유가증권(소계) ,"221,296","51,069","83,591","188,774",,,
,,,,,,,
배우자 ,상장주식 ,"PingAnIns 700주(800주감소),Moutai0주(100주감소), ChinaMrchntBank 2,100주(2,100주 증가), CRRC Times Elec 1,700주(1,700주 증가), 켐트로닉스 1주, NetEase 0주(16주 감소), Galaxy Ent 0주(1,000주 감소), [601933]영휘마 200주(200주 증가), 지역난방공사 12주, Tencent Holding 100주(200주 감소), Meituan Dianpin 900주(900주 증가), [601888]중국국 100주(100주 증가), CSOP FTSE China 4,200주(4,200주 증가), KT&G 24주(3주 증가), 현대차우 22주(1주 증가), KT 98주(13주 증가), Jiangsu Hengrui 0주(920주 감소), 한국가스공사 1주(1주 증가), HS China Entprs 600주(600주 증가), KODEX 레버리지 0주(963주 감소), [600196]복성제 200주(200주 증가), SK하이닉스 5주(5주 증가)","94,614","49,503","82,903","61,214",평가액변동 및 일부매매 
,,,,,,,
,,,,,,,
배우자 ,국채 ,"BNTNF 10 01/01 246,876주 ","90,314",0,0,"90,314",
,,,,,,,
장녀 ,상장주식 ,"[600196]복성제 100주(100주 증가), [601933]영휘마 100주(100주 증가), 지역난방공사 12주, KT 61주(2주 증가), 현대차우 15주(1주 증가), [601888]중국국 100주(100주 증가),한국가스공사 1주(1주증가),KT&G17주 ","5,934","1,566",688,"6,812",
,,,,,,,
장녀 ,국채 ,"BNTNF 10 01/01 80,000주 ","30,434",0,0,"30,434",
,,,,,,,
▶ 채무(소계) ,"1,290,000","40,000",0,"1,330,000",,,
,,,,,,,
본인 ,,사인간채무 ,"560,000",0,0,"560,000",
,,,,,,,
본인 ,금융기관채무 ,"농협은행 310,000, 광주은행 30,000 ","340,000",0,0,"340,000",
,,,,,,,
배우자 ,건물임대채무 ,서울특별시 양천구 목6동 목동신시가지 임대보증금 증가 ,"360,000","40,000",0,"400,000",보증금 인상 
,,,,,,,
배우자 ,건물임대채무 ,인천광역시 계양구 용종동 새롬2차프라자 임대보증금 ,"30,000",0,0,"30,000",
,,,,,,,
총계 ,"3,059,887","514,541","278,269","3,296,159","증 감 액 : 236,272천원 (가액변동: 196,897천원) ",,
,,,,,,,
