소속 ,국회 ,직위 ,국회의원 ,성명 ,황희 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"400,000",0,0,"400,000",,,
,,,,,,,
본인 ,상가 전세(임차)권 ,서울특별시 양천구 신정동 건물 0.00m² (건물 59.00m² 감소) ,0,0,0,0,
,,,,,,,
본인 ,복합건물(주 택+상가) 전세(임차)권 ,서울특별시 양천구 목동 트라팰리스 이스턴에비뉴 4층 건물 21.00m² ,"50,000",0,0,"50,000",변동없음 
,,,,,,,
배우자 ,아파트 전세(임차)권 ,서울특별시 양천구 목동 목동2단지 아파트 건물 95.00m² ,"350,000",0,0,"350,000",변동없음 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"53,246",0,"13,696","39,550",,,
,,,,,,,
배우자 ,자동차 ,"2017년식 G80 배기량(3,342cc) ","53,246",0,"13,696","39,550",가액변동 
,,,,,,,
▶ 예금(소계) ,"77,327","16,696","8,155","85,868",,,
,,,,,,,
본인 ,,"푸르덴셜생명보험 26,181(1,404 증가), 신한은행 5, KB증권 4, 농협은행 14,405(4,105 증가), 국민은행 756(1,911 감소), 농협중앙회 6, 수협은행 6, (주)KEB하나은행 6, 한국투자증권 32, 스탠다드차타드은행 757(1,673 감소) ","40,233","8,112","6,187","42,158",급여저축및생활비지출등 
,,,,,,,
배우자 ,,"(주)KEB하나은행 251(1 증가), 국민은행 13,656(2,223 증가), 푸르덴셜생명보험 9,748(555 증가), KB증권 8, 메리츠화재해상보험 1,112(632 증가), 신한은행 6,168(1,045 감소), 동양생명보험 0(148 감소), 씨티은행 2,844(2,448 증가), 농협은행 37 ","29,158","6,634","1,968","33,824",
,,,,,,,
장녀 ,,"국민은행 9,886(1,950 증가) ","7,936","1,950",0,"9,886",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"30,494","54,372",0,"84,866",,,
,,,,,,,
본인 ,,"농협은행 84,866(54,372 증가) ","30,494","54,372",0,"84,866",후원금증가 
,,,,,,,
▶ 채무(소계) ,"295,123","180,000","239,163","235,960",,,
,,,,,,,
본인 ,,사인간채무 감소 ,"27,500","20,000","27,500","20,000",급여 등으로 상환 
,,,,,,,
본인 ,금융기관채무 ,"롯데오토리스 주식회사 17,927(13,446 감소), 국민은행 10,965(1,854 감소), 스탠다드차타드은행 8,510(697 감소) ","53,399",0,"15,997","37,402",급여 등으로 상환 
,,,,,,,
배우자 ,금융기관채무 ,"신한은행 160,000(30,000 감소), 현대캐피탈 18,558(5,666 감소) ","214,224","160,000","195,666","178,558",전세대출 변경 등 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
부 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
총계 ,"265,944","-108,932","-217,312","374,324","증 감 액 : 108,380천원 (가액변동: -13,696천원) ",,
,,,,,,,
