소속 ,국회 ,직위 ,국회의원 ,성명 ,김동철 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,97,4,0,101,,,
,,,,,,,
본인 ,도로 ,서울특별시 영등포구 대림동 762-15번지 0.04m² ,30,1,0,31,"가액변동, 1985년 직장조합 아파트대지로서 사실상 소유 관련 없음 "
,,,,,,,
본인 ,도로 ,서울특별시 영등포구 대림동 765-10번지 0.03m² ,22,1,0,23,"가액변동, 1985년 직장조합 아파트대지로서 사실상 소유 관련 없음 "
,,,,,,,
본인 ,도로 ,서울특별시 영등포구 대림동 765-11번지 0.06m² ,45,2,0,47,"가액변동, 1985년 직장조합 아파트대지로서 사실상 소유 관련 없음 "
,,,,,,,
▶ 건물(소계) ,"798,000","84,000",0,"882,000",,,
,,,,,,,
본인 ,아파트 ,광주광역시 광산구 월곡동 영천마을주공10단지아파트 건물 84.86m² ,"154,000","10,000",0,"164,000",가액변동 
,,,,,,,
본인 ,아파트 ,서울특별시 동작구 흑석동 흑석한강푸르지오아파트 건물 115.84m² ,"624,000","74,000",0,"698,000",가액변동 
,,,,,,,
본인 ,사무실 전세(임차)권 ,광주광역시 광산구 월곡동 운남빌딩 건물 125.78m² ,"20,000",0,0,"20,000",변동없음 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"17,490","16,352","3,090","30,752",,,
,,,,,,,
본인 ,자동차 ,"2005년식 뉴아반떼XD 배기량(1,600cc) ","2,740",0,300,"2,440",가액변동 
,,,,,,,
본인 ,자동차 ,"2009년식 제네시스 배기량(3,342cc) ","14,750",0,"2,790","11,960",가액변동 
,,,,,,,
장남 ,자동차 ,"2016년식 K5 배기량(1,999cc) 증가 ",0,"5,530",0,"5,530",리스자동차 보증금 
,,,,,,,
장녀 ,자동차 ,"2016년식 니로 배기량(1,580cc) 증가 ",0,"10,822",0,"10,822",장기렌탈 자동차 보증금 
,,,,,,,
▶ 예금(소계) ,"1,698,220","1,614,400","1,383,080","1,929,540",,,
,,,,,,,
본인 ,,"삼성생명보험 29,750(3,000 증가), 신용협동조합중앙회 140(3 증가), KB증권 2, NH투자증권 4, 광주어룡신협 35, 농협은행 5,212(948 감소), 국민은행 1,205,987(157,162 감소), 광주은행 1 ","1,396,238","1,123,586","1,278,693","1,241,131",급여저축등 
,,,,,,,
배우자 ,,"(주)KEB하나은행 1,910(1,041 증가), 미래에셋대우(주) 4, 국민은행 402,234(402,186 증가), 삼성생명보험 66,000(12,000 증가), (주)KB손해보험 3,947(1,388 증가), 농협중앙회 8,000(8,000 증가), 롯데손해보험 20,000 ","77,480","424,615",0,"502,095",급여저축등 
,,,,,,,
장남 ,,"동양생명보험 16,000, 신용협동조합중앙회 7,391(1,982 증가), KB증권 11,725(13,286 감소), 삼성생명보험 26,000(6,000 증가), 한국카카오은행(주) 90(90 증가), 국민은행 84,518(27,989 증가) ","122,949","59,190","36,415","145,724",
,,,,,,,
장녀 ,,"국민은행 24,585(60,967 감소), 미래에셋대우(주) 1(1 증가), 동양생명보험 16,000, KB증권 3(2 증가), 신한은행 1(1 증가) ","101,553","7,009","67,972","40,590",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"169,408",0,"18,836","150,572",,,
,,,,,,,
본인 ,,"농협은행 150,572(18,836 감소) ","169,408",0,"18,836","150,572",정치자금 지출 등 
,,,,,,,
▶ 유가증권(소계) ,"62,700","103,607","12,800","153,507",,,
,,,,,,,
본인 ,비상장주식 ,"(주)광주시민프로축구단 200주, 한겨레 100주 ","1,500",0,0,"1,500",평가액변동및주식신규매입등 
,,,,,,,
장남 ,상장주식 ,"엑셈 10,000주(10,000주 증가), SK하이닉스 800주 ","61,200","27,900","12,800","76,300",
,,,,,,,
장녀 ,상장주식 ,"옵티팜 8,238주(8,238주 증가) ",0,"75,707",0,"75,707",
,,,,,,,
▶ 채무(소계) ,0,"20,867",0,"20,867",,,
,,,,,,,
장남 ,금융기관채무 ,"KB캐피탈 20,867(20,867 증가) ",0,"20,867",0,"20,867",리스대금 
,,,,,,,
총계 ,"2,745,915","1,797,496","1,417,806","3,125,605","증 감 액 : 379,690천원 (가액변동: 68,114천원) ",,
,,,,,,,
