소속 ,국회 ,직위 ,국회부의장 ,성명 ,주승용 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"2,501,788","102,139","2,935","2,600,992",,,
,,,,,,,
본인 ,임야 ,전라남도 여수시 화치동 산 16-2번지 942.00m² ,"20,158","1,508",0,"21,666",가액변동 
,,,,,,,
본인 ,잡종지 ,전라남도 보성군 득량면 예당리 2243번지 930.50m² ,"1,228",56,0,"1,284",가액변동 
,,,,,,,
본인 ,잡종지 ,"전라남도 보성군 득량면 예당리 2244번지 1,016.50m² ","1,341",61,0,"1,402",가액변동 
,,,,,,,
본인 ,제방 ,전라남도 보성군 득량면 예당리 2283-6번지 267.00m² ,0,0,0,0,
,,,,,,,
본인 ,임야 ,"전라남도 여수시 소라면 대포리 산 151번지 32,727.00m² ","31,057","1,997",0,"33,054",가액변동 
,,,,,,,
본인 ,임야 ,"전라남도 여수시 소라면 대포리 산 152번지 20,430.00m² ","19,388","1,246",0,"20,634",가액변동 
,,,,,,,
본인 ,답 ,전라남도 여수시 소라면 덕양리 1042-41번지 258.00m² ,"37,203","2,658",0,"39,861",가액변동 
,,,,,,,
본인 ,대지 ,전라남도 여수시 소라면 덕양리 1074-5번지 26.66m² ,"15,100",768,0,"15,868",가액변동 
,,,,,,,
본인 ,대지 ,전라남도 여수시 소라면 덕양리 1074-6번지 2.96m² ,"1,676",85,0,"1,761",가액변동 
,,,,,,,
본인 ,잡종지 ,전라남도 보성군 득량면 예당리 2236번지 929.00m² ,"1,226",0,0,"1,226",가액변동없음 
,,,,,,,
본인 ,잡종지 ,전라남도 보성군 득량면 예당리 2237번지 537.00m² ,708,33,0,741,가액변동 
,,,,,,,
본인 ,잡종지 ,전라남도 보성군 득량면 예당리 2239번지 925.50m² ,"1,221",56,0,"1,277",가액변동 
,,,,,,,
본인 ,잡종지 ,전라남도 보성군 득량면 예당리 2240번지 937.00m² ,"1,236",57,0,"1,293",가액변동 
,,,,,,,
본인 ,잡종지 ,전라남도 보성군 득량면 예당리 2241번지 939.00m² ,"1,239",56,0,"1,295",가액변동 
,,,,,,,
본인 ,답 ,전라남도 보성군 득량면 예당리 3039-4번지 500.10m² ,"3,950",50,0,"4,000",가액변동 
,,,,,,,
본인 ,잡종지 ,전라남도 보성군 득량면 예당리 2242번지 930.50m² ,"1,228",56,0,"1,284",가액변동 
,,,,,,,
본인 ,임야 ,"전라남도 여수시 소라면 덕양리 산 191-10번지 1,012.00m² ","12,852","1,417",0,"14,269",가액변동 
,,,,,,,
본인 ,전 ,전라남도 여수시 소라면 덕양리 902번지 473.00m² ,"13,906",709,0,"14,615",가액변동 
,,,,,,,
본인 ,임야 ,"전라남도 여수시 여천동 산 50번지 8,132.00m² ","50,743","6,994",0,"57,737",가액변동 
,,,,,,,
본인 ,임야 ,"전라남도 여수시 여천동 산 66번지 19,934.00m² ","103,656","3,987",0,"107,643",가액변동 
,,,,,,,
본인 ,전 ,"전라남도 여수시 율촌면 취적리 550-1번지 2,324.00m² ","73,206","2,324",0,"75,530",가액변동 
,,,,,,,
본인 ,답 ,전라남도 여수시 율촌면 취적리 1022-3번지 351.00m² ,"19,726","1,334",0,"21,060",가액변동 
,,,,,,,
본인 ,답 ,전라남도 여수시 소라면 덕양리 1042-45번지 0.00m² (0.00m² 감소) ,0,0,0,0,
,,,,,,,
본인 ,답 ,전라남도 여수시 소라면 덕양리 1042-96번지 622.00m² (43.00m² 감소) ,"189,325",0,"2,477","186,848",행정구역변경 및 가액변동 
,,,,,,,
본인 ,답 ,전라남도 여수시 소라면 덕양리 1042-47번지 175.00m² ,"23,957","1,715",0,"25,672",가액변동 
,,,,,,,
본인 ,답 ,전라남도 여수시 소라면 덕양리 1042-49번지 188.00m² ,"27,109","1,937",0,"29,046",가액변동 
,,,,,,,
본인 ,답 ,전라남도 여수시 소라면 덕양리 1042-58번지 192.00m² ,"28,224","2,016",0,"30,240",가액변동 
,,,,,,,
본인 ,답 ,전라남도 여수시 소라면 덕양리 1042-59번지 312.00m² ,"45,864","3,276",0,"49,140",가액변동 
,,,,,,,
본인 ,답 ,전라남도 여수시 율촌면 월산리 1431-3번지 667.00m² ,"28,347",667,0,"29,014",가액변동 
,,,,,,,
본인 ,전 ,전라남도 여수시 율촌면 조화리 723-4번지 416.00m² ,"18,720",0,458,"18,262",가액변동 
,,,,,,,
본인 ,임야 ,"전라남도 여수시 율촌면 취적리 184-1번지 29,777.00m² ","425,811","29,777",0,"455,588",가액변동 
,,,,,,,
본인 ,전 ,전라남도 여수시 율촌면 취적리 550-2번지 453.00m² ,"14,269",453,0,"14,722",가액변동 
,,,,,,,
본인 ,대지 ,전라남도 여수시 소라면 덕양리 1042-46번지 227.00m² ,"64,286","3,564",0,"67,850",가액변동 
,,,,,,,
본인 ,답 ,"전라남도 여수시 소라면 대포리 1643-6번지 6,277.80m² ","106,094","6,278",0,"112,372",가액변동 
,,,,,,,
본인 ,잡종지 ,전라남도 여수시 소라면 덕양리 1042-44번지 373.00m² (43.00m² 증가) ,"97,152","18,739",0,"115,891",가액변동 
,,,,,,,
본인 ,전 ,전라남도 여수시 소라면 덕양리 1069-1번지 982.00m² ,"75,952",0,0,"75,952",가액변동없음 
,,,,,,,
본인 ,전 ,전라남도 여수시 소라면 덕양리 1071번지 821.00m² ,"63,488",0,0,"63,488",가액변동없음 
,,,,,,,
본인 ,전 ,전라남도 여수시 소라면 덕양리 1071-1번지 809.00m² ,"62,559",0,0,"62,559",가액변동없음 
,,,,,,,
본인 ,임야 ,"전라남도 여수시 소라면 덕양리 산 191-15번지 1,141.00m² ","49,494",0,0,"49,494",가액변동없음 
,,,,,,,
본인 ,임야 ,전라남도 여수시 소라면 덕양리 산 191-18번지 913.00m² ,"39,601",0,0,"39,601",가액변동없음 
,,,,,,,
본인 ,임야 ,"전라남도 여수시 소라면 덕양리 산 191-19번지 1,305.00m² ","56,604",0,0,"56,604",가액변동없음 
,,,,,,,
본인 ,임야 ,"전라남도 여수시 소라면 덕양리 산 191-16번지 1,392.00m² ","81,061",0,0,"81,061",가액변동없음 
,,,,,,,
본인 ,임야 ,전라남도 여수시 소라면 덕양리 산 191-20번지 679.00m² ,"39,539",0,0,"39,539",가액변동없음 
,,,,,,,
본인 ,임야 ,"전라남도 여수시 소라면 덕양리 산 191-21번지 1,154.00m² ","67,198",0,0,"67,198",가액변동없음 
,,,,,,,
본인 ,임야 ,"전라남도 여수시 소라면 덕양리 산 191-17번지 2,128.00m² ","123,900",0,0,"123,900",가액변동없음 
,,,,,,,
본인 ,답 ,전라남도 여수시 소라면 덕양리 1042-42번지 201.00m² ,"59,174","3,276",0,"62,450",가액변동 
,,,,,,,
본인 ,답 ,전라남도 여수시 소라면 덕양리 1042번지 202.00m² ,"59,468","3,293",0,"62,761",가액변동 
,,,,,,,
배우자 ,임야 ,전라남도 여수시 소라면 덕양리 산 191-8번지 995.00m² ,"57,942",0,0,"57,942",가액변동없음 
,,,,,,,
배우자 ,임야 ,전라남도 여수시 소라면 덕양리 산 191-12번지 995.00m² ,"57,942",0,0,"57,942",가액변동없음 
,,,,,,,
배우자 ,임야 ,전라남도 여수시 소라면 덕양리 산 191-13번지 930.00m² ,"54,158",0,0,"54,158",가액변동없음 
,,,,,,,
배우자 ,임야 ,전라남도 여수시 소라면 덕양리 산 191-14번지 353.00m² ,"20,556",0,0,"20,556",가액변동없음 
,,,,,,,
배우자 ,임야 ,전라남도 여수시 소라면 덕양리 산 190번지 694.00m² ,"23,000",0,0,"23,000",가액변동없음 
,,,,,,,
장녀 ,임야 ,"전라남도 여수시 율촌면 조화리 산 27-3번지 2,975.00m² ","28,946","1,696",0,"30,642",가액변동 
,,,,,,,
▶ 건물(소계) ,"3,637,679","1,081,925",0,"4,719,604",,,
,,,,,,,
본인 ,사무실 ,"전라남도 여수시 소라면 덕양리 대지 6,880.00m² 건물 2,112.60m² ","1,967,383","104,609",0,"2,071,992",가액변동 
,,,,,,,
본인 ,단독주택 ,"전라남도 여수시 소라면 덕양리 대지 1,147.00m² 건물 182.29m² ","123,000","6,000",0,"129,000",가액변동 
,,,,,,,
본인 ,단독주택 ,전라남도 여수시 소라면 덕양리 대지 53.00m² 건물 58.10m² ,"34,605","1,648",0,"36,253",가액변동 
,,,,,,,
본인 ,창고 ,전라남도 여수시 소라면 덕양리 대지 185.00m² 건물 138.00m² ,"29,643","1,471",0,"31,114",가액변동 
,,,,,,,
본인 ,기타 ,전라남도 여수시 소라면 덕양리 대지 287.00m² 건물 113.00m² ,"114,556","5,787",0,"120,343",가액변동 
,,,,,,,
본인 ,상가 ,전라남도 여수시 중앙동 대지 139.00m² 건물 296.94m² ,"615,492","3,410",0,"618,902",가액변동 
,,,,,,,
배우자 ,아파트 ,서울특별시 송파구 잠실동 잠실3단지 트리지움 아파트 건물 110.53m² ,"753,000","159,000",0,"912,000",가액변동 
,,,,,,,
장남 ,빌딩 전세(임차)권 ,광주광역시 동구 대인동 건물 104.44m² (건물 104.44m² 증가) ,- ,"750,000",0,"750,000",신규전세계약 
,,,,,,,
