소속 ,국회 ,직위 ,국회의원 ,성명 ,김두관 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"8,155",568,0,"8,723",,,
,,,,,,,
본인 ,대지 ,경상남도 남해군 고현면 이어리 541-11번지 113.00m² ,"4,859",339,0,"5,198",가액변동 
,,,,,,,
본인 ,대지 ,경상남도 남해군 고현면 이어리 540-3번지 65.00m² ,"3,133",221,0,"3,354",가액변동 
,,,,,,,
본인 ,대지 ,경상남도 남해군 고현면 이어리 716-9번지 26.00m² ,163,8,0,171,가액변동 
,,,,,,,
▶ 건물(소계) ,"301,100","2,300",0,"303,400",,,
,,,,,,,
본인 ,단독주택 ,경상남도 남해군 고현면 이어리 대지 190.00m² 건물 59.50m² ,"11,100","2,300",0,"13,400",가액변동 
,,,,,,,
본인 ,사무실 전세(임차)권 ,경기도 김포시 고촌읍 신곡리 엔타운빌딩 건물 196.79m² ,"30,000",0,0,"30,000",변동없음 
,,,,,,,
배우자 ,아파트 전세(임차)권 ,경기도 김포시 풍무동 현대프라임빌아파트 건물 158.54m² ,"260,000",0,0,"260,000",변동없음 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"28,129",0,"6,049","22,080",,,
,,,,,,,
배우자 ,자동차 ,"2018년식 말리부1.5터보 배기량(1,490cc) ","28,129",0,"6,049","22,080",가액변동 
,,,,,,,
▶ 예금(소계) ,"220,616","68,900","24,708","264,808",,,
,,,,,,,
본인 ,,"미래에셋대우(주) 44, 우리은행 1,032(1 증가), 삼성생명보험 21,571(8,412 증가), 중소기업은행 19, 우체국 3,860(1,492 증가), 농협은행 26,789(3,226 증가), 김포신협 301(1 증가), 국민은행 1,632(454 감소), 경남은행 2,618 ","45,188","13,132",454,"57,866",급여저축및생활비지출등 
,,,,,,,
배우자 ,,"(주)KEB하나은행 827, 현대해상화재보험 9,100(1,200 증가), 국민은행 1,492(912 증가), (주)KB손해보험 33,240(4,323 증가), 동양생명보험 76,262(7,804 증가), AIA생명보험 2,192(62 증가), 미송 79(1 증가), 농협은행 2,267(1,239 감소), 경남은행 21 ","112,417","15,042","1,979","125,480",
,,,,,,,
장녀 ,,"케이뱅크 0(1 감소), 중국은행 21,004(14,957 증가), 현대해상 화재보험 4,087(578 증가), 동양생명보험 34,400(4,800 증가), 우리은행 2,652(1,020 증가), 한국카카오은행(주) 3,732(3,732 증가), 신한은행 15,550(4,645 감소) ","60,984","40,726","20,285","81,425",
,,,,,,,
장남 ,,"신한은행 9, 씨티은행 6, 우리은행 22(1,990 감소) ","2,027",0,"1,990",37,
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"158,376",0,"69,435","88,941",,,
,,,,,,,
본인 ,,"농협은행 88,941(69,435 감소) ","158,376",0,"69,435","88,941",정치자금 지출 등 
,,,,,,,
▶ 채무(소계) ,"255,792",0,"46,085","209,707",,,
,,,,,,,
본인 ,,사인간채무 ,"20,000",0,0,"20,000",변동없음 
,,,,,,,
본인 ,금융기관채무 ,"현대캐피탈 11,985(7,354 감소), 경남은행 64,408(26,237 감소) ","109,984",0,"33,591","76,393",일부상환 
,,,,,,,
배우자 ,,사인간채무 ,"100,000",0,0,"100,000",변동없음 
,,,,,,,
배우자 ,금융기관채무 ,"하나캐피탈 13,314(12,494 감소) ","25,808",0,"12,494","13,314",일부상환 
,,,,,,,
총계 ,"460,584","71,768","54,107","478,245","증감액:17,661천원 (가액변동: -3,181천원) ",,
,,,,,,,
