소속 ,국회 ,직위 ,국회의원 ,성명 ,김무성 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"5,335",30,0,"5,365",,,
,,,,,,,
본인 ,도로 ,경기도 고양시 덕양구 오금동 420-10번지 76.00m² ,"5,335",30,0,"5,365",가액변동 
,,,,,,,
▶ 건물(소계) ,"2,272,931","210,769","10,000","2,473,700",,,
,,,,,,,
본인 ,아파트 ,부산광역시 남구 용호2동 오륙도SKVIEW아파트 건물 0.00m² (건물 0.00m² 감소) ,0,0,0,0,
,,,,,,,
본인 ,아파트 ,부산광역시 남구 용호동 오륙도SKVIEW아파트 건물 251.15m² ,"573,000","47,000",0,"620,000",가액변동 
,,,,,,,
본인 ,사무실 전세(임차)권 ,부산광역시 중구 대청동2가 7층 건물 0.00m² (건물 66.12m² 감소) ,"10,000",0,"10,000",0,계약만료 
,,,,,,,
본인 ,사무실 전세(임차)권 ,부산광역시 영도구 대교동1가 2층(브릿지타워) 건물 99.17m² ,"10,000",0,0,"10,000",
,,,,,,,
본인 ,오피스텔 전세(임차)권 ,부산광역시 영도구 봉래동2가 오션블루 건물 43.78m² ,"5,000",0,0,"5,000",
,,,,,,,
배우자 ,아파트 ,서울특별시 영등포구 여의도동 대우트럼프월드 1차 아파트 건물 244.91m² ,"1,464,000","144,000",0,"1,608,000",가액변동 
,,,,,,,
배우자 ,오피스텔 ,서울특별시 영등포구 여의도동 대우트럼프월드 1차 대지 12.70m² 건물 102.83m² ,"210,931","19,769",0,"230,700",가액변동 
,,,,,,,
▶ 예금(소계) ,"10,751,954","9,531,148","9,619,436","10,663,666",,,
,,,,,,,
본인 ,,"우리은행 0(2 감소), 부산은행 0(2,778 감소), 우체국 0(2 감소), 농협은행 1,079,243(34,102 감소), 감만2동 303(8 증가), 농협중앙회 0(5 감소), SK증권 291(49 증가) ","1,116,669",82,"36,914","1,079,837",생활비 등으로 감소 
,,,,,,,
배우자 ,,"(주)KEB하나은행 0(5 감소), 미래에셋대우(주) 380,794(380,794 증가), 국민은행 5(1,460,603 감소), 메리츠종금증권 392(261 증가), 신한은행 30, 우리은행 202,608(30,559 증가), 상호저축 은행중앙회 0(8,000,000 감소), 농협은행 1,000,000(1,000,000 증가),더케이저축은행 7,000,000(7,000,000증가),더케이 저축은행 1,000,000(1,000,000 증가) ","9,632,823","9,531,066","9,580,060","9,583,829",
,,,,,,,
장남 ,,"신한은행 0(1 감소), 중소기업은행 0(26 감소), 국민은행 0(2,428 감소), (주)KEB하나은행 0(7 감소) ","2,462",0,"2,462",0,
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"2,778","1,221",0,"3,999",,,
,,,,,,,
본인 ,,"부산은행 3,999(1,221 증가) ","2,778","1,221",0,"3,999",후원금 증가 
,,,,,,,
▶ 회원권(소계) ,"15,150",0,0,"15,150",,,
,,,,,,,
본인 ,콘도미니엄 ,(주)삼립개발 ,"15,150",- ,- ,"15,150",
,,,,,,,
총계 ,"13,048,148","9,743,168","9,629,436","13,161,880","증 감 액 : 113,732천원 (가액변동: 210,799천원) ",,
,,,,,,,
