소속 ,국회 ,직위 ,국회의원 ,성명 ,김민기 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"200,000",0,0,"200,000",,,
,,,,,,,
배우자 ,아파트 전세(임차)권 ,경기도 용인시 기흥구 구갈동 가현마을신안아파트 건물 109.71m² ,"200,000",- ,- ,"200,000",변동없음 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"32,160",0,"4,250","27,910",,,
,,,,,,,
본인 ,자동차 ,"2002년식 쏘렌토TLX 배기량(2,498cc) ","3,110",0,290,"2,820",차량 노후에 따른 감가상각 
,,,,,,,
본인 ,자동차 ,"2016년식 카니발 배기량(2,199cc) ","26,270",0,"3,550","22,720",차량 노후에 따른 감가상각 
,,,,,,,
배우자 ,자동차 ,"2004년식 SM520V 배기량(1,998cc) ","2,780",0,410,"2,370",차량 노후에 따른 감가상각 
,,,,,,,
▶ 예금(소계) ,"185,860","18,523","8,093","196,290",,,
,,,,,,,
본인 ,,"우리은행 42(1 증가), 씨티은행 86(1 증가), 국민은행 3,751, 농협중앙회 1,474(216 증가), 삼성화재해상보험 9,600(1,200 증가) ","13,535","1,540",122,"14,953",근로소득에 따른 예금일부증가및
,,,,,,,"정기납부 보험금 누적액 증가, 감소액의 경우 생활비로 사용 "
,,,,,,,
배우자 ,,"DB손해보험(주) 16,596(1,817 증가), 국민은행 4,862(55 증가), 삼성생명보험 67,128(7,609 증가), 농협중앙회 83 (6,402 감소), 신한은행 2,627(435 감소), 에이스아메리칸화재 해상보험 891(465 증가), 교보생명보험 83,051(3,857 증가) ","168,272","13,803","6,837","175,238",
,,,,,,,
장남 ,,"중소기업은행 48(12 감소), 농협중앙회 179(168 증가), 우리은행 48(31 감소) ",150,168,43,275,
,,,,,,,
차남 ,,"국민은행 2,722(2,589 증가), 신한금융투자(주) 438(423 증가), 농협중앙회 2,664(1,091 감소) ","3,903","3,012","1,091","5,824",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"87,619","14,386",0,"102,005",,,
,,,,,,,
본인 ,,"농협은행 102,005(14,386 증가) ","87,619","14,386",0,"102,005",2018년도 정치후원금 모집에 따른 변동 
,,,,,,,
▶ 채무(소계) ,"82,156",0,"14,922","67,234",,,
,,,,,,,
본인 ,금융기관채무 ,"현대캐피탈 8,250(11,883 감소), 농협중앙회 58,984(3,039 감소) ","82,156",0,"14,922","67,234",근로소득 활용 일부 변제 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
모 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
총계 ,"423,483","32,909","-2,579","458,971","증감액:35,488천원 (가액변동: -4,250천원) ",,
,,,,,,,
