소속 ,국회 ,직위 ,국회의원 ,성명 ,김병관 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"6,617,000",0,0,"6,617,000",,,
,,,,,,,
본인 ,사무실 전세(임차)권 ,경기도 성남시 분당구 이매동 3층 건물 125.65m² 중 42.00m² ,"17,000",0,0,"17,000",변동없음 
,,,,,,,
본인 ,단독주택 ,경기도 성남시 분당구 운중동 대지 429.60m² 중 300.72m² 건물 462.53m² 중 323.77m² ,"3,831,800",0,0,"3,831,800",가액변동없음 
,,,,,,,
본인 ,기타 ,경기도 성남시 분당구 운중동 대지 520.50m² 중 15.80m² 건물 508.55m² 중 16.68m² ,"82,395",0,0,"82,395",가액변동없음 
,,,,,,,
본인 ,기타 ,경기도 성남시 분당구 운중동 대지 718.10m² 중 21.70m² 건물 16.70m² 중 0.55m² ,"94,254",0,0,"94,254",가액변동없음 
,,,,,,,
본인 ,기타 ,"경기도 성남시 분당구 운중동 대지 3,716.40m² 중 112.50m² 건물 2,668.62m² 중 87.66m² ","199,351",0,0,"199,351",가액변동없음 
,,,,,,,
배우자 ,아파트 전세(임차)권 ,서울특별시 강동구 고덕동 래미안힐스테이트 건물 97.26m² ,"750,000",0,0,"750,000",변동없음 
,,,,,,,
배우자 ,단독주택 ,경기도 성남시 분당구 운중동 대지 429.60m² 중 128.88m² 건물 462.53m² 중 138.76m² ,"1,642,200",0,0,"1,642,200",가액변동없음 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"51,020","38,850","20,140","69,730",,,
,,,,,,,
본인 ,자동차 ,"2011년식 X5 xDrive35i 배기량(2,979cc) ",300,0,10,290,차량가액변동 
,,,,,,,
본인 ,자동차 ,"2010년식 에쿠스 배기량(3,778cc) ","20,000",0,"20,000",0,양도 
,,,,,,,
본인 ,자동차 ,"2018년식 올뉴카니발2.2 (디젤,9인승) 배기량(2,199cc) 증가 ",0,"38,850",0,"38,850",신차 구입 
,,,,,,,
배우자 ,자동차 ,"2011년식 X5 xDrive35i 배기량(2,979cc) ","30,720",0,130,"30,590",차량가액변동 
,,,,,,,
▶ 예금(소계) ,"46,929,336","3,523,091","8,180,256","42,272,171",,,
,,,,,,,
본인 ,,"미래에셋생명보험 20,929(5,831 증가), 미래에셋대우(주) 904,004(903,994 증가), 신한은행 0(2,072 감소), 삼성증권 36,832,260(242,164 증가), 농협은행 2,412(45 감소), 씨티은행 4,004,802(5,903,621 감소), (주)KEB하나은행 0(497 감소), 한국카카오은행(주) 0(770 감소), 교보생명보험 67,100(3,934 증가), 교보증권 4, 삼성화재해상보험 763(191 증가) ","46,583,165","3,156,843","7,907,734","41,832,274",회사채매입등 
,,,,,,,
배우자 ,,"미래에셋대우(주) 299,999(92,112 증가), 씨티은행 69,748(15,301 증가), 한국카카오은행(주) 0(2,769 감소), CITIBANK 44,434(2,169 증가), 신한생명보험 3,522, 우리은행 0(7,137 감소), 교보생명보험 14,114(10,030 감소), 미래에셋생명보험 8,080(4,080 증가) ","346,171","366,248","272,522","439,897",회사채매입등 
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"54,163","61,146","54,163","61,146",,,
,,,,,,,
본인 ,,"농협은행 61,146(61,146 증가), 농협중앙회 0(54,163 감소) ","54,163","61,146","54,163","61,146",후원금 증가 
,,,,,,,
▶ 유가증권(소계) ,"375,332,731","132,751,533","295,271,250","212,813,014",,,
,,,,,,,
본인 ,상장주식 ,"웹젠 6,000,000주(6,000,000주 증가), 웹젠 3,435,000주 (6,000,000주 감소) ","368,436,750","127,800,000","295,271,250","200,965,500",액면분할및평가액변동등 
,,,,,,,
본인 ,회사채 ,"회사채 11,819,264,000주(4,926,108,000주 증가) ","6,893,156","4,926,108",0,"11,819,264",
,,,,,,,
본인 ,비상장주식 ,"(주)카카오게임즈 282,500주(281,935주 증가) ","2,825","25,425",0,"28,250",
,,,,,,,
▶ 채권(소계) ,"14,190,000",0,0,"14,190,000",,,
,,,,,,,
본인 ,,사인간채권 ,"290,000",0,0,"290,000",변동없음 
,,,,,,,
배우자 ,,사인간채권 ,"13,900,000",0,0,"13,900,000",변동없음 
,,,,,,,
▶ 회원권(소계) ,"252,000",0,"12,000","240,000",,,
,,,,,,,
본인 ,골프 ,화산컨트리클럽 감소 ,"252,000",0,"12,000","240,000",평가액변동 
,,,,,,,
▶ 합명.합자.유한회사 출자지분(소계) ,"100,000",0,0,"100,000",,,
,,,,,,,
배우자 ,출자 ,"유한회사 더제이앤케이, 출자가액: 100,000천원, 지분비율: 100.0%, 연간매출액: 1,680,000천원(140,000천원 증가) ","100,000",0,0,"100,000",변동없음 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
부 ,,등록제외 ,- ,- ,- ,- ,사망 
,,,,,,,
모 ,,고지거부 ,- ,- ,- ,- ,타인부양 
,,,,,,,
총계 ,"443,526,250","136,374,620","303,537,809","276,363,061","증 감 액 : -167,163,189천원 (가액변동: -61,003,390천원) ",,
,,,,,,,
