소속 ,국회 ,직위 ,국회의원 ,성명 ,김병기 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"1,569,000","100,000","111,000","1,558,000",,,
,,,,,,,
본인 ,아파트 전세(임차)권 ,서울특별시 동작구 대방동 e-편한세상 건물 131.64m² ,"650,000","70,000",0,"720,000",보증금 증가 
,,,,,,,
본인 ,사무실 전세(임차)권 ,서울특별시 동작구 수석빌딩 3층 건물 0.00m² (건물 98.15m² 감소) ,"20,000",0,"20,000",0,계약만료로 인한 사무실 이전 
,,,,,,,
본인 ,아파트 ,서울특별시 송파구 신천동 장미아파트 건물 120.00m² 중 74.40m² ,"500,960",0,0,"500,960",가액변동없음 
,,,,,,,
본인 ,사무실 전세(임차)권 ,서울특별시 동작구 상도동 강남빌딩 건물 125.71m² (건물 125.71m² 증가) ,- ,"30,000",0,"30,000",계약만료로 인한 사무실 이전 
,,,,,,,
배우자 ,오피스텔 ,"서울특별시 동작구 대방동 대방아데나 339 7층 대지 0.00m² 건물 0.00m² (대지 1,630.90m² 감소, 건물 12.60m² 감소) ","91,000",0,"91,000",0,매도 
,,,,,"-122,000",,
,,,,,,,
배우자 ,아파트 ,서울특별시 송파구 신천동 장미아파트 건물 120.00m² 중 45.60m² ,"307,040",0,0,"307,040",가액변동없음 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"3,985","2,000",480,"5,505",,,
,,,,,,,
본인 ,자동차 ,"2000년식 SM520 배기량(1,998cc) 감소 ",480,0,480,0,폐차 
,,,,,,,
본인 ,자동차 ,"2016년식 K7 배기량(3,342cc) ","3,505",- ,- ,"3,505",리스차량 
,,,,,,,
본인 ,자동차 ,"2009년식 그랜저 배기량(2,400cc) 증가 ",0,"2,000",0,"2,000",중고차량 구입 
,,,,,,,
▶ 예금(소계) ,"519,792","687,580","404,453","802,919",,,
,,,,,,,
본인 ,,"우리은행 1,238(1 증가), 농협은행 18,716(13,455 증가), 동양생명보험 9,024(314 증가), (주)KEB하나은행 10,225(10,220 증가), KB캐피탈 3,505 ","18,718","23,990",0,"42,708","급여 저축, 오피스텔 매각 대금 증가및생활비지출등 "
,,,,,,,
배우자 ,,"(주)KEB하나은행 566,683(201,418 증가), 케이디비생명보험 8,135(655 증가), 동양생명보험 16,940(777 증가), AIA생명보험 9,778(920 증가), 신대방 50,000(50,000 증가), 한화생명보험 5,981(472 증가), 새마을금고 20(50,000 감소), 오렌지라이프생명보험 33,543(33,543증가) ","453,295","608,192","370,407","691,080",
,,,,,,,
차남 ,,"중소기업은행 1,532(1,532 증가), (주)KEB하나은행 14,877(2,046 감소), 새마을금고 10, 국민은행 2,666(2,666 증가), 씨티은행 34(800 감소), 신한은행 12, 신대방 50,000(20,000 증가) ","47,779","55,398","34,046","69,131",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"187,093","61,478",0,"248,571",,,
,,,,,,,
본인 ,,"농협은행 248,571(61,478 증가) ","187,093","61,478",0,"248,571",후원금 증가 
,,,,,,,
▶ 채무(소계) ,"684,066","10,000","19,419","674,647",,,
,,,,,,,
본인 ,금융기관채무 ,"KB캐피탈 14,647(9,419 감소) ","24,066",0,"9,419","14,647",리스대금일부상환 
,,,,,,,
본인 ,건물임대채무 ,서울특별시 송파구 신천동 장미아파트 임대보증금 증가 ,"650,000","10,000",0,"660,000",임대보증금 증가 
,,,,,,,
배우자 ,건물임대채무 ,서울특별시 동작구 대방동 대방아데나 339 7층 임대보증금 감소 ,"10,000",0,"10,000",0,매도로인한보증금전액상환 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,"103,985",0,"103,985",0,,,
,,,,,,,
모 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
장남 ,,고지거부 ,"103,985",0,"103,985",0,독립생계유지 
,,,,,,,
총계 ,"1,699,789","841,058","600,499","1,940,348","증 감 액 : 240,559천원 ",,
,,,,,,,
