소속 ,국회 ,직위 ,국회의원 ,성명 ,김병욱 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"1,273,751","1,222,309",69,"2,495,991",,,
,,,,,,,
본인 ,오피스텔 ,"경기도 성남시 분당구 금곡동 천사의도시 1차 대지 6,411.20m² 중 26.67m² 건물 113.94m² ","407,309","18,309",0,"425,618",공시가격 상승 
,,,,,,,
본인 ,아파트 전세(임차)권 ,경기도 성남시 분당구 정자동 정든마을 신화아파트 건물 163.55m² ,"590,000",0,0,"590,000",변동없음 
,,,,,,,
본인 ,상가 ,경기도 남양주시 호평동 CH리베로1 대지 0.16m² 중 0.02m² 건물 0.90m² 중 0.14m² ,442,0,69,373,공시가격 감소 
,,,,,,,
본인 ,아파트 ,경기도 성남시 분당구 수내동 양지마을 청구아파트 건물 78.84m² ,"276,000","54,000",0,"330,000",공시가격 상승 
,,,,,,,
본인 ,아파트 ,"경기도 성남시 분당구 정자동 상록마을우성아파트 건물 162.60m² 중 81.30m² (건물 총면적 162.60m² 증가, 지분면적 81.30m² 증가) ",- ,"575,000",0,"575,000",매입 
,,,,"-575,000",,,
,,,,,,,
배우자 ,아파트 ,"경기도 성남시 분당구 정자동 상록마을우성아파트 건물 162.60m² 중 81.30m² (건물 총면적 162.60m² 증가, 지분면적 81.30m² 증가) ",- ,"575,000",0,"575,000",매입 
,,,,"-575,000",,,
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"15,500",0,"15,500",0,,,
,,,,,,,
배우자 ,자동차 ,"2011년식 그랜저HG 배기량(3,000cc) ","15,500",0,"15,500",0,매각 
,,,,,,,
▶ 예금(소계) ,"1,594,886","422,119","722,813","1,294,192",,,
,,,,,,,
본인 ,,"신한은행 1,955(2 증가), 유안타증권 21,302(282,776 감소), (주)KEB하나은행 173,905(57,001 감소), 국민은행 6,396 (22,077 감소), 동양생명보험 9,000(26 증가), 한화생명보험 67,216(2,580 증가), 삼성화재해상보험 19,176, 신용협동조합중앙회 신용공제사업부 5,809(377 증가) ","663,628","35,595","394,464","304,759",급여저축 및 생활비 지출 
,,,,,,,
배우자 ,,"(주)KEB하나은행 93,965(4,860 증가), 흥국생명보험 0(50,016 감소), BNP파리바카디프생명보험 2,000(2,000 증가), 국민은행 17,053(5,663 감소), 신한은행 209,583(31,883 증가), 삼성생명 보험 20,204(1,063 증가), IBK연금보험 0(50,000 감소), NH투자증권 0(96,243 감소), 신한생명보험 0(7,200 감소), 한화생명보험 29,763(19,134 감소), 오렌지라이프생명보험 77,000(6,000 증가), DB생명보험(주) 27,000(12,000 증가), 한국투자증권 298,125(281,140 증가), 교보생명보험 39,765(54,462 감소), 미래에셋생명보험 42,000, 경남은행 5,000","805,230","365,209","308,981","861,458",
,,,,,,,
,,,,,,,
장남 ,,"신한은행 41,066(6,678 증가), 중소기업은행 126(56 증가), 신한금융투자(주) 50(5,598 감소), 흥국생명보험 26,500(6,000 증가), 국민은행 3,166(8,455 감소), 우리은행 4,800(400 증가) ","76,627","13,134","14,053","75,708",
,,,,,,,
차남 ,,"국민은행 2,242(319 감소), 신한은행 50,025(3,185 증가) ","49,401","8,181","5,315","52,267",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"150,662","106,072",0,"256,734",,,
,,,,,,,
본인 ,,"국민은행 256,734(106,072 증가) ","150,662","106,072",0,"256,734",후원금 증가 
,,,,,,,
▶ 유가증권(소계) ,"582,759","181,791","582,759","181,791",,,
,,,,,,,
본인 ,상장주식 ,"알루코 0주(33,000주 감소), 알에스 오토메이션 864주(864주 증가), sk케미칼 1,870주(1,870주 증가), NHN엔터테인먼트 224주(224주 증가), 원익홀딩스 1,723주(1,723주 증가), 코오롱 인더 123주(123주 증가), 서희건설 12,918주(12,918주 증가) ","113,520","181,791","113,520","181,791",금융상품 투자로 인한 변동 
,,,,,,,
본인 ,회사채 ,"유안타증권CB 0주(208,200,000주 감소) ","208,200",0,"208,200",0,
,,,,,,,
배우자 ,상장주식 ,"삼성전자 0주(20주 감소), 선데이토즈 0주(310주 감소) ","75,393",0,"75,393",0,
,,,,,,,
배우자 ,국채 ,"BNTNF 01/25 0주(81,166주 감소), BNTNF 01/27 0주(166,332주 감소) ","83,237",0,"83,237",0,
,,,,,,,
배우자 ,회사채 ,"RP 0주(60,611,893주 감소) ","60,634",0,"60,634",0,
,,,,,,,
장남 ,상장주식 ,"한국투자금융지주우 0주(7주 감소), 광주은행 0주(18주 감소), 일진머티리얼즈 0주(100주 감소), 삼양식품 0주(55주 감소), KB금융 0주(4주 감소), 삼성전자 0주(3주 감소), sk이노베이션 0주(5주 감소), 비에이치 0주(110주 감소), 원익IPS 0주(10주 감소), sk하이닉스 0주(29주 감소), s-oil우 0주(3주 감소), 에코프로 0주(10주 감소), 비아트론 0주(130주 감소), 삼성전기 0주(20주 감소), 원익QnC 0주(20주 감소), 이녹스첨단소재 0주(25주 감소), 두산중공업 0주(11주 감소), 테스 0주(88주 감소), 태웅 0주(50주 감소), 엘오티베큠 0주(215주 감소), CJ 0주(2주 감소), LG이노텍 0주(11주 감소) ","41,775",0,"41,775",0,
,,,,,,,
▶ 채권(소계) ,"1,300,000","50,000","750,000","600,000",,,
,,,,,,,
본인 ,,사인간채권 감소 ,"1,300,000","50,000","750,000","600,000",일부 환수 
,,,,,,,
▶ 채무(소계) ,"130,000","130,000",0,"260,000",,,
,,,,,,,
본인 ,금융기관채무 ,"(주)KEB하나은행 110,000 ","110,000",0,0,"110,000",변동없음 
,,,,,,,
본인 ,건물임대채무 ,경기도 성남시 분당구 금곡동 천사의도시 1차 임대보증금 ,"20,000",0,0,"20,000",변동없음 
,,,,,,,
본인 ,건물임대채무 ,경기도 성남시 분당구 수내동 양지마을 청구아파트 임대보증금 증가 ,0,"30,000",0,"30,000",임대보증금 
,,,,,,,
배우자 ,건물임대채무 ,경기도 성남시 분당구 정자동 상록마을우성아파트 임대보증금 증가 ,0,"100,000",0,"100,000",임대보증금 
,,,,,,,
총계 ,"4,787,558","1,852,291","2,071,141","4,568,708","증 감 액 : -218,850천원 (가액변동: 56,740천원) ",,
,,,,,,,
