소속 ,국회 ,직위 ,국회의원 ,성명 ,김삼화 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"202,998","14,389","2,067","215,320",,,
,,,,,,,
본인 ,임야 ,충청북도 음성군 삼성면 34-9번지 608.00m² ,"11,916","1,460",0,"13,376",가액변동 
,,,,,,,
본인 ,임야 ,충청북도 음성군 삼성면 34-14번지 256.00m² ,"14,643",0,"2,067","12,576",가액변동 
,,,,,,,
본인 ,답 ,"충청남도 보령시 명천동 706번지 2,857.00m² ","139,993","11,428",0,"151,421",가액변동 
,,,,,,,
배우자 ,전 ,전라남도 곡성군 입면 금산리 441-1번지 777.00m² 중 388.50m² ,"2,373",183,0,"2,556",가액변동 
,,,,,,,
배우자 ,전 ,전라남도 곡성군 입면 금산리 441-2번지 225.00m² 중 112.50m² ,702,54,0,756,가액변동 
,,,,,,,
배우자 ,답 ,"전라남도 곡성군 입면 금산리 453-10번지 3,013.40m² 중 1,506.70m² ","14,614",453,0,"15,067",가액변동 
,,,,,,,
배우자 ,임야 ,"전라남도 곡성군 입면 금산리 산 113-1번지 27,074.00m² 중 13,537.00m² ","12,115",555,0,"12,670",가액변동 
,,,,,,,
배우자 ,임야 ,"전라남도 곡성군 입면 금산리 산 120-2번지 7,140.00m² 중 3,570.00m² ","3,227",150,0,"3,377",가액변동 
,,,,,,,
배우자 ,답 ,"전라남도 곡성군 입면 금산리 453-11번지 1,408.60m² 중 352.15m² ","3,415",106,0,"3,521",가액변동 
,,,,,,,
▶ 건물(소계) ,"2,150,370","381,341",0,"2,531,711",,,
,,,,,,,
본인 ,아파트 ,서울특별시 서초구 서초동 삼풍아파트 건물 165.92m² 중 82.96m² ,"580,000","156,000",0,"736,000",가액변동 
,,,,,,,
본인 ,상가 ,강원도 원주시 단구동 스타월드 대지 226.27m² 중 67.88m² 건물 711.54m² 중 213.46m² ,"489,370","14,341",0,"503,711",가액변동 
,,,,,,,
배우자 ,아파트 ,서울특별시 서초구 서초동 삼풍아파트 건물 165.92m² 중 82.96m² ,"580,000","156,000",0,"736,000",가액변동 
,,,,,,,
배우자 ,연립주택 ,서울특별시 마포구 당인동 대지 78.51m² 건물 72.12m² ,"254,000","24,000",0,"278,000",가액변동 
,,,,,,,
장남 ,아파트 ,경기도 성남시 분당구 구미동 무지개마을아파트 건물 58.14m² ,"247,000","31,000",0,"278,000",가액변동 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"48,660","30,000","19,690","58,970",,,
,,,,,,,
배우자 ,자동차 ,"2009년식 카니발 배기량(3,000cc) ","8,660",0,"8,660",0,매도 
,,,,,,,
배우자 ,자동차 ,"2013년식 에쿠스 배기량(3,800cc) ","40,000",0,"11,030","28,970",가액변동 
,,,,,,,
배우자 ,자동차 ,"2016년식 싼타페 배기량(2,000cc) 증가 ",0,"30,000",0,"30,000",신규구입 
,,,,"-30,000",,,
,,,,,,,
▶ 예금(소계) ,"3,207,928","1,035,708","919,137","3,324,499",,,
,,,,,,,
본인 ,,"미래에셋생명보험 50,000, 미래에셋대우(주) 268,795(5,638 증가), 신한은행 113,972(7,913 증가), 삼성생명보험 202,243(24,260 증가), 메리츠화재해상보험 30,281(3,689 증가), KB생명보험 60,000, 흥국생명보험 30,000, KB증권 11, 농협은행 1,382(6,368 감소), 신한금융투자(주) 18, AIA생명보험 27,000(2,003 증가), 씨티은행 0(520 감소), 한화생명보험 76,562(1,200 증가), 동양생명보험 40,000, (주)KEB하나은행 200,916(6,884 감소), 한국투자증권 243,751(8,051 감소), 오렌지라이프생명보험 683,460(50,806 증가), 케이디비생명보험 4,900(4,200 증가), 스탠다드차타드은행 9,623(281 증가), 서울변호사신용협동조합 4,198 ","1,968,945","702,285","624,118","2,047,112",급여등저축 
,,,,,,,
배우자 ,,"(주)KEB하나은행 209,273(40,957 증가), DB손해보험(주) 17,175(1,969 증가), 미래에셋대우(주) 51,905(2,969 감소), 국민은행 47,205(66,201 감소), 삼성생명보험 48,326, 우체국 3,600(1,200 증가), 노란우산공제 54,000(8,400 증가), IBK연금보험 170,000(50,000 증가), 오렌지라이프생명보험 250,470(3,145 증가), 한화생명보험 100,000, 농협생명보험 182, 한국투자증권 174(168 증가) ","915,641","269,323","232,654","952,310",
,,,,,,,
장남 ,,"오렌지라이프생명보험 49,980, 신한은행 10,135(2,943 증가), 한화생명보험 43,058, 동양생명보험 26,000, 한국투자증권 50,541(5,964 감소), (주)KEB하나은행 25,217(4,732 증가), 국민은행 7, AIA생명보험 15,000, (주)KB손해보험 11,000 ","229,227","63,733","62,022","230,938",
,,,,,,,
차남 ,,"농협은행 1(1 증가), 오렌지라이프생명보험 49,980, 중소기업은행 38(19 증가), 동양생명보험 10,000, 한국투자증권 351(347 증가), (주)KB손해보험 14,000, (주)KEB하나은행 4,676, 국민은행 5, AIA생명보험 15,000, 신한은행 88(343 감소) ","94,115",367,343,"94,139",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"122,886","22,309",0,"145,195",,,
,,,,,,,
본인 ,,"농협은행 145,195(22,309 증가) ","122,886","22,309",0,"145,195",정치후원금 증가 
,,,,,,,
▶ 유가증권(소계) ,"631,858","126,741","140,762","617,837",,,
,,,,,,,
본인 ,상장주식 ,"오리온 0주(98주감소),맵스미국9-2호 100,000주, 오리온홀딩스 0주(51주감소),TIGER미국S&P501,518주 ","117,496","95,791","106,400","106,887",가액변동 및 증권 매수도 
,,,,,,,
본인 ,금융채 ,"기업은행조건 1,000주 ","30,000",0,0,"30,000",
,,,,,,,
본인 ,비상장주식 ,"주식회사 승형 24,000주, (주)삼진실업 3,000주 ","135,000",0,0,"135,000",
,,,,,,,
배우자 ,상장주식 ,"한국금융지주 0주(102주감소),KODEX코스닥1 537주(537주 증가) ","7,038","6,336","7,038","6,336",
,,,,,,,
배우자 ,비상장주식 ,"(주)삼진실업 4,000주, 주식회사 승형 32,000주 ","180,000",0,0,"180,000",
,,,,,,,
장남 ,상장주식 ,"KODEX 코스닥 1 1,002주(1,002주 증가), 한국금융지주 0주(190주 감소) ","13,110","11,823","13,110","11,823",
,,,,,,,
장남 ,비상장주식 ,"(주)삼진실업 3,000주 ","15,000",0,0,"15,000",
,,,,,,,
차남 ,상장주식 ,"KODEX 코스닥 1 1,084주(1,084주 증가), 한국금융지주 0주(206주 감소) ","14,214","12,791","14,214","12,791",
,,,,,,,
차남 ,비상장주식 ,"주식회사 승형 24,000주 ","120,000",0,0,"120,000",
,,,,,,,
▶ 채권(소계) ,"4,595,930","40,000",0,"4,635,930",,,
,,,,,,,
본인 ,,사인간채권 증가 ,"1,120,684","40,000",0,"1,160,684",임대보증금 
,,,,,,,
배우자 ,,사인간채권 ,"3,475,246",0,0,"3,475,246",변동없음 
,,,,,,,
▶ 채무(소계) ,"1,879,091","1,238,831","1,246,595","1,871,327",,,
,,,,,,,
본인 ,,사인간채무 ,"30,000",0,0,"30,000",변동없음 
,,,,,,,
본인 ,금융기관채무 ,"(주)KEB하나은행 0(6,595 감소) ","6,595",0,"6,595",0,예금으로 상환 
,,,,,,,
본인 ,건물임대채무 ,강원도 원주시 단구동 스타월드 임대보증금 ,"30,000",0,0,"30,000",변동없음 
,,,,,,,
본인 ,기타 ,씨티은행 외 ,"300,000",0,0,"300,000",변동없음 
,,,,,,,
배우자 ,금융기관채무 ,"(주)KEB하나은행 82,496(10,000 감소), 국민은행 1,145,998(5,998 증가), 한국캐피탈 2,833(2,833 증가) ","1,232,496","1,148,831","1,150,000","1,231,327",예금으로 상환 
,,,,,,,
배우자 ,건물임대채무 ,서울특별시 마포구 당인동 연립주택 임대보증금 ,"90,000","90,000","90,000","90,000",임차인변경 
,,,,,,,
장남 ,건물임대채무 ,경기도 성남시 분당구 구미동 무지개마을아파트 임대보증금 ,"190,000",0,0,"190,000",변동없음 
,,,,,,,
▶ 회원권(소계) ,"15,000",0,0,"15,000",,,
,,,,,,,
본인 ,콘도미니엄 ,한화리조트 ,"15,000",- ,- ,"15,000",변동없음 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
모 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
총계 ,"9,096,539","411,657","-164,939","9,673,135","증 감 액 : 576,596천원 (가액변동: 374,664천원) ",,
,,,,,,,
