소속 ,국회 ,직위 ,국회의원 ,성명 ,김상훈 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"747,000","44,000",0,"791,000",,,
,,,,,,,
본인 ,아파트 ,대구광역시 수성구 범물동 한라아파트 건물 132.02m² ,"227,000","24,000",0,"251,000",가액 변동 
,,,,,,,
본인 ,아파트 전세(임차)권 ,대구광역시 서구 내당동 황제맨션 건물 138.00m² ,"190,000",0,0,"190,000",변동 없음 
,,,,,,,
본인 ,사무실 전세(임차)권 ,대구광역시 서구 평리동 경총회관 3층 건물 109.18m² 중 53.77m² ,"30,000",0,0,"30,000",변동 없음 
,,,,,,,
본인 ,아파트 전세(임차)권 ,서울특별시 용산구 이촌동 우성아파트 건물 80.88m² ,"300,000",0,0,"300,000",변동 없음 
,,,,,,,
장남 ,오피스텔 전세(임차)권 ,경기도 파주시 월롱면 덕은리 건물 17.28m² (건물 17.28m² 증가) ,- ,"20,000",0,"20,000",신규 계약 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"25,778",0,"2,918","22,860",,,
,,,,,,,
본인 ,자동차 ,"2012년식 그랜드 카니발 배기량(2,199cc) ","11,500",0,"1,600","9,900",가액 변동 
,,,,,,,
배우자 ,자동차 ,"2015년식 쏘나타 배기량(1,999cc) ","14,278",0,"1,318","12,960",가액 변동 
,,,,,,,
▶ 예금(소계) ,"87,024","54,584","1,753","139,855",,,
,,,,,,,
본인 ,,"현대해상화재보험 825(132 증가), 서대구신협 60, 중소기업은행 264(4 증가), 신한은행 40, 대구은행 2,694(862 증가), 대신증권 59(4 증가), 농협은행 24,007(23,507 증가), 한화생명보험 4,932, (주)KEB하나은행 9 ","8,381","24,509",0,"32,890",급여저축및생활비지출등 
,,,,,,,
배우자 ,,"에이비엘생명보험 8,908(3,144 증가), 케이디비생명보험 14,401(723증가),새마을금고중앙회공제사업부6,736 (2,173 증가), 삼성생명보험 45,178(6,581 증가), 삼성증권 50, 대구은행 2,189(584 증가), 서대구신협 0(12 감소) ","64,269","13,205",12,"77,462",
,,,,,,,
삼남 ,,"대구은행 3,252(922 증가), 메트라이프생명보험 2,300(1,200 증가) ","3,430","2,122",0,"5,552",
,,,,,,,
장남 ,,"신한은행 1,321(1,300 증가), 에이스아메리칸화재해상보험 161(161 증가), 대구은행 1,196(1,162 증가), (주)KEB하나은행 8(8 증가), 우리은행 7,079(7,079 증가), 농협은행 163(154 증가), 키움닷컴증권 56(56 증가) ",64,"9,920",0,"9,984",
,,,,,,,
차남 ,,"대구은행 1,992(1,422 증가), 농협은행 1, 중소기업은행 602(862 감소), 흥국생명보험 11,372(2,527 증가) ","10,880","4,828","1,741","13,967",
,,,,,,,
▶ 유가증권(소계) ,"17,636",274,"9,589","8,321",,,
,,,,,,,
본인 ,상장주식 ,"아진산업3,900주(900주증가),DGB금융지주 11주 ","17,636",0,"9,589","8,047",평가액변동및주식매입 
,,,,,,,
장남 ,상장주식 ,"모나리자보통주 25주(25주 증가), 아난티 10주(10주 증가) ",0,274,0,274,
,,,,,,,
▶ 채권(소계) ,"73,000",0,0,"73,000",,,
,,,,,,,
본인 ,,사인간채권 ,"73,000",0,0,"73,000",변동 없음 
,,,,,,,
▶ 채무(소계) ,"220,574",0,"12,940","207,634",,,
,,,,,,,
본인 ,금융기관채무 ,"대구은행 147,634(12,940 감소) ","160,574",0,"12,940","147,634",일부 상환 
,,,,,,,
배우자 ,,사인간채무 ,"60,000",0,0,"60,000",변동 없음 
,,,,,,,
총계 ,"729,864","98,858","1,320","827,402","증감액:97,538천원 (가액변동: 21,057천원) ",,
,,,,,,,
