소속 ,국회 ,직위 ,국회의원 ,성명 ,김상희 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"5,090",325,0,"5,415",,,
,,,,,,,
배우자 ,임야 ,"전라북도 완주군 구이면 광곡리 산 44번지 18,050.00m² 중 3,610.00m² ","5,090",325,0,"5,415",가액변동 
,,,,,,,
▶ 건물(소계) ,"600,000","10,000",0,"610,000",,,
,,,,,,,
본인 ,아파트 ,경기도 부천시 소사구 소사본동 두산아파트 건물 0.00m² (건물 0.00m² 감소) ,0,0,0,0,소재지오기정정 
,,,,,,,
본인 ,아파트 ,경기도 부천시 소사본동 두산아파트 건물 101.82m² ,"230,000","10,000",0,"240,000",가액변동 
,,,,,,,
장남 ,아파트 전세(임차)권 ,서울특별시 관악구 봉천동 봉천벽산블루밍3차@ 건물 108.13m² ,"370,000",0,0,"370,000",변동없음 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"21,070",0,"1,054","20,016",,,
,,,,,,,
배우자 ,자동차 ,"2012년식 YF 쏘나타 cvvl 배기량(1,999cc) ","11,140",0,557,"10,583",가액변동 
,,,,,,,
장남 ,자동차 ,"2014년식 더뉴 아반떼 1.6GDI 배기량(1,591cc) ","9,930",0,497,"9,433",가액변동 
,,,,,,,
▶ 예금(소계) ,"692,660","298,400","271,985","719,075",,,
,,,,,,,
본인 ,,"복사골신협 10,703(69,829 감소), 미래에셋대우(주) 280,176 (280,176 증가), 신한은행 17,100(1,611 감소), 삼성생명보험 24,540(1,616 증가), 심곡 150(9 증가), 농협은행 70,173(97,831 감소), 국민은행 0(5 감소), 교보생명보험 55,200, 새마을금고 중앙회 공제사업부 9,353(1,145 증가), 열린신협 110(3 증가) ","353,832","283,771","170,098","467,505",급여저축및생활비지출등 
,,,,,,,
배우자 ,,"한국교직원공제회 84,958(7,610 감소), 미래에셋대우(주) 12, 국민은행 127,248(43,568 감소), 우체국 4,536, 신한은행 0(284 감소), AIA생명보험 12,477(1,279 증가), 하나자산신탁 0(50,275 감소), 더케이손해보험(주) 20,000(12,000 증가) ","337,689","13,429","101,887","249,231",
,,,,,,,
장남 ,,"신한은행 3, 우체국 1, 농협중앙회 15, 우리은행 2,320(1,200 증가) ","1,139","1,200",0,"2,339",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"76,117","45,894",0,"122,011",,,
,,,,,,,
본인 ,,"농협은행 122,011(45,894 증가) ","76,117","45,894",0,"122,011",후원금증가등 
,,,,,,,
▶ 채무(소계) ,"192,749","16,387","60,232","148,904",,,
,,,,,,,
장남 ,금융기관채무 ,"우리은행 132,517(60,232 감소), 한국장학재단 16,387(16,387 증가) ","192,749","16,387","60,232","148,904",일부상환 및 신규채무증가 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,198,0,198,0,,,
,,,,,,,
모 ,,등록제외 ,198,0,198,0,사망 
,,,,,,,
총계 ,"1,202,386","338,232","213,005","1,327,613","증 감 액 : 125,227천원 (가액변동: 9,271천원) ",,
,,,,,,,
