소속 ,국회 ,직위 ,국회의원 ,성명 ,강길부 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"1,475,883","143,574",0,"1,619,457",,,
,,,,,,,
본인 ,대지 ,서울특별시 송파구 석촌동 288-8번지 236.30m² ,"1,013,727","96,883",0,"1,110,610",가액변동 
,,,,,,,
본인 ,답 ,"울산광역시 울주군 상북면 향산리 136-1번지 1,583.00m² ","163,998","16,622",0,"180,620",가액변동 
,,,,,,,
본인 ,하천 ,울산광역시 울주군 상북면 향산리 136-2번지 493.00m² ,"19,325","1,972",0,"21,297",가액변동 
,,,,,,,
본인 ,전 ,울산광역시 울주군 상북면 향산리 246번지 631.00m² ,"78,811","7,194",0,"86,005",가액변동 
,,,,,,,
본인 ,답 ,"울산광역시 울주군 상북면 향산리 262번지 1,802.00m² ","200,022","20,903",0,"220,925",가액변동 
,,,,,,,
▶ 건물(소계) ,"3,369,400","1,093,406","1,659,336","2,803,470",,,
,,,,,,,
본인 ,사무실 전세(임차)권 ,울산광역시 울주군 범서읍 굴화리 인재빌딩 3층 건물 115.50m² ,"40,000",0,0,"40,000",
,,,,,,,
본인 ,아파트 전세(임차)권 ,울산광역시 울주군 범서읍 구영리 구영푸르지오2차 건물 84.84m² ,"240,000","40,000",0,"280,000",전세금상승 
,,,,,,,
본인 ,상가 ,서울특별시 영등포구 당산동2가 대지 7.86m² 건물 27.20m² ,"63,400",0,"9,336","54,064",가액변동 
,,,,,,,
본인 ,아파트 ,서울특별시 서초구 반포동 아크로리버파크 아파트 건물 84.97m² ,"1,376,000","64,000",0,"1,440,000",가액변동 
,,,,,,,
배우자 ,단독주택 ,"서울특별시 강남구 일원동 대지 0.00m² 건물 0.00m² (대지 198.20m² 감소, 건물 249.57m² 감소) ","800,000",0,"800,000",0,매매 
,,,,,"-1,750,000",,
,,,,,,,
배우자 ,아파트 ,서울특별시 강남구 개포동 개포시영아파트 건물 0.00m² (건물 40.42m² 감소) ,"850,000",0,"850,000",0,분양권전환 
,,,,,,,
배우자 ,아파트 (분양권) ,서울특별시 강남구 개포동 개포시영재건축(조합) 건물 84.00m² (건물 84.00m² 증가) ,- ,"989,406",0,"989,406",분양권 
,,,,,,,
▶ 예금(소계) ,"42,234","320,347","13,309","349,272",,,
,,,,,,,
본인 ,,"신한은행 852(3,136 감소), 농협은행 2,506(2 증가), 범서농협 20, 국민은행 4,000, 농협중앙회 65, (주)KEB하나은행 53,827(48,616 증가) ","15,788","51,702","6,220","61,270",건물 매도로 인한 전세보증금 반환후차액발생 
,,,,,,,
배우자 ,,"(주)KEB하나은행 1,863(3,807 감소), 수협은행 50,000(50,000 증가), 범서농협 330(1,814 감소), 현대해상화재보험 10,000(2,400 증가), 국민은행 1,788(1,168 감소), 신한은행 224,021(215,945 증가) ","26,446","268,645","7,089","288,002",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"44,898","3,225",0,"48,123",,,
,,,,,,,
본인 ,,"농협은행 48,123(3,225 증가) ","44,898","3,225",0,"48,123",후원금 입금 
,,,,,,,
▶ 채무(소계) ,"1,539,451","300,000","780,292","1,059,159",,,
,,,,,,,
본인 ,금융기관채무 ,"(주)KEB하나은행 384,159(7,292 감소) ","391,451",0,"7,292","384,159",일부상환 
,,,,,,,
본인 ,건물임대채무 ,서울특별시 영등포구 당산동2가 임대보증금 감소 ,"5,000",0,"5,000",0,전세금반환 
,,,,,,,
배우자 ,,사인간채무 증가 ,0,"300,000",0,"300,000",부담금납부 
,,,,,,,
배우자 ,금융기관채무 ,"국민은행 375,000 ","375,000",0,0,"375,000",
,,,,,,,
배우자 ,건물임대채무 ,서울특별시 강남구 일원동 임대보증금 감소 ,"768,000",0,"768,000",0,전세금반환 
,,,,,,,
▶ 회원권(소계) ,"1,500",0,0,"1,500",,,
,,,,,,,
본인 ,콘도미니엄 ,코레스코콘도 ,"1,500",- ,- ,"1,500",
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
장남 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
차남 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
손자1 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
손자2 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
손녀1 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
손녀2 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
총계 ,"3,394,464","1,260,552","892,353","3,762,663","증 감 액 : 368,199천원 (가액변동: 198,238천원) ",,
,,,,,,,
