소속 ,국회 ,직위 ,국회의원 ,성명 ,김석기 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"23,735","1,338",0,"25,073",,,
,,,,,,,
본인 ,임야 ,강원도 평창군 대관령면 횡계리 산 101-1번지 343.00m² ,"23,735","1,338",0,"25,073",가액변동 
,,,,,,,
▶ 건물(소계) ,"559,000","40,000",0,"599,000",,,
,,,,,,,
본인 ,아파트 ,경기도 광명시 하안1동 이편한세상 센트레빌아파트 건물 123.70m² ,"417,000","27,000",0,"444,000",가액변동 
,,,,,,,
모 ,단독주택 ,대구광역시 수성구 범물동 대지 194.00m² 건물 181.30m² ,"102,000","13,000",0,"115,000",가액변동 
,,,,,,,
모 ,아파트 전세(임차)권 ,경상북도 경주시 황성동 우주타운 건물 0.00m² (건물 0.00m² 감소) ,0,0,0,0,행정구역변경 
,,,,,,,
모 ,아파트 전세(임차)권 ,경상북도 경주시 황성동 336-3 건물 105.12m² ,"40,000",0,0,"40,000",변동없음 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"32,330",0,"7,430","24,900",,,
,,,,,,,
본인 ,자동차 ,"2003년식 SM5 2.0 V6(DOHC) 배기량(1,995cc) ","1,000",0,100,900,가액변동 
,,,,,,,
배우자 ,자동차 ,"2014년식 제네시스 330 배기량(3,342cc) ","31,330",0,"7,330","24,000",가액변동 
,,,,,,,
▶ 현금(소계) ,"55,000",0,0,"55,000",,,
,,,,,,,
배우자 ,,현금 ,"55,000",0,0,"55,000",변동없음 
,,,,,,,
▶ 예금(소계) ,"313,723","167,545","120,980","360,288",,,
,,,,,,,
본인 ,,"삼성생명보험 110,833(7,964 증가), 우리은행 317(1,701 감소), 신한은행 235, 농협은행 32,770(13,872 증가), 국민은행 10,286, 농협중앙회 148 ","134,454","21,837","1,702","154,589",급여저축및생활비지출 
,,,,,,,
배우자 ,,"(주)KEB하나은행 4,351(2,857 감소), 국민은행 21,939(14,979 증가), 중소기업은행 1,724(945 감소), 한국카카오은행(주) 4,601(4,601 증가), 우리은행 4,474(1,319 증가), 농협은행 4, 교보생명보험 30,400 ","50,396","20,899","3,802","67,493",
,,,,,,,
모 ,,"국민은행 354(1 증가), 농협은행 476(250 증가), 중소기업은행 13, 대구은행 125,594(75 감소) ","126,261","114,033","113,857","126,437",
,,,,,,,
차녀 ,,"국민은행 10,208(10,208 증가), 우리은행 463(409 감소) ",872,"10,208",409,"10,671",
,,,,,,,
장남 ,,"중소기업은행 0(1,208 감소), 신한은행 0(2 감소), 한국카카오은행(주) 46(46 증가), 우리은행 1,052(522 증가) ","1,740",568,"1,210","1,098",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"69,978",0,"5,520","64,458",,,
,,,,,,,
본인 ,,"농협중앙회 64,458(5,520 감소) ","69,978",0,"5,520","64,458",의정활동비용 증가 
,,,,,,,
▶ 채권(소계) ,"174,980",0,0,"174,980",,,
,,,,,,,
본인 ,,사인간채권 ,"174,980",0,0,"174,980",변동없음 
,,,,,,,
▶ 채무(소계) ,"115,000",0,0,"115,000",,,
,,,,,,,
모 ,금융기관채무 ,"대구은행 100,000 ","100,000",0,0,"100,000",변동없음 
,,,,,,,
모 ,건물임대채무 ,대구광역시 수성구 범물동 임대보증금 ,"15,000",0,0,"15,000",변동없음 
,,,,,,,
총계 ,"1,113,746","208,883","133,930","1,188,699","증감액:74,953천원 (가액변동: 33,908천원) ",,
,,,,,,,
