소속 ,국회 ,직위 ,국회의원 ,성명 ,김선동 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"343,000","622,000","343,000","622,000",,,
,,,,,,,
본인 ,아파트 ,서울특별시 도봉구 방학1동 대상현대아파트 건물 0.00m² (건물 109.43m² 감소) ,"303,000",0,"303,000",0,이사 
,,,,,"-495,000",,
,,,,,,,
본인 ,사무실 전세(임차)권 ,서울특별시 도봉구 방학1동 이정빌딩 건물 0.00m² (건물 99.18m² 감소) ,"30,000",0,"30,000",0,계약만료 
,,,,,,,
본인 ,아파트 ,"서울특별시 도봉구 방학동 대상타운현대 건물 133.98m² 중 66.99m² (건물 총면적 133.98m² 증가, 지분면적 66.99m² 증가) ",- ,"278,500",0,"278,500",이사 
,,,,"-278,500",,,
,,,,,,,
본인 ,사무실 전세(임차)권 ,서울특별시 도봉구 방학동 이정빌딩 건물 125.43m² (건물 125.43m² 증가) ,- ,"30,000",0,"30,000",사무실 이전 
,,,,,,,
배우자 ,아파트 ,"서울특별시 도봉구 방학동 대상타운현대 건물 133.98m² 중 66.99m² (건물 총면적 133.98m² 증가, 지분면적 66.99m² 증가) ",- ,"278,500",0,"278,500",이사 
,,,,"-278,500",,,
,,,,,,,
장남 ,사무실 전세(임차)권 ,서울특별시 도봉구 방학동 도봉월드빌딩 건물 0.00m² (건물 39.67m² 감소) ,"10,000",0,"10,000",0,계약만료 
,,,,,,,
장남 ,상가 전세(임차)권 ,서울특별시 강남구 대치동 건물 171.64m² (건물 171.64m² 증가) ,- ,"35,000",0,"35,000",사무실 이전 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"10,323",0,470,"9,853",,,
,,,,,,,
본인 ,자동차 ,"2017년식 카니발 배기량(3,300cc) ","3,883",- ,- ,"3,883",가액변동없음 
,,,,,,,
본인 ,자동차 ,"2011년식 아반떼MD 배기량(1,591cc) ","6,440",0,470,"5,970",가액변동 
,,,,,,,
▶ 예금(소계) ,"157,366","59,295","56,188","160,473",,,
,,,,,,,
본인 ,,"푸르덴셜생명보험 42,705(1,714 증가), 우리은행 16,182(15,093 증가), 도봉 51(1 증가), 신용협동조합중앙회 1,120(20 증가), 농협은행 178(274 감소), 국민은행 3,110, KB캐피탈 3,883, DB손해보험(주) 150(150 증가) ","50,675","16,991",287,"67,379",급여저축및생활비지출등 
,,,,,,,
배우자 ,,"북서울신협 21(36,000 감소), 흥국생명보험 7,366(552 증가), 국민은행 7,509(5,698 증가), 도봉 51(1 증가), 동양생명보험 536(9,642 감소), 신한은행 7, 중소기업은행 50, AIA생명보험 7,623(645 증가), 한국카카오은행(주) 7,000(7,000 증가), 우리은행 2,548(3,555 감소), 북서울신협 12,000(12,000 증가), 교보생명보험 39,545(4,003 증가)","103,554","36,335","55,633","84,256",
,,,,,,,
,,,,,,,
장남 ,,"신한은행 11, 국민은행 7,207(5,822 증가), 우리은행 1,270(268 감소), DB손해보험(주) 147(147 증가) ","2,934","5,969",268,"8,635",
,,,,,,,
장녀 ,,국민은행 203 ,203,0,0,203,
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"28,084","8,500",0,"36,584",,,
,,,,,,,
본인 ,,"중소기업은행 36,584(8,500 증가) ","28,084","8,500",0,"36,584",후원금 증가 
,,,,,,,
▶ 채권(소계) ,0,"46,666",0,"46,666",,,
,,,,,,,
본인 ,,사인간채권 증가 ,0,"46,666",0,"46,666",금전 대여 
,,,,,,,
▶ 채무(소계) ,"41,025","93,332","18,309","116,048",,,
,,,,,,,
본인 ,금융기관채무 ,"KB캐피탈 22,716(8,309 감소), 한국카카오은행(주) 46,666(46,666 증가) ","31,025","46,666","8,309","69,382","사무실 이전비용 등을 위한 대출,리스료일부상환등 "
,,,,,,,
장남 ,,사인간채무 증가 ,"10,000","46,666","10,000","46,666",사무실 이전비용 등을 위한 대출 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
부 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
모 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
총계 ,"497,748","643,129","381,349","759,528","증 감 액 : 261,780천원 (가액변동: -470천원) ",,
,,,,,,,
