소속 ,국회 ,직위 ,국회의원 ,성명 ,김성수 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"425,083","617,032","400,000","642,115",,,
,,,,,,,
본인 ,아파트 ,서울특별시 은평구 진관동 은평뉴타운 상림마을 건물 101.94m² (건물 101.94m² 증가) ,- ,"617,000",0,"617,000",주택구입 
,,,,"-617,000",,,
,,,,,,,
배우자 ,아파트 전세(임차)권 ,"경기도 고양시 일산동구 백석동 요진와이시티 건물 0.00m² 중 0.00m² (건물 총면적 127.86m² 감소, 지분면적 31.59m² 감소) ","400,000",0,"400,000",0,전세만료 
,,,,,,,
배우자 ,상가 ,경기도 고양시 일산동구 장항동 현대프리젠트 건물 22.87m² 중 1.50m² ,"25,083",32,0,"25,115",가액변동 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"20,190",0,"3,360","16,830",,,
,,,,,,,
본인 ,자동차 ,"2016년식 아이오닉 하이브리드 배기량(1,600cc) ","20,190",0,"3,360","16,830",가액변동 
,,,,,,,
▶ 예금(소계) ,"159,376","21,310","5,020","175,666",,,
,,,,,,,
본인 ,,"중소기업은행 901, 신한은행 6, 한화손해보험 900(900 증가), 농협은행 2,042(1,766 감소), AIA생명보험 48,882(3,417 증가), (주)KEB하나은행 2,422(2,955 감소), 국민은행 21, DB손해보험(주) 2,244(582 증가), 교보생명보험 51,678, 악사(AXA)손해보험 1,257(260 증가) ","109,915","5,389","4,951","110,353",급여저축 
,,,,,,,
배우자 ,,"(주)KEB하나은행 251(1 증가), DB손해보험(주) 17,255(1,943 증가), 하나금융투자 0(69 감소), 유안타증권 1,272(6 증가), 현대해상화재보험 984, 국민은행 1, 신한은행 4,997(3,653 증가), 삼성생명보험 23,537(2,129 증가), 중소기업은행 15, AIA생명보험 6,937(645 증가), 농협은행 4,669(4,669 증가), 라이나생명보험 2,112(430 증가), 악사(AXA)손해보험 1,062(224 증가) ","49,461","13,700",69,"63,092",
,,,,,,,
장녀 ,,"우리은행 1(1 증가), KB증권 1(1 증가), 신한은행 2,046(2,046 증가) ",0,"2,048",0,"2,048",
,,,,,,,
차녀 ,,"국민은행 87(87 증가), 광주은행 2(2 증가), 씨티은행 79(79 증가), 신한은행 1(1 증가), (주)KEB하나은행 3(3 증가), KB증권 1(1 증가) ",0,173,0,173,
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"36,530",0,"19,663","16,867",,,
,,,,,,,
본인 ,,"농협중앙회 16,867(19,663 감소) ","36,530",0,"19,663","16,867",정치자금 지출 증가 
,,,,,,,
▶ 유가증권(소계) ,476,"60,000",226,"60,250",,,
,,,,,,,
배우자 ,상장주식 ,일경산업개발 0주(310주 감소) ,226,0,226,0,일부매매 
,,,,,,,
배우자 ,비상장주식 ,"코리센 500주, 뉴메가코퍼레이션 60,000주(60,000주 증가) ",250,"60,000",0,"60,250",
,,,,,,,
▶ 채권(소계) ,0,"73,000",0,"73,000",,,
,,,,,,,
배우자 ,,사인간채권 증가 ,0,"73,000",0,"73,000",금융기관 채무 등 
,,,,,,,
▶ 채무(소계) ,"210,860","378,599","36,916","552,543",,,
,,,,,,,
본인 ,금융기관채무 ,"현대캐피탈 2,661(6,169 감소), 중소기업은행 36,927(9,723 감소), 한화손해보험 350,751(350,751 증가), 하나카드 18,000(18,000 증가), 농협은행 80,000, AIA생명보험 8,560, 교보생명보험 20,000 ","164,040","368,751","15,892","516,899",주택 구입자금 등 
,,,,,,,
배우자 ,금융기관채무 ,"DB손해보험(주) 22,240(2,620 감소), KB국민카드 0(7,111 감소), 삼성카드 0(2,664 감소), 삼성생명보험 3,556, 롯데카드 9,848(1,219 증가) ","46,820","9,848","21,024","35,644",급여 등으로 상환 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,"50,000",0,"50,000",0,,,
,,,,,,,
장남 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
모 ,,등록제외 ,"50,000",0,"50,000",0,사망 
,,,,,,,
총계 ,"480,795","392,743","441,353","432,185","증 감 액 : -48,610천원 (가액변동: -3,328천원) ",,
,,,,,,,
