소속 ,국회 ,직위 ,국회의원 ,성명 ,김성식 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"411,000",0,"13,000","398,000",,,
,,,,,,,
본인 ,아파트 전세(임차)권 ,서울특별시 관악구 봉천동 건물 117.00m² ,"110,000",0,0,"110,000",변동없음 
,,,,,,,
모 ,아파트 ,경기도용인시수지구죽전동 동부센트레빌아파트건물127.00m² ,"301,000",0,"13,000","288,000",가액변동 
,,,,,,,
▶ 예금(소계) ,"310,418","225,665","202,484","333,599",,,
,,,,,,,
본인 ,,"관악신협 30,140, 우리은행 5, 농협은행 5(1,206 감소), 국민은행 189,671(35,680 증가), 농협중앙회 419 ","185,766","190,000","155,526","220,240",급여저축및생활비지출등 
,,,,,,,
배우자 ,,"DB손해보험(주) 83(6,379 감소), 케이디비생명보험 1,534(396 증가), 국민은행 0(496 감소), 삼성생명보험 25,506, 신한은행 18(9 증가), 교보생명보험 54,904(6,105 증가), 은천 38 ","82,448","6,593","6,958","82,083",
,,,,,,,
모 ,,"국민은행 31,276(29,072 증가), SBI저축은행 0(40,000 감소) ","42,204","29,072","40,000","31,276",
,,,,,,,
▶ 채권(소계) ,"10,000",0,"10,000",0,,,
,,,,,,,
본인 ,,사인간채권 감소 ,"10,000",0,"10,000",0,전액환수 
,,,,,,,
▶ 채무(소계) ,"405,213","1,118","24,041","382,290",,,
,,,,,,,
본인 ,금융기관채무 ,"JB우리캐피탈 16,647(7,335 감소) ","23,982",0,"7,335","16,647",렌탈차량 
,,,,,,,
배우자 ,금융기관채무 ,"DB손해보험(주) 0(2,650 감소), 스탠다드차타드은행 3,975(5 감소), 신한카드 0(3,327 감소), 삼성생명보험 11,720, 롯데캐피탈 6,233(1,700 감소), 상호저축은행중앙회 3,139(6,862 감소), 교보생명보험 20,576(1,044 감소) ","61,231","1,118","16,706","45,643",급여로 일부 상환 
,,,,,,,
모 ,건물임대채무 ,경기도 용인시 수지구 죽전동 동부센트레빌아파트 임대보증금 ,"320,000",0,0,"320,000",변동없음 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
장녀 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
총계 ,"326,205","224,547","201,443","349,309","증감액:23,104천원 (가액변동: -13,000천원) ",,
,,,,,,,
