소속 ,국회 ,직위 ,국회의원 ,성명 ,김성원 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"445,000","665,000","430,000","680,000",,,
,,,,,,,
본인 ,사무실 전세(임차)권 ,경기도 연천군 전곡읍 전곡리 건물 105.88m² ,"5,000",0,0,"5,000",변동없음 
,,,,,,,
본인 ,사무실 전세(임차)권 ,경기도 동두천시 지행동 건물 225.00m² ,"10,000",0,0,"10,000",변동없음 
,,,,,,,
배우자 ,아파트 전세(임차)권 ,경기도 성남시 수정구 단대동 성남단대푸르지오 건물 0.00m² (건물 84.74m² 감소) ,"430,000",0,"430,000",0,계약 만료 
,,,,,,,
배우자 ,아파트 ,경기도 성남시 수정구 단대동 푸르지오 건물 114.88m² (건물 114.88m² 증가) ,- ,"665,000",0,"665,000",이사 
,,,,"-665,000",,,
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"21,580",0,"2,270","19,310",,,
,,,,,,,
배우자 ,자동차 ,2008년식 모닝 배기량(999cc) ,"3,420",0,240,"3,180",가액변동 
,,,,,,,
배우자 ,자동차 ,"2014년식 K5 2.0(하이브리드) 배기량(2,000cc) ","18,160",0,"2,030","16,130",가액변동 
,,,,,,,
▶ 예금(소계) ,"184,627","86,490","15,171","255,946",,,
,,,,,,,
본인 ,,"우리은행 29, 우체국 6, 농협은행 53,581(42,126 증가), (주)KB손해보험 6,777(2,344 증가), 한화생명보험 3,564, 농협중앙회 19, 삼성화재해상보험 15,701(3,588 증가), 새마을금고중앙회 공제사업부 1,974(741 증가) ","32,852","49,024",225,"81,651",급여저축 등으로 예금증가 
,,,,,,,
배우자 ,,"한국교직원공제회 48,084(7,255 증가), 국민은행 152(37 증가), 삼성화재해상보험 10,099(1,188 증가), 동양생명보험 12,605(950 증가), 삼성생명보험 58,464(5,202 증가), 신한은행 3,631(14,946 감소), (주)KB손해보험 8,055(1,381 증가), 씨티은행 5,302(3,630 증가), 농협은행 15,763(5,683 증가) ","151,775","25,326","14,946","162,155",
,,,,,,,
장녀 ,,"씨티은행 140(140 증가), 동양생명보험 12,000(12,000 증가) ",0,"12,140",0,"12,140",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"64,417","7,874",0,"72,291",,,
,,,,,,,
본인 ,,"농협은행 72,291(7,874 증가) ","64,417","7,874",0,"72,291",후원금증가등 
,,,,,,,
▶ 채권(소계) ,0,"20,000",0,"20,000",,,
,,,,,,,
본인 ,,사인간채권 증가 ,0,"20,000",0,"20,000",신규 채권 
,,,,,,,
▶ 채무(소계) ,"100,000","319,240","100,000","319,240",,,
,,,,,,,
본인 ,,사인간채무 증가 ,0,"20,000",0,"20,000",신규 채무 
,,,,,,,
배우자 ,금융기관채무 ,"신한은행 0(100,000 감소), 농협은행 299,240(299,240 증가) ","100,000","299,240","100,000","299,240",주택자금대출 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
부 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
모 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
총계 ,"615,624","460,124","347,441","728,307","증 감 액 : 112,683천원 (가액변동: -2,270천원) ",,
,,,,,,,
