소속 ,국회 ,직위 ,국회의원 ,성명 ,김성찬 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"1,641,265","152,000",0,"1,793,265",,,
,,,,,,,
본인 ,아파트 전세(임차)권 ,경상남도 창원시 진해구 자은동 협성딩스 이아이존빌아파트 건물 59.93m² ,"50,000",0,0,"50,000",
,,,,,,,
배우자 ,아파트 전세(임차)권 ,서울특별시 동작구 상도동 상도엠코타운 애스톤파크 건물 120.57m² ,"740,000",0,0,"740,000",
,,,,,,,
배우자 ,아파트 ,서울특별시 강남구 개포동 개포주공1차아파트 건물 50.38m² ,"736,000","152,000",0,"888,000",가액변동 
,,,,,,,
장녀 ,오피스텔 ,서울특별시 구로구 구로동 한라빌리언스오피스텔 대지 8.60m² 건물 25.99m² ,"115,265",0,0,"115,265",
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"60,660",0,"7,760","52,900",,,
,,,,,,,
본인 ,자동차 ,"2014년식 제네시스 배기량(3,300cc) ","26,760",0,"1,290","25,470",가액변동 
,,,,,,,
장녀 ,자동차 ,"2015년식 GLA200 CDI 배기량(2,143cc) ","33,900",0,"6,470","27,430",가액변동 
,,,,,,,
▶ 예금(소계) ,"335,911","203,180","219,419","319,672",,,
,,,,,,,
본인 ,,"우리은행 21,765(7,055 증가), 흥국생명보험 19,099(1,071 증가), 경남동부신협 5, 농협은행 11,139(10,935 증가), 국민은행 8,563(20,308 감소), 교보생명보험 8,023, 진해동부신협 109(3 증가) ","69,947","19,083","20,327","68,703",전세금반환등 
,,,,,,,
배우자 ,,"KB생명보험 23,000(12,000 증가), 국민은행 37,335(40,313 감소), 삼성생명보험 0(8,148 감소), 동양생명보험 0(14,400 감소), 농협중앙회 50,000(500 감소), 롯데손해보험 8,769(752 증가), IBK연금보험 12,000(6,000 증가), 농협은행 382(790 감소) ","176,885","104,210","149,609","131,486",
,,,,,,,
장녀 ,,"국민은행 21,517(7,285 감소), 현대해상화재보험 10,366(594 증가), 우리은행 84,495(36,508 증가), 신한은행 901(132 감소), 롯데손해보험 2,000(566 증가), 삼성화재해상보험 204(153 증가) ","89,079","79,887","49,483","119,483",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"114,403",0,"6,258","108,145",,,
,,,,,,,
본인 ,,"농협중앙회 108,145(6,258 감소) ","114,403",0,"6,258","108,145",후원금 감소 
,,,,,,,
▶ 채무(소계) ,"284,507","10,000","179,938","114,569",,,
,,,,,,,
본인 ,,사인간채무 ,"100,000",0,0,"100,000",
,,,,,,,
본인 ,금융기관채무 ,"현대캐피탈 4,569(9,938 감소) ","14,507",0,"9,938","4,569",리스료 상환 
,,,,,,,
본인 ,건물임대채무 ,서울특별시 강남구 개포동 개포주공1차아파트 임대보증금 감소 ,"150,000",0,"150,000",0,전세계약만료 
,,,,,,,
장녀 ,건물임대채무 ,서울특별시 구로구 구로동 한라빌리언스오피스텔 임대보증금 감소 ,"20,000","10,000","20,000","10,000",계약자 변경 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
장남 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
총계 ,"1,867,732","345,180","53,499","2,159,413","증 감 액 : 291,681천원 (가액변동: 144,240천원) ",,
,,,,,,,
