소속 ,국회 ,직위 ,국회의원 ,성명 ,김성태(金聖泰) ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"1,055,901","794,651","700,000","1,150,552",,,
,,,,,,,
본인 ,아파트 전세(임차)권 ,서울특별시 강서구 가양동 강서한강자이아파트 건물 0.00m² (건물 195.83m² 감소) ,"700,000",0,"700,000",0,전세권 만료 
,,,,,,,
본인 ,사무실 전세(임차)권 ,서울특별시 강서구 방화동 선샤인 건물 196.74m² ,"200,000",0,0,"200,000",
,,,,,,,
본인 ,아파트 전세(임차)권 ,서울특별시 강서구 가양동 강서한강자이아파트 건물 154.32m² (건물 154.32m² 증가) ,- ,"780,000",0,"780,000",신규 전세권 
,,,,,,,
배우자 ,상가 ,"서울특별시 용산구 이촌동 한강쇼핑 대지 31,845.00m² 중 8.19m² 건물 45.39m² ","155,901","14,062",0,"169,963",가액변동 
,,,,,,,
배우자 ,단독주택 ,"경기도 광명시 소하동 건물 81.09m² 중 16.22m² (건물 총면적 81.09m² 증가, 지분면적 16.22m² 증가) ",- ,589 (589) ,0,589,상속 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"41,840",0,"5,120","36,720",,,
,,,,,,,
장녀 ,자동차 ,"2014년식 쏘나타 하이브리드 배기량(1,999cc) ","15,840",0,"1,520","14,320",가액변동 
,,,,,,,
장녀 ,자동차 ,"2015년식 K7 하이브리드 배기량(2,359cc) ","26,000",0,"3,600","22,400",가액변동 
,,,,,,,
▶ 예금(소계) ,"941,287","230,154","97,658","1,073,783",,,
,,,,,,,
본인 ,,"미래에셋대우(주) 10, 우리은행 348,779(42,792 증가), 중소기업은행 1,433(1,574 감소), 농협은행 970(102 감소), 국민은행 15,164(4,656 증가), 농협중앙회 14,892(14,739 증가), 교보생명보험 13,032(109 증가) ","333,660","72,640","12,020","394,280",급여저축등 
,,,,,,,
배우자 ,,"DB손해보험(주) 24,124(3,655 증가), KB생명보험 182,400 (69,400 증가), 미래에셋대우(주) 49, 국민은행 37,078(12,785 감소), 농협중앙회 12, 삼성증권 15, 삼성생명보험 90,000, NH투자증권 56,591(3,611 증가), 우리은행 73, 한화생명보험 58,517(9,003 증가), 오렌지라이프생명보험 9,278 (1,382 증가), 교보 생명보험 54,038(3,686 증가), 농협생명보험 17,131(3,617 증가) ","447,737","98,943","17,374","529,306",
,,,,,,,
장녀 ,,"국민은행 79,360(37,146 증가), 미래에셋대우(주) 4,588(25,117 감소), 우리은행 29,497(38,434 감소), NH투자증권 12,385(195 증가), 라이나생명보험 1,085(303 증가) ","152,822","41,644","67,551","126,915",
,,,,,,,
장남 ,,"농협중앙회 18(713 감소), 우리은행 6,000, (주)KEB하나은행 17,264(16,927 증가) ","7,068","16,927",713,"23,282",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"42,352","2,043",0,"44,395",,,
,,,,,,,
본인 ,,"농협은행 44,395(2,043 증가) ","42,352","2,043",0,"44,395",후원금 증가 
,,,,,,,
▶ 유가증권(소계) ,"48,406","31,079","5,365","74,120",,,
,,,,,,,
배우자 ,상장주식 ,"BNTNF 10 01/01/ 70,000주, 셀트리온 3주 ","24,130",4,"1,414","22,720",평가액변동 및 매매 
,,,,,,,
장녀 ,상장주식 ,"아리온 5,000주, CJ대한통운 100주(100주 증가), TJ미디어 1,000주(1,000주 증가), SK하이닉스 300주(100주 증가), 성지건설 0주(1,000주 감소), 영원무역 0주(100주 감소), 씨티씨바이오 1,000주(1,000주 증가) ","24,276","31,075","3,951","51,400",
,,,,,,,
▶ 채무(소계) ,"440,000",0,0,"440,000",,,
,,,,,,,
본인 ,,사인간채무 ,"420,000",0,0,"420,000",
,,,,,,,
배우자 ,건물임대채무 ,서울특별시 용산구 이촌동 임대보증금 ,"20,000",0,0,"20,000",
,,,,,,,
총계 ,"1,689,786","1,057,927","808,143","1,939,570","증 감 액 : 249,784천원 (가액변동: 7,482천원) ",,
,,,,,,,
