소속 ,국회 ,직위 ,국회의원 ,성명 ,김성태(金成泰) ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"1,938,000","388,000","320,000","2,006,000",,,
,,,,,,,
본인 ,아파트 ,서울특별시 서초구 반포동 신반포3지구아파트 건물 132.94m² ,"1,168,000","288,000",0,"1,456,000",가액변동 
,,,,,,,
본인 ,아파트 전세(임차)권 ,서울특별시 서초구 반포동 반포아파트 건물 140.13m² ,"750,000",0,"300,000","450,000",계약변경 
,,,,,,,
본인 ,상가 전세(임차)권 ,"서울특별시 송파구 삼전동 건물 0.00m² (건물 1,468.32m² 감소) ","20,000",0,"20,000",0,계약만료 
,,,,,,,
본인 ,아파트 전세(임차)권 ,서울특별시 강남구 세곡동 세곡푸르지오 건물 59.89m² (건물 59.89m² 증가) ,- ,"100,000",0,"100,000",신규 계약 
,,,,,,,
▶ 예금(소계) ,"420,739","111,394","139,172","392,961",,,
,,,,,,,
본인 ,,"미래에셋생명보험 36,146, 우체국 72,922(13,467 증가), 농협은행 11,974(19,485 감소), (주)KEB하나은행 454(101 증가), 국민은행 3,230(2,632 증가) ","128,011","20,552","23,837","124,726",생활비지출 등 
,,,,,,,
배우자 ,,"(주)KEB하나은행 25,315(24,015 증가), KB생명보험 318(318 증가), 현대해상화재보험 2,920(424 증가), 삼성생명보험 4,121(281 증가), 메트라이프생명보험 78,839(16,977 증가), 한국카카오은행(주) 12(12 증가), 신한생명보험 35,771(3,238 증가), 한화생명보험 11,028(1,314 증가), 오렌지라이프생명보험 0(85,600 감소), 우리은행 1,958(1,958 증가) ","197,345","48,537","85,600","160,282",
,,,,,,,
장남 ,,"중소기업은행 11,500(3,000 증가), 신한은행 5,872(1,299 증가), 메트라이프생명보험 34,000(6,000 증가), 우리은행 1,131(11,695 감소), 국민은행 20,549(8,197 증가), 씨티은행 0(10 감소) ","66,261","35,406","28,615","73,052",
,,,,,,,
차남 ,,"농협은행 1(1,120 감소), 메트라이프생명보험 34,000(6,000 증가), 우리은행 900(899 증가) ","29,122","6,899","1,120","34,901",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"6,410","14,342",0,"20,752",,,
,,,,,,,
본인 ,,"농협은행 20,752(14,342 증가) ","6,410","14,342",0,"20,752",후원금 증가 
,,,,,,,
▶ 유가증권(소계) ,"30,000",0,0,"30,000",,,
,,,,,,,
본인 ,비상장주식 ,"제일엔지니어링 6,000주 ","30,000",0,0,"30,000",변동없음 
,,,,,,,
▶ 채권(소계) ,"470,000",0,0,"470,000",,,
,,,,,,,
본인 ,,사인간채권 ,"470,000",0,0,"470,000",
,,,,,,,
▶ 채무(소계) ,"1,305,377","914,000","1,143,553","1,075,824",,,
,,,,,,,
본인 ,금융기관채무 ,"우체국 40,000, 농협은행 37,899(238,630 감소), (주)KEB하나은행 997,925(679,077 증가) ","635,377","914,000","473,553","1,075,824",전세금 반환과
,,,,,,,신규 전세계약을 위한 채무 증가 
,,,,,,,
본인 ,건물임대채무 ,서울특별시 서초구 반포동 신반포3지구아파트 임대보증금 감소 ,"670,000",0,"670,000",0,전세금 반환 
,,,,,,,
총계 ,"1,559,772","-400,264","-684,381","1,843,889","증 감 액 : 284,117천원 (가액변동: 288,000천원) ",,
,,,,,,,
