소속 ,국회 ,직위 ,국회의원 ,성명 ,김성환 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"33,160",0,0,"33,160",,,
,,,,,,,
본인 ,전 ,전라남도 여수시 삼산면 거문리 78번지 400.00m² ,"4,960",0,0,"4,960",가액변동없음 
,,,,,,,
본인 ,전 ,"전라남도 여수시 삼산면 거문리 52-3번지 1,554.00m² ","20,202",0,0,"20,202",가액변동없음 
,,,,,,,
본인 ,전 ,전라남도 여수시 삼산면 거문리 77번지 645.00m² ,"7,998",0,0,"7,998",가액변동없음 
,,,,,,,
▶ 건물(소계) ,"240,000",0,0,"240,000",,,
,,,,,,,
본인 ,아파트 전세(임차)권 ,서울특별시 노원구 상계동 마들대림아파트 건물 112.00m² ,"240,000",0,0,"240,000",변동없음 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,600,0,0,600,,,
,,,,,,,
본인 ,자동차 ,"1999년식 카렌스 배기량(1,800cc) ",600,- ,- ,600,가액변동없음 
,,,,,,,
▶ 예금(소계) ,"317,095","123,644","150,617","290,122",,,
,,,,,,,
본인 ,,"우리은행 9,342(8,437 감소), 우체국 487, 노원 102, 국민은행 34,177(118,738 감소), 한화생명보험 45,344 ","216,627","12,006","139,181","89,452",급여저축및생활비지출등 
,,,,,,,
배우자 ,,"(주)KEB하나은행 5,828(1,594 증가), 국민은행 12,805(5,118 감소), 우체국 85, 한화손해보험 31,739(2,751 증가), 한화생명보험 22,705, 우리은행 41,806(40,403 증가), 한국산업은행 61,930(60,147 증가) ","77,121","107,695","7,918","176,898",
,,,,,,,
차녀 ,,"국민은행 796(7 감소), 우리은행 8,985(685 증가) ","9,103",685,7,"9,781",
,,,,,,,
장녀 ,,"국민은행 1,722(354 감소), (주)KEB하나은행 3,022(147 증가), 우리은행 9,247(46 감소) ","14,244","3,258","3,511","13,991",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,0,"46,918",0,"46,918",,,
,,,,,,,
본인 ,,"농협은행 46,918(46,918 증가) ",0,"46,918",0,"46,918",후원금 증가 
,,,,,,,
▶ 채무(소계) ,"31,000",0,0,"31,000",,,
,,,,,,,
본인 ,,사인간채무 ,"31,000",0,0,"31,000",변동없음 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
부 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
모 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
총계 ,"559,855","170,562","150,617","579,800","증감액:19,945천원 ",,
,,,,,,,
