소속 ,국회 ,직위 ,국회의원 ,성명 ,김세연 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"12,619,508","1,038,935","303,291","13,355,152",,,
,,,,,,,
본인 ,대지 ,부산광역시 동래구 사직동 589번지 641.00m² ,"313,192","22,371",0,"335,563",가액변동 
,,,,,,,
본인 ,임야 ,"부산광역시 동래구 사직동 산 29번지 29,058.00m² ","706,109","23,246",0,"729,355",가액변동 
,,,,,,,
본인 ,대지 ,부산광역시 해운대구광역시 중동 1394-55번지 446.00m² 중 223.00m² ,"704,234","70,691",0,"774,925",가액변동 
,,,,,,,
본인 ,답 ,부산광역시 해운대구광역시 반송동 726번지 111.00m² ,"30,680","3,774",0,"34,454",가액변동 
,,,,,,,
본인 ,전 ,"부산광역시 해운대구광역시 반송동 745-1번지 12,629.00m² ","2,462,655","505,160",0,"2,967,815",가액변동 
,,,,,,,
본인 ,전 ,부산광역시 해운대구광역시 반송동 745-8번지 348.00m² ,"88,252","10,858",0,"99,110",가액변동 
,,,,,,,
본인 ,임야 ,"부산광역시 해운대구광역시 반송동 산 68-3번지 4,264.00m² ","31,212","1,834",0,"33,046",가액변동 
,,,,,,,
본인 ,임야 ,부산광역시 해운대구광역시 반송동 산 68-5번지 397.00m² ,"2,965",175,0,"3,140",가액변동 
,,,,,,,
본인 ,임야 ,부산광역시 해운대구광역시 반송동 산 68-6번지 298.00m² ,"2,226",131,0,"2,357",가액변동 
,,,,,,,
본인 ,답 ,"부산광역시 해운대구광역시 석대동 156번지 1,582.00m² ","474,600","63,280",0,"537,880",가액변동 
,,,,,,,
본인 ,도로 ,"부산광역시 사하구 구평동 산 37-1번지 1,578.00m² 중 315.60m² ","26,731",789,0,"27,520",가액변동 
,,,,,,,
본인 ,유지 ,경상남도 양산시 하북면 용연리 658-1번지 195.00m² ,0,"9,067",0,"9,067",가액변동 
,,,,,,,
본인 ,전 ,"경상남도 양산시 하북면 용연리 661-1번지 1,329.00m² ","97,681","2,658",0,"100,339",가액변동 
,,,,,,,
본인 ,답 ,"경상남도 양산시 하북면 용연리 668번지 5,842.00m² ","265,811","21,031",0,"286,842",가액변동 
,,,,,,,
본인 ,답 ,"경상남도 양산시 하북면 용연리 669번지 4,261.00m² ","236,485","13,635",0,"250,120",가액변동 
,,,,,,,
본인 ,답 ,"경상남도 양산시 하북면 용연리 700번지 1,405.00m² ","57,464","5,199",0,"62,663",가액변동 
,,,,,,,
본인 ,답 ,"경상남도 양산시 하북면 용연리 911-2번지 1,122.00m² ","39,045","3,478",0,"42,523",가액변동 
,,,,,,,
본인 ,답 ,경상남도 양산시 하북면 용연리 673번지 476.00m² ,"20,277","1,857",0,"22,134",가액변동 
,,,,,,,
본인 ,답 ,경상남도 양산시 하북면 용연리 674번지 512.00m² ,"21,606","1,946",0,"23,552",가액변동 
,,,,,,,
본인 ,답 ,경상남도 양산시 하북면 용연리 675번지 264.00m² ,"11,140","1,004",0,"12,144",가액변동 
,,,,,,,
본인 ,잡종지 ,"경상남도 양산시 하북면 용연리 676-2번지 29,818.00m² ","1,219,556","110,326",0,"1,329,882",가액변동 
,,,,,,,
본인 ,답 ,경상남도 양산시 하북면 용연리 910번지 615.00m² ,"25,953","2,337",0,"28,290",가액변동 
,,,,,,,
본인 ,답 ,경상남도 양산시 하북면 용연리 913-3번지 185.00m² ,"6,641",592,0,"7,233",가액변동 
,,,,,,,
본인 ,임야 ,경상남도 양산시 하북면 용연리 912번지 545.00m² ,"3,106",0,0,"3,106",가액변동 없음 
,,,,,,,
본인 ,임야 ,"경상남도 양산시 하북면 용연리 산 48번지 626,989.00m² ","540,464","16,929",0,"557,393",가액변동 
,,,,,,,
본인 ,임야 ,"경상남도 양산시 하북면 용연리 산 86번지 13,884.00m² ","63,866","2,777",0,"66,643",가액변동 
,,,,,,,
본인 ,답 ,경상남도 양산시 하북면 용연리 915-2번지 278.00m² ,"10,814","1,001",0,"11,815",가액변동 
,,,,,,,
본인 ,전 ,경상남도 양산시 어곡동 1635번지 734.00m² 중 183.50m² ,"9,175",550,0,"9,725",가액변동 
,,,,,,,
본인 ,임야 ,경상남도 양산시 어곡동 1636번지 413.00m² ,"3,605",190,0,"3,795",가액변동 
,,,,,,,
본인 ,임야 ,"경상남도 양산시 어곡동 1637번지 3,580.00m² 중 895.00m² ","22,106",806,0,"22,912",가액변동 
,,,,,,,
본인 ,전 ,경상남도 양산시 어곡동 1638번지 953.00m² 중 238.25m² ,"9,887",572,0,"10,459",가액변동 
,,,,,,,
본인 ,임야 ,경상남도 양산시 어곡동 1639-1번지 972.00m² 중 243.00m² ,"6,318",243,0,"6,561",가액변동 
,,,,,,,
본인 ,전 ,경상남도 양산시 어곡동 1627-1번지 579.00m² 중 144.75m² ,"8,106",477,0,"8,583",가액변동 
,,,,,,,
본인 ,답 ,"경상남도 양산시 어곡동 1627-2번지 1,133.00m² 중 249.75m² ","16,333",949,0,"17,282",가액변동 
,,,,,,,
본인 ,임야 ,"경상남도 양산시 어곡동 1639-2번지 1,260.00m² 중 630.00m² ","16,380",630,0,"17,010",가액변동 
,,,,,,,
본인 ,임야 ,경상남도 양산시 어곡동 1640번지 162.00m² 중 81.00m² ,"2,106",81,0,"2,187",가액변동 
,,,,,,,
본인 ,임야 ,경상남도 양산시 어곡동 1643번지 128.00m² 중 64.00m² ,"1,664",64,0,"1,728",가액변동 
,,,,,,,
본인 ,임야 ,경상남도 양산시 어곡동 1644번지 69.00m² 중 34.50m² ,897,34,0,931,가액변동 
,,,,,,,
본인 ,임야 ,"경상남도 양산시 어곡동 1645-1번지 3,662.00m² 중 1,831.00m² ","46,507","1,831",0,"48,338",가액변동 
,,,,,,,
본인 ,임야 ,경상남도 양산시 어곡동 1645-6번지 322.00m² 중 161.00m² ,"4,186",161,0,"4,347",가액변동 
,,,,,,,
본인 ,임야 ,"경상남도 양산시 어곡동 산 315-1번지 23,802.00m² ","164,233","14,282",0,"178,515",가액변동 
,,,,,,,
본인 ,임야 ,"경상남도 양산시 어곡동 산 348-1번지 94,909.00m² ","408,108","36,066",0,"444,174",가액변동 
,,,,,,,
본인 ,전 ,경상남도 양산시 어곡동 1629번지 784.00m² 중 195.50m² ,"9,775",586,0,"10,361",가액변동 
,,,,,,,
본인 ,전 ,"경상남도 양산시 어곡동 1631번지 1,445.00m² 중 361.25m² ","18,062","1,084",0,"19,146",가액변동 
,,,,,,,
본인 ,대지 ,부산광역시 동래구 수안동 108-5번지 952.00m² ,"2,680,000",0,0,"2,680,000",가액변동없음 
,,,,,,,
본인 ,대지 ,부산광역시 동래구 수안동 108-9번지 66.00m² ,"190,000",0,0,"190,000",가액변동없음 
,,,,,,,
본인 ,임야 ,"경상남도 양산시 하북면 용연리 1175-1번지 4,651.00m² ","1,206,004","84,183",0,"1,290,187",가액변동 
,,,,,,,
본인 ,임야 ,"경상남도 양산시 하북면 용연리 1176-5번지 0.00m² (1,157.60m² 감소) ","303,291",0,"303,291",0,매각 
,,,,,"-595,000",,
,,,,,,,
본인 ,대지 ,부산광역시 동래구 수안동 108-4번지 10.00m² ,"30,000",0,0,"30,000",가액변동없음 
,,,,,,,
▶ 건물(소계) ,"14,074,460","3,029,302",0,"17,103,762",,,
,,,,,,,
본인 ,창고 ,"부산광역시 동래구 수안동 대지 1,563.00m² 중 2,080.00m² 건물 760.00m² 중 760.00m² ","2,863,600","406,880",0,"3,270,480",가액변동 
,,,,,,,
본인 ,단독주택 ,"부산광역시 동래구 수안동 대지 1,954.00m² 중 2,868.00m² 건물 389.55m² 중 389.55m² ","3,280,000","530,000",0,"3,810,000",가액변동 
,,,,,,,
본인 ,상가 ,"부산광역시 동래구 칠산동 대지 1,916.00m² 중 1,502.00m² 건물 1,271.06m² 중 1,165.45m² (대지 지분면적 544.00m² 증가, 건물 지분면적 529.95m² 증가) ","2,874,860","1,924,422",0,"4,799,282","부동산취득, 일부매각 "
,,,,,,,
본인 ,아파트 ,서울특별시 서초구 서초동 트라움하우스3차 건물 273.81m² ,"4,616,000","168,000",0,"4,784,000",가액변동 
,,,,,,,
본인 ,아파트 전세(임차)권 ,부산광역시 금정구 구서동 롯데캐슬골드 건물 96.42m² ,"420,000",0,0,"420,000",변동없음 
,,,,,,,
본인 ,사무실 전세(임차)권 ,부산광역시 금정구 부곡동 건물 191.20m² ,"20,000",0,0,"20,000",변동없음 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"63,130",0,"9,480","53,650",,,
,,,,,,,
본인 ,자동차 ,"2015년식 올뉴카니발하이리무진 배기량(2,199cc) ","32,680",0,"5,140","27,540",가액변동 
,,,,,,,
본인 ,자동차 ,"2016년식 K7하이브리드 배기량(2,359cc) ","30,450",0,"4,340","26,110",가액변동 
,,,,,,,
▶ 예금(소계) ,"301,292","33,731","42,760","292,263",,,
,,,,,,,
