소속 ,국회 ,직위 ,국회의원 ,성명 ,강병원 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"440,000","650,000","410,000","680,000",,,
,,,,,,,
본인 ,사무실 전세(임차)권 ,서울특별시 은평구 불광동 메트로타워 건물 99.60m² ,"30,000",0,0,"30,000",
,,,,,,,
본인 ,아파트 ,"서울특별시 은평구 진관동 은평뉴타운제각말 건물 101.90m² 중 50.95m² (건물 총면적 101.90m² 증가, 지분면적 50.95m² 증가) ",- ,"325,000",0,"325,000",매입 
,,,,"-325,000",,,
,,,,,,,
배우자 ,아파트 전세(임차)권 ,서울특별시 은평구 진관동 제각말 푸르지오 건물 0.00m² (건물 84.89m² 감소) ,"410,000",0,"410,000",0,전세권 만료 
,,,,,"-410,000",,
,,,,,,,
배우자 ,아파트 ,"서울특별시 은평구 진관동 은평뉴타운제각말 건물 101.90m² 중 50.95m² (건물 총면적 101.90m² 증가, 지분면적 50.95m² 증가) ",- ,"325,000",0,"325,000",매입 
,,,,"-325,000",,,
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"54,520",0,"13,040","41,480",,,
,,,,,,,
본인 ,자동차 ,"2016년식 카니발 리무진 배기량(2,199cc) ","17,340",0,"4,480","12,860",가액변동 
,,,,,,,
본인 ,자동차 ,"2015년식 싼타페 배기량(1,995cc) ","9,920",0,"2,040","7,880",가액변동 
,,,,,,,
배우자 ,자동차 ,"2016년식 카니발 리무진 배기량(2,199cc) ","17,340",0,"4,480","12,860",가액변동 
,,,,,,,
배우자 ,자동차 ,"2015년식 싼타페 배기량(1,995cc) ","9,920",0,"2,040","7,880",가액변동 
,,,,,,,
▶ 예금(소계) ,"93,206","10,555","4,306","99,455",,,
,,,,,,,
본인 ,,"삼성생명보험 14,725(874 증가), 농협은행 24,476(4,440 증가), AIA생명보험 9,488(668 증가), 한국투자증권 9, 삼성화재해상보험 2,200(600 증가) ","44,316","6,582",0,"50,898",급여저축 등 
,,,,,,,
배우자 ,,"에이비엘생명보험 23,395(1,510 증가), 국민은행 0(1,610 감소), 신한은행 11,487(2,633 감소), 신한생명보험 9,800(2,400 증가) ","45,015","3,973","4,306","44,682",
,,,,,,,
장녀 ,,"한국투자증권 1, 신한은행 3,874 ","3,875",0,0,"3,875",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"183,448","39,407",0,"222,855",,,
,,,,,,,
본인 ,,"농협은행 222,855(39,407 증가) ","183,448","39,407",0,"222,855",후원금 증가 
,,,,,,,
▶ 채권(소계) ,"130,000",0,0,"130,000",,,
,,,,,,,
본인 ,,사인간채권 ,"130,000",0,0,"130,000",변동없음 
,,,,,,,
▶ 채무(소계) ,"22,899","180,290","9,149","194,040",,,
,,,,,,,
본인 ,금융기관채무 ,"신한카드 13,750(9,149 감소) ","22,899",0,"9,149","13,750",자동차 할부금 일부 상환 
,,,,,,,
배우자 ,금융기관채무 ,"신한은행 180,290(180,290 증가) ",0,"180,290",0,"180,290",아파트 매입 자금 
,,,,,,,
▶ 보석류(소계) ,"10,000",0,0,"10,000",,,
,,,,,,,
배우자 ,,"다이아몬드 (1캐럿, 화이트) ","10,000",- ,- ,"10,000",변동없음 
,,,,,,,
총계 ,"888,275","519,672","418,197","989,750","증 감 액 : 101,475천원 (가액변동: -13,040천원) ",,
,,,,,,,
