소속 ,국회 ,직위 ,국회의원 ,성명 ,김수민 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"180,000",0,0,"180,000",,,
,,,,,,,
본인 ,오피스텔 전세(임차)권 ,서울특별시 관악구 봉천동 대우디오슈페리움1단지 건물 71.45m² ,"180,000",0,0,"180,000",
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"6,300",0,0,"6,300",,,
,,,,,,,
본인 ,자동차 ,2018년식 G310R 배기량(313cc) ,"6,300",- ,- ,"6,300",
,,,,,,,
▶ 예금(소계) ,"16,077","2,754","2,786","16,045",,,
,,,,,,,
본인 ,,"신한은행 664(1,400 감소), 중소기업은행 20, (주)KB손해보험 5,414(1,085 증가), 농협은행 638(1,368 감소), 국민은행 29(1 증가), 청주직지신협 20, DB손해보험(주) 9,260(1,650 증가) ","16,077","2,754","2,786","16,045",생활비지출등 
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,0,"29,907",0,"29,907",,,
,,,,,,,
본인 ,,"농협은행 29,907(29,907 증가) ",0,"29,907",0,"29,907",신규계좌개설 
,,,,,,,
▶ 유가증권(소계) ,0,"20,000",0,"20,000",,,
,,,,,,,
본인 ,비상장주식 ,"현건설(주) 4,000주(4,000주 증가) ",0,"20,000",0,"20,000",추가신고 
,,,,,,,
▶ 채무(소계) ,"170,900","7,757",0,"178,657",,,
,,,,,,,
본인 ,금융기관채무 ,"농협은행 170,000, (주)렌딧 7,757(7,757 증가), DB손해보험(주) 900 ","170,900","7,757",0,"178,657",생활비지출등 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
부 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
모 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
총계 ,"31,477","44,904","2,786","73,595","증감액:42,118천원 ",,
,,,,,,,
