소속 ,국회 ,직위 ,국회의원 ,성명 ,김순례 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"105,623","2,660",0,"108,283",,,
,,,,,,,
본인 ,임야 ,"경기도 안성시 죽산면 당목리 산 58-4번지 11,702.00m² 중 11,617.30m² ","95,261","1,162",0,"96,423",가액변동 
,,,,,,,
본인 ,임야 ,"경상남도 고성군 대가면 금산리 산 190-1번지 29,950.00m² ","10,362","1,498",0,"11,860",가액변동 
,,,,,,,
▶ 건물(소계) ,"579,770","26,939",0,"606,709",,,
,,,,,,,
본인 ,근린생활시설 ,경기도 남양주시 평내동 리치플러스 대지 37.14m² 건물 111.78m² ,"213,770","3,939",0,"217,709",가액변동 
,,,,,,,
본인 ,복합건물(주 택+상가) ,경기도 성남시 수정구 신흥동 신동아파라디움 대지 48.00m² 건물 136.64m² ,"366,000","13,000",0,"379,000",가액변동 
,,,,,,,
본인 ,오피스텔 전세(임차)권 ,경기도 성남시 분당구 정자동 정자동3차푸르지오시티 건물 48.16m² (건물 48.16m² 증가) ,- ,"10,000",0,"10,000",국회의원김순례사무소
,,,,,,,임차보증금
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"110,430",0,"77,750","32,680",,,
,,,,,,,
본인 ,자동차 ,"2016년식 제네시스 배기량(3,800cc) 감소 ","72,770",0,"72,770",0,차량매도 
,,,,,"-53,500",,
,,,,,,,
본인 ,자동차 ,"2014년식 E300 배기량(3,500cc) ","37,660",0,"4,980","32,680",가액변동 
,,,,,,,
▶ 예금(소계) ,"3,698,765","1,258,909","1,089,491","3,868,183",,,
,,,,,,,
본인 ,,"삼성생명보험 407,503(41,609 증가), 우리은행 0(1,376 감소), 농협은행 17,305(7,512 증가), 미래신협 2,280(1 증가), (주)KEB하나은행 3,419,443(118,361 증가), 국민은행 4,000(6 감소), DB손해보험(주) 16,860(3,021 증가), 스탠다드차타드은행 19 ","3,698,288","1,258,613","1,089,491","3,867,410","차량매도, 세비저축 등에 따른 예금증가 "
,,,,,,,
배우자 ,,NH투자증권 246(1 증가) ,245,1,0,246,
,,,,,,,
장남 ,,"우체국 8, 국민은행 518(295 증가), (주)KEB하나은행 1 ",232,295,0,527,
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"204,153","67,073",0,"271,226",,,
,,,,,,,
본인 ,,"농협은행 271,226(67,073 증가) ","204,153","67,073",0,"271,226",국회의원후원회 정치자금 
,,,,,,,
▶ 채무(소계) ,"10,000","34,919",0,"44,919",,,
,,,,,,,
본인 ,금융기관채무 ,"JB우리캐피탈 34,919(34,919 증가) ",0,"34,919",0,"34,919",의정활동차량 리스료(신규) 
,,,,,,,
본인 ,건물임대채무 ,경기도 남양주시 평내동 리치플러스 임대보증금 ,"10,000",0,0,"10,000",임대보증금 
,,,,,,,
▶ 회원권(소계) ,"22,200",0,0,"22,200",,,
,,,,,,,
본인 ,콘도미니엄 ,베어스타운타워 콘도미니엄 ,"14,800",- ,- ,"14,800",변동없음 
,,,,,,,
배우자 ,기타 ,베어스타운스키회원 ,"7,400",- ,- ,"7,400",변동없음 
,,,,,,,
총계 ,"4,710,941","1,320,662","1,167,241","4,864,362","증 감 액 : 153,421천원 (가액변동: 14,619천원) ",,
,,,,,,,
