소속 ,국회 ,직위 ,국회의원 ,성명 ,김승희 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"103,312",291,0,"103,603",,,
,,,,,,,
본인 ,임야 ,"경기도 포천시 내촌면 진목리 산 268번지 4,156.40m² ","13,882",291,0,"14,173",가액변동 
,,,,,,,
배우자 ,전 ,서울특별시 성북구 정릉동 875번지 813.00m² ,"89,430",0,0,"89,430",
,,,,,,,
▶ 건물(소계) ,"1,495,000",0,0,"1,495,000",,,
,,,,,,,
본인 ,상가 ,서울특별시 양천구 목6동 목동2단지아파트 건물 0.00m² (건물 0.00m² 감소) ,0,0,0,0,
,,,,,,,
본인 ,상가 ,서울특별시 양천구 목동 목동2단지아파트 대지 41.03m² 건물 32.40m² ,"315,000",0,0,"315,000",
,,,,,,,
본인 ,아파트 ,서울특별시 양천구 목동 목동5단지아파트 건물 152.82m² ,"1,120,000",0,0,"1,120,000",
,,,,,,,
본인 ,근린생활시설 전세(임차)권 ,서울특별시 양천구 목동 3층 일부 83.47제곱미터(공용포함) 건물 83.47m² ,"30,000",0,0,"30,000",
,,,,,,,
장남 ,근린생활시설 전세(임차)권 ,서울특별시 동대문구 용두동 건물 752.00m² 중 23.00m² ,"30,000",0,0,"30,000",
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"8,960",0,"1,560","7,400",,,
,,,,,,,
배우자 ,자동차 ,"2010년식 그랜저 배기량(2,656cc) ","8,960",0,"1,560","7,400",가액변동 
,,,,,,,
▶ 예금(소계) ,"857,422","604,508","429,584","1,032,346",,,
,,,,,,,
본인 ,,"삼성생명보험 57,652(3,960 증가), 우리은행 2,671(2 증가), 신목 신협 302(2 증가), 우체국 10,332, 농협은행 90,465(30,782 증가), 한화생명보험 87,600(15,610 증가), 국민은행 481,079(53,943 증가) ","625,802","519,574","415,275","730,101",본인과 가족들의 급여저축 등 
,,,,,,,
배우자 ,,"한국교직원공제회 68,007(9,236 증가), (주)KEB하나은행 1,276 (1,241 증가), 삼성생명보험 18,986, 우체국 5,907(5,905 증가), 신한은행 12,485(5,876 증가), 교보생명보험 44,800(4,200 증가) ","125,003","26,458",0,"151,461",
,,,,,,,
장녀 ,,"(주)KEB하나은행 47,201(8,400 증가), 국민은행 2,734(2,724 증가), 중소기업은행 33(53 감소), 우체국 7,164, 교보생명보험 1,650(1,650 증가), 우리은행 10,600(5,592 증가) ","51,069","19,566","1,253","69,382",
,,,,,,,
차녀 ,,"국민은행 18,063(10,957 증가), 우리은행 48,395(16,939 증가) ","38,562","32,677","4,781","66,458",
,,,,,,,
장남 ,,"신한은행 5,224(692 감소), 우체국 2,500(2,500 증가), 국민은행 293(133 증가), (주)KEB하나은행 6,927(3,983 감소) ","16,986","6,233","8,275","14,944",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"18,361","12,696",0,"31,057",,,
,,,,,,,
본인 ,,"농협중앙회 31,057(12,696 증가) ","18,361","12,696",0,"31,057",후원금 증가 
,,,,,,,
▶ 채무(소계) ,"63,142",0,"19,241","43,901",,,
,,,,,,,
본인 ,건물임대채무 ,서울특별시 양천구 목6동 목동2단지아파트 임대보증금 감소 ,"50,000",0,"10,000","40,000",일부계약만료 
,,,,,,,
배우자 ,금융기관채무 ,"(주)KEB하나은행 0(179 감소), 국민은행 1,824(8,030 감소) ","10,033",0,"8,209","1,824",급여 등으로 상환 
,,,,,,,
장녀 ,기타 ,한국장학재단 감소 ,"3,109",0,"1,032","2,077",급여 등으로 상환 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
모 ,,고지거부 ,- ,- ,- ,- ,타인부양 
,,,,,,,
총계 ,"2,419,913","617,495","411,903","2,625,505","증 감 액 : 205,592천원 (가액변동: -1,269천원) ",,
,,,,,,,
