소속 ,국회 ,직위 ,국회의원 ,성명 ,김영우 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"805,000","960,000","650,000","1,115,000",,,
,,,,,,,
본인 ,단독주택 ,경기도 포천시 영중면 거사리 대지 595.00m² 건물 103.31m² ,"155,000",0,0,"155,000",변동없음 
,,,,,,,
본인 ,아파트 ,"서울특별시 용산구 효창동 울트라멤버스아파트 건물 132.05m² 중 66.03m² (건물 총면적 132.05m² 증가, 지분면적 66.03m² 증가) ",- ,"480,000",0,"480,000",주택구입(공동명의) 
,,,,"-480,000",,,
,,,,,,,
배우자 ,아파트 전세(임차)권 ,서울특별시 송파구 신천동 장미아파트 건물 0.00m² (건물 157.08m² 감소) ,"650,000",0,"650,000",0,전세권 만료 
,,,,,,,
배우자 ,아파트 ,"서울특별시 용산구 효창동 울트라멤버스아파트 건물 132.05m² 중 66.03m² (건물 총면적 132.05m² 증가, 지분면적 66.03m² 증가) ",- ,"480,000",0,"480,000",주택구입(공동명의) 
,,,,"-480,000",,,
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"6,340",0,350,"5,990",,,
,,,,,,,
본인 ,자동차 ,"2010년식 SM5 배기량(1,998cc) ","6,340",0,350,"5,990",가액변동 
,,,,,,,
▶ 예금(소계) ,"289,540","76,814","59,785","306,569",,,
,,,,,,,
본인 ,,"포천신협 571(15 증가), 우리은행 48,517(49,675 감소), 삼성생명보험 28,480(4,080 증가), 농협은행 30,312(27,603 증가), 농협중앙회 63,806(26,607 증가), (주)KEB하나은행 0(212 감소), 국민은행 120(1,827 감소), 동양생명보험 6,125, 오렌지라이프생명보험 35,876(2,375 증가), 포천제일신협 556, 삼성화재해상보험 13,368(2,179 증가) ","216,586","63,054","51,909","227,731",급여저축및대출금상환등 
,,,,,,,
배우자 ,,"중앙일보신협 4,845(360 증가), 국민은행 4,325(4,317 증가), 삼성화재해상보험 25,815(3,920 증가), KB증권 0(360 감소), 신한은행 233(1 증가), 동양생명보험 15,595(2,400 증가), 농협은행 32, 신용협동조합중앙회 648(3,577 감소), 한화생명보험 18,324(2,762 증가), 우리은행 9,021(1,643 감소), 농협생명보험 0(2,296 감소) ","72,954","13,760","7,876","78,838",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"4,516","3,423",0,"7,939",,,
,,,,,,,
본인 ,,"농협은행 7,939(3,423 증가) ","4,516","3,423",0,"7,939",후원금 증가 
,,,,,,,
▶ 채무(소계) ,"209,000","427,846","88,000","548,846",,,
,,,,,,,
본인 ,금융기관채무 ,"농협은행 90,000(60,000 감소) ","150,000","20,000","80,000","90,000",주택구입용 대출상환 등 
,,,,,,,
배우자 ,,사인간채무 ,"31,000",0,0,"31,000",변동없음 
,,,,,,,
배우자 ,금융기관채무 ,"국민은행 362,376(334,376 증가), 신용협동조합중앙회 65,470(65,470 증가) ","28,000","407,846","8,000","427,846",주택구입 대출 
,,,,,,,
총계 ,"896,396","612,391","622,135","886,652","증감액:-9,744천원 (가액변동: -350천원) ",,
,,,,,,,
