소속 ,국회 ,직위 ,국회의원 ,성명 ,김영주 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"533,000","45,000",0,"578,000",,,
,,,,,,,
본인 ,아파트 ,서울특별시 영등포구 문래동3가 문래힐스테이트 건물 119.47m² ,"503,000","45,000",0,"548,000",가액변동 
,,,,,,,
본인 ,사무실 전세(임차)권 ,서울특별시 영등포구 당산동3가 우미빌딩 건물 84.83m² ,"20,000",- ,- ,"20,000",
,,,,,,,
배우자 ,오피스텔 전세(임차)권 ,경상남도 창원시 의창구 사림동 사림프라자 건물 40.00m² ,"10,000",- ,- ,"10,000",
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"57,640",0,"8,950","48,690",,,
,,,,,,,
본인 ,자동차 ,"2013년식 에쿠스 배기량(3,778cc) ","57,640",0,"8,950","48,690",가액변동 (후원회자산) 
,,,,,,,
▶ 예금(소계) ,"1,125,351","688,885","658,277","1,155,959",,,
,,,,,,,
본인 ,,"미래에셋생명보험 7,452, 삼성생명보험 71,800(9,600 증가), 우리은행 156,815(265 증가), 영등포당산","737,213","426,862","395,284","768,791",급여등저축 
,,"106,645(106,645 증가), 농협은행 2,068(4,281 감소), (주)KB손해보험 0(59,000 감소), (주)KEB하나은행 340,594(68,878 증가), 국민은행 21, 에이비엘생명보험 4,884, 동양생명보험 10,000(10,000 증가), DB손해보험(주) 7,715(1,555 증가), 도림신협 54,438(1,029 증가), 영등포중앙 127(50,988 감소), 영등포당산 122(53,763 감소), 당산신협 120, 도림신협 142(6 증가), 새마을금고중앙회 공제사업부 5,848(1,632 증가) ",,,,,
,,,,,,,
배우자 ,,"(주)KEB하나은행 255,891(28,084 증가), 한국교직원공제회 49,468(3,874 증가), DB손해보험(주) 9,246(1,761 증가), 영등포당산 55,001(55,001 증가), 영등포중앙 127(2 증가), 국민은행 2,628(2 증가), 삼성생명보험 4,500, 영등포당산 21(53,918 감소), (주)KB손해보험 0(30,000 감소), 동양생명보험 6,000(6,000 증가), 농협은행 4,286(11,776 감소) ","388,138","262,023","262,993","387,168",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"206,757","170,066",0,"376,823",,,
,,,,,,,
본인 ,,"농협은행 376,823(170,066 증가) ","206,757","170,066",0,"376,823",정치자금 (후원금 증가) 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,"211,276",0,"211,276",0,,,
,,,,,,,
장녀 ,,등록제외 ,"211,276",0,"211,276",0,혼인 
,,,,,,,
총계 ,"2,134,024","903,951","878,503","2,159,472","증감액:25,448천원 (가액변동: 36,050천원) ",,
,,,,,,,
