소속 ,국회 ,직위 ,국회의원 ,성명 ,김영진 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"296,000","1,000",0,"297,000",,,
,,,,,,,
배우자 ,아파트 전세(임차)권 ,경기도 수원시 팔달구 화서동 꽃뫼버들마을금강아파트 건물 84.97m² ,"240,000",0,0,"240,000",
,,,,,,,
모 ,연립주택 ,경기도 용인시 기흥구 구갈동 건물 45.50m² ,"56,000","1,000",0,"57,000",가액변동 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"4,888",0,"1,388","3,500",,,
,,,,,,,
본인 ,자동차 ,"2009년식 쏘나타 배기량(1,999cc) ","4,888",0,"1,388","3,500",가액변동 
,,,,,,,
▶ 현금(소계) ,"10,000",0,0,"10,000",,,
,,,,,,,
본인 ,,현금 ,"10,000",0,0,"10,000",
,,,,,,,
▶ 예금(소계) ,"240,284","113,350","72,419","281,215",,,
,,,,,,,
본인 ,,"곡선 0(6 감소), 농협은행 3,599(2,304 감소), (주)KB손해보험 4,138(636 증가), 국민은행 24,927(5,401 감소), 오렌지라이프생명보험 29,135(2,079 증가) ","66,795","3,644","8,640","61,799",생활비지출및급여저축증가 
,,,,,,,
배우자 ,,"신용협동조합중앙회 신용공제사업부 2,420(1,320 증가), KB생명보험 12,800(2,400 증가), 유안타증권 251(32 증가), 국민은행 19,669(15,743 감소), 삼성생명보험 37,704, 동양생명보험 30,200(2,400 증가), 신한은행 47, 화서신협 ","123,428","76,672","34,848","165,252",
,,,,,,,
,,"54,040(53,470 증가), 곡선 0(7 감소), 농협은행 8,121(2,048 감소) ",,,,,
,,,,,,,
모 ,,"농협은행 4,880, 농협중앙회 47,642(3,748 증가), 신한은행 1,200 ","49,974","32,628","28,880","53,722",
,,,,,,,
장녀 ,,"농협중앙회 22(51 감소), 우체국 10 ",83,0,51,32,
,,,,,,,
장남 ,,"신한은행 400(400 증가), 중소기업은행 6(6 증가), 우체국 3, 농협중앙회 1 ",4,406,0,410,
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"230,770","122,789",0,"353,559",,,
,,,,,,,
본인 ,,"농협은행 353,559(122,789 증가) ","230,770","122,789",0,"353,559",후원금 증가 
,,,,,,,
▶ 채무(소계) ,0,"31,477",0,"31,477",,,
,,,,,,,
본인 ,금융기관채무 ,"JB우리캐피탈 31,477(31,477 증가) ",0,"31,477",0,"31,477",리스 채무 
,,,,,,,
총계 ,"781,942","205,662","73,807","913,797","증 감 액 : 131,855천원 (가액변동: -388천원) ",,
,,,,,,,
