소속 ,국회 ,직위 ,국회의원 ,성명 ,김영호 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"275,521","16,396",0,"291,917",,,
,,,,,,,
본인 ,임야 ,"인천광역시 중구 무의동 산 91-8번지 4,301.00m² 중 646.00m² ","64,470","2,326",0,"66,796",가액변동 
,,,,,,,
본인 ,임야 ,"인천광역시 중구 무의동 산 91-9번지 4,300.00m² 중 645.00m² ","38,958","3,354",0,"42,312",가액변동 
,,,,,,,
본인 ,임야 ,"인천광역시 중구 무의동 산 91-11번지 24,462.00m² 중 3,669.00m² ","95,394","8,071",0,"103,465",가액변동 
,,,,,,,
모 ,임야 ,"경기도 화성시 팔탄면 율암리 산 56-25번지 8,926.00m² 중 3,306.00m² ","76,699","2,645",0,"79,344",가액변동 
,,,,,,,
▶ 건물(소계) ,"447,137","29,000",100,"476,037",,,
,,,,,,,
본인 ,아파트 ,서울특별시 서대문구 북가좌동 가재울아이파크아파트 건물 84.92m² 중 42.46m² ,"189,500","14,500",0,"204,000",가액변동 
,,,,,,,
배우자 ,아파트 ,서울특별시 서대문구 북가좌동 가재울아이파크아파트 건물 84.92m² 중 42.46m² ,"189,500","14,500",0,"204,000",가액변동 
,,,,,,,
모 ,단독주택 ,경기도 화성시 송산면 용포리 대지 154.00m² 건물 88.98m² ,"63,400",0,100,"63,300",가액변동 
,,,,,,,
모 ,단독주택 ,경기도 화성시 남양읍 남양리 건물 61.52m² ,"4,737",0,0,"4,737",변동없음 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"6,000",0,0,"6,000",,,
,,,,,,,
본인 ,자동차 ,"2014년식 카니발R하이리무진 배기량(2,199cc) ","6,000",- ,- ,"6,000",변동없음 
,,,,,,,
▶ 예금(소계) ,"183,925","41,839","11,914","213,850",,,
,,,,,,,
본인 ,,"푸르덴셜생명보험 51,548(3,904 증가), 삼성생명보험 4,620, 신한은행 11, 국민은행 1,334(11,129 감소), 흥국화재해상보험(주) 12,286(1,064 증가), (주)KEB하나은행 47,187(24,400 증가), DB손해보험(주) 7,141(1,187 증가), 새마을금고중앙회 공제사업부 5,421(1,121 증가) ","109,001","31,676","11,129","129,548","본인,배우자급여저축및 가계생활비 지출 등 "
,,,,,,,
배우자 ,,"(주)KEB하나은행 17,266(6,823 증가), 케이디비생명보험 1,896, 푸르덴셜생명보험 20,710(1,371 증가), 현대해상화재보험 8,174 (844 증가), 국민은행 1,080(1 증가), 동양생명보험 25,200, 신한은행 1,299(785 감소), 우리은행 45 ","67,416","9,039",785,"75,670",
,,,,,,,
모 ,,"국민은행 237(124 증가), 신한은행 126, 우리은행 1,351(2 증가), 연희신협 625(2 증가), 신촌 36(1 증가), 현대해상화재보험 5,788(616 증가), (주)KEB하나은행 149(149 증가) ","7,418",894,0,"8,312",
,,,,,,,
장남 ,,농협은행 320(230 증가) ,90,230,0,320,
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"69,139",0,"7,250","61,889",,,
,,,,,,,
본인 ,,"국민은행 61,889(7,250 감소) ","69,139",0,"7,250","61,889",정치자금 지출로 인한 감소 
,,,,,,,
▶ 유가증권(소계) ,"50,000",0,0,"50,000",,,
,,,,,,,
배우자 ,비상장주식 ,"주식회사 땡큐인터내셔널 10,000주 ","50,000",0,0,"50,000",변동 없음 
,,,,,,,
▶ 채무(소계) ,"302,244","2,000","10,875","293,369",,,
,,,,,,,
본인 ,금융기관채무 ,"현대캐피탈 7,525(4,729 감소), 삼성화재해상보험 213,844(6,146 감소) ","232,244",0,"10,875","221,369",의정활동용 차량 렌트비 납부 및 주택담보대출 일부상환 
,,,,,,,
모 ,금융기관채무 ,"(주)KEB하나은행 40,000, 현대해상화재보험 2,000(2,000 증가) ","40,000","2,000",0,"42,000",가계생활비 대출 
,,,,,,,
모 ,건물임대채무 ,경기도 화성시 송산면 용포리 임대보증금 ,"30,000",0,0,"30,000",변동없음 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,"2,500",0,"2,500",0,,,
,,,,,,,
부 ,,등록제외 ,"2,500",0,"2,500",0,사망 
,,,,,,,
총계 ,"731,978","85,235","10,889","806,324","증감액:74,346천원 (가액변동: 45,296천원) ",,
,,,,,,,
