소속 ,국회 ,직위 ,국회의원 ,성명 ,김용태 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"444,200","44,600",0,"488,800",,,
,,,,,,,
배우자 ,아파트 ,서울특별시 강서구 가양동 도시개발아파트 건물 39.60m² 중 15.84m² ,"77,200","11,600",0,"88,800",가액변동 
,,,,,,,
배우자 ,아파트 ,서울특별시 양천구 신정동 신정e-편한세상아파트 건물 109.91m² ,"367,000","33,000",0,"400,000",가액변동 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"4,590",0,620,"3,970",,,
,,,,,,,
본인 ,자동차 ,"2006년식 NF쏘나타 배기량(1,998cc) ","4,590",0,620,"3,970",가액변동 
,,,,,,,
▶ 예금(소계) ,"666,833","76,021","86,825","656,029",,,
,,,,,,,
본인 ,,"하나금융투자 31,107(7,761 감소), 금빛 144(4 증가), 우리은행 108, 신한은행 150(150 증가), 중앙일보신협 17, 농협은행 4,585(21,996 감소), 신목신협 189, 메트라이프 생명보험 90,707(7,367 증가), (주)KEB하나은행 437,790 (10,409 증가), 신목동 18 ","576,642","67,534","79,361","564,815",급여저축및생활비지출등 
,,,,,,,
배우자 ,,"에이비엘생명보험 13,275(438 증가), 하나금융투자 9, 새마을금고중앙회 공제사업부 23,422(3,558 증가), 국민은행 20, 신한은행 28, 우리은행 5,722(7,464 감소), 하나생명보험 45,600(3,600 증가), 농협은행 3,084(891 증가), 신목신협 54 ","90,191","8,487","7,464","91,214",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"36,341","78,107",0,"114,448",,,
,,,,,,,
본인 ,,"(주)KEB하나은행 114,448(78,107 증가) ","36,341","78,107",0,"114,448",정치자금 지출 감소 
,,,,,,,
▶ 채무(소계) ,"162,956",0,"101,510","61,446",,,
,,,,,,,
본인 ,금융기관채무 ,"현대캐피탈 1,446(696 감소), 신한은행 0(100,814 감소) ","102,956",0,"101,510","1,446",채무 상환(정치자금 대출 상환) 
,,,,,,,
배우자 ,건물임대채무 ,서울특별시 강서구 가양동 도시개발 @ 임대보증금 ,"60,000",0,0,"60,000",전세계약 연장 
,,,,,,,
총계 ,"989,008","198,728","-14,065","1,201,801","증 감 액 : 212,793천원 (가액변동: 43,980천원) ",,
,,,,,,,
