소속 ,국회 ,직위 ,국회의원 ,성명 ,김재경 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"161,886","2,982","1,199","163,669",,,
,,,,,,,
배우자 ,임야 ,경상남도 진주시 명석면 오미리 산 9번지 0.00m² (0.00m² 감소) ,0,0,0,0,
,,,,,,,
배우자 ,임야 ,"경상남도 진주시 명석면 오미리 산 9번지 1,653.00m² ","1,136",87,0,"1,223",가액변동 
,,,,,,,
배우자 ,대지 ,경상남도 진주시 명석면 외율리 884번지 0.00m² (0.00m² 감소) ,0,0,0,0,
,,,,,,,
배우자 ,대지 ,경상남도 진주시 명석면 외율리 884번지 245.00m² ,"11,980","1,470",0,"13,450",가액변동 
,,,,,,,
부 ,임야 ,"경상남도 진주시 명석면 외율리 산 234번지 29,653.00m² ","19,304",0,89,"19,215",가액변동 
,,,,,,,
부 ,전 ,경상남도 진주시 명석면 외율리 875번지 324.00m² ,"2,359",881,0,"3,240",가액변동 
,,,,,,,
부 ,답 ,"경상남도 진주시 명석면 외율리 115-12번지 2,827.00m² ","65,021",0,0,"65,021",가액변동 없음 
,,,,,,,
부 ,전 ,경상남도 진주시 명석면 오미리 527-1번지 740.00m² ,"13,542",0,"1,110","12,432",가액변동 
,,,,,,,
부 ,답 ,"경상남도 진주시 명석면 오미리 512-5번지 2,001.00m² ","40,620",0,0,"40,620",가액변동 없음 
,,,,,,,
부 ,전 ,경상남도 진주시 명석면 오미리 517번지 331.00m² ,"4,204",297,0,"4,501",가액변동 
,,,,,,,
부 ,도로 ,경상남도 진주시 명석면 외율리 904-2번지 46.00m² 중 46.00m² ,0,0,0,0,
,,,,,,,
모 ,임야 ,"경상남도 진주시 명석면 외율리 산 549-5번지 3,743.00m² ","3,720",247,0,"3,967",가액변동 
,,,,,,,
▶ 건물(소계) ,"2,197,843","890,100","1,171,978","1,915,965",,,
,,,,,,,
본인 ,근린생활시설 ,경상남도 진주시 평거동 대지 278.45m² 건물 390.67m² ,"690,943",0,"21,978","668,965",가액변동 
,,,,,,,
본인 ,기타 전세(임차)권 ,경상남도 진주시 상대동 건물 99.16m² ,"15,000",0,0,"15,000",변동없음 
,,,,,,,
배우자 ,단독주택 ,경상남도 진주시 명석면 외율리 ,0,0,0,0,
,,,,,,,
배우자 ,단독주택 ,경상남도 진주시 명석면 외율리 ,"43,900",100,0,"44,000",가액변동 
,,,,,,,
배우자 ,아파트 ,경상남도 진주시 초전동 초전1차푸르지오아파트 ,0,0,0,0,
,,,,,,,
배우자 ,아파트 ,경상남도 진주시 초전동 초전1차푸르지오아파트 ,"298,000",0,0,"298,000",변동없음 
,,,,,,,
배우자 ,아파트 전세(임차)권 ,서울특별시 서초구 서초동 서초1차 이-편한세상 건물 0.00m² (건물 130.53m² 감소) ,"900,000",0,"900,000",0,전세계약 완료 
,,,,,,,
배우자 ,아파트 전세(임차)권 ,서울특별시 동작구 사당동 동작삼성래미안아파트 건물 114.50m² (건물 114.50m² 증가) ,- ,"580,000",0,"580,000",신규전세 계약 
,,,,,,,
장남 ,다세대주택 전세(임차)권 ,"서울특별시 영등포구 영등포동7가 건물 0.00m² 중 0.00m² (건물 총면적 1,547.38m² 감소, 지분면적 27.41m² 감소) ","250,000",0,"250,000",0,전세계약 완료 
,,,,,,,
장남 ,아파트 전세(임차)권 ,서울특별시 구로구 개봉동 현대아파트 건물 59.00m² (건물 59.00m² 증가) ,- ,"310,000",0,"310,000",신규전세 계약 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"16,470",0,"2,340","14,130",,,
,,,,,,,
배우자 ,자동차 ,"2014년식 LF쏘나타2.4 배기량(2,359cc) ","16,470",0,"2,340","14,130",가액변동 
,,,,,,,
▶ 예금(소계) ,"544,662","118,349","44,523","618,488",,,
,,,,,,,
본인 ,,"신한은행 8,119(4,742 증가), 농협은행 13,269(10,372 감소), 신한생명보험 16,800, 에이비엘생명보험 25,200, 국민은행 21,304(21,304 증가), 경남은행 1,927(64 증가) ","70,881","26,116","10,378","86,619",급여저축 
,,,,,,,
배우자 ,,"에이비엘생명보험 34,800(3,600 증가), 흥국생명보험 28,500(6,000 증가), 새마을금고중앙회 공제사업부 8,816(3,206 증가), 국민은행 6,628(69 증가), 삼성생명보험 261,251(12,028 증가), 농협중앙회 121, 신한은행 2,099(1,206 증가), 농협은행 2,570(2,746 감소), 우리은행 1,265(3,732 감소), MG손해보험(주) 57,508(2,224 증가) ","381,703","28,333","6,478","403,558",
,,,,,,,
부 ,,"농협중앙회 51,966(2,259 증가) ","49,707","27,899","25,640","51,966",
,,,,,,,
모 ,,"농협중앙회 10,232(2,766 증가) ","7,466","2,766",0,"10,232",
,,,,,,,
장남 ,,"중소기업은행 434(2,027 감소), 농협중앙회 92, 농협은행 1, 교보생명보험 29,497(29,497 증가) ","2,554","29,497","2,027","30,024",
,,,,,,,
차남 ,,"교보생명보험 17,667(1,812 증가), 국민은행 1, 농협중앙회 101, 우리은행 635(97 증가) ","16,495","1,909",0,"18,404",
,,,,,,,
삼남 ,,"교보생명보험 17,667(1,812 증가), 국민은행 17(17 증가), 우체국 1 ","15,856","1,829",0,"17,685",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"210,917","162,800","150,540","223,177",,,
,,,,,,,
본인 ,,"농협은행 60,372(150,540 감소), 경남은행 162,805(162,800 증가) ","210,917","162,800","150,540","223,177",후원금 증가 
,,,,,,,
▶ 채권(소계) ,"160,000",0,0,"160,000",,,
,,,,,,,
배우자 ,,사인간채권 ,"160,000",0,0,"160,000",변동없음 
,,,,,,,
▶ 채무(소계) ,"1,435,930",0,"272,393","1,163,537",,,
,,,,,,,
본인 ,금융기관채무 ,"신한은행 500,000, 국민은행 0(65,930 감소) ","565,930",0,"65,930","500,000",전세보증금 차액으로 일부상환 
,,,,,,,
본인 ,건물임대채무 ,경상남도 진주시 평거동 임대보증금 ,"50,000",0,0,"50,000",변동없음 
,,,,,,,
배우자 ,,사인간채무 ,"260,000",0,0,"260,000",변동없음 
,,,,,,,
배우자 ,금융기관채무 ,"삼성생명보험 30,000, 우리은행 73,537(206,463 감소) ","310,000",0,"206,463","103,537",전세보증금 차액으로 일부상환 
,,,,,,,
장남 ,,사인간채무 ,"250,000",0,0,"250,000",변동없음 
,,,,,,,
총계 ,"1,855,848","1,174,231","1,098,187","1,931,892","증감액:76,044천원 (가액변동: -22,435천원) ",,
,,,,,,,
