소속 ,국회 ,직위 ,국회의원 ,성명 ,김재원 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"1,196,000","136,000",0,"1,332,000",,,
,,,,,,,
본인 ,아파트 ,경상북도 의성군 의성읍 중리리 청구제네스 건물 59.70m² ,"60,000",0,0,"60,000",가액변동없음 
,,,,,,,
본인 ,아파트 ,"서울특별시 강남구 대치1동 대치아이파크아파트 건물 0.00m² 중 0.00m² (건물 총면적 0.00m² 감소, 지분면적 0.00m² 감소) ",0,0,0,0,오기 정정으로 인한 변경처리 
,,,,,,,
본인 ,아파트 ,서울특별시 강남구 대치동 대치아이파크아파트 건물 151.80m² 중 75.90m² ,"568,000","68,000",0,"636,000",가액변동 
,,,,,,,
배우자 ,아파트 ,서울특별시 강남구 대치동 대치아이파크아파트 건물 151.80m² 중 75.90m² ,"568,000","68,000",0,"636,000",가액변동 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"68,280",0,"11,460","56,820",,,
,,,,,,,
본인 ,자동차 ,"2011년식 모하비 배기량(2,959cc) ","16,360",0,"2,500","13,860",가액변동 
,,,,,,,
본인 ,자동차 ,"2013년식 에쿠스 배기량(2,801cc) ","38,730",0,"6,850","31,880",가액변동 
,,,,,,,
배우자 ,자동차 ,"2011년식 캠리 배기량(2,494cc) ","13,190",0,"2,110","11,080",가액변동 
,,,,,,,
▶ 예금(소계) ,"1,937,237","1,681,607","1,572,009","2,046,835",,,
,,,,,,,
본인 ,,"푸르덴셜생명보험 90,510(4,888 증가), NH투자증권 125,558 (115,966 감소), 신용협동조합중앙회 160, 대구은행 0(236 감소), 청송 1,000, 농협은행 64(12,707 감소), 한화투자증권 53, AIA생명 보험 56,375(3,316 증가), 국민은행 1,238,041(71,647 증가), 농협중앙회 133,063(123,816 증가), 의성신협 54,286(891 증가) ","1,623,461","1,370,165","1,294,516","1,699,110","급여저축으로 예금,주식,보험 등적립증가분 "
,,,,,,,
배우자 ,,"국민은행 259,299(78,044 증가), 푸르덴셜생명보험 9,753(520 증가), 삼성생명보험 3,468, 의성신협 54,298(891 증가), 신한생명보험 0(41,308 감소) ","288,671","311,067","272,920","326,818",
,,,,,,,
장남 ,,"국민은행 13, NH투자증권 18,798(4,573 감소) ","23,384",0,"4,573","18,811",
,,,,,,,
장녀 ,,"NH투자증권 2,096(375 증가) ","1,721",375,0,"2,096",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"79,847","52,848",0,"132,695",,,
,,,,,,,
본인 ,,"축협중앙회 신용협동조합 132,695(52,848 증가) ","79,847","52,848",0,"132,695",정치 후원금 증가분 
,,,,,,,
▶ 유가증권(소계) ,"26,145",0,"9,009","17,136",,,
,,,,,,,
장녀 ,상장주식 ,삼성생명 210주 ,"26,145",0,"9,009","17,136",평가액 감소로 인한 변동 
,,,,,,,
총계 ,"3,307,509","1,870,455","1,592,478","3,585,486","증 감 액 : 277,977천원 (가액변동: 115,531천원) ",,
,,,,,,,
