소속 ,국회 ,직위 ,국회의원 ,성명 ,강석진 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"34,487","3,836",0,"38,323",,,
,,,,,,,
본인 ,대지 ,경상남도 거창군 가조면 사병리 102번지 370.00m² ,"8,547",555,0,"9,102",가액변동 
,,,,,,,
본인 ,전 ,경상남도 거창군 가조면 사병리 61-9번지 313.00m² ,"1,662",209,0,"1,871",가액변동 
,,,,,,,
본인 ,전 ,경상남도 거창군 가조면 사병리 61-8번지 449.00m² ,"2,384",301,0,"2,685",가액변동 
,,,,,,,
본인 ,전 ,"경상남도 거창군 가조면 사병리 61-5번지 1,249.00m² ","6,632",837,0,"7,469",가액변동 
,,,,,,,
본인 ,전 ,경상남도 거창군 가조면 사병리 61-4번지 519.00m² ,"2,755",348,0,"3,103",가액변동 
,,,,,,,
본인 ,전 ,"경상남도 거창군 가조면 사병리 61-3번지 2,304.00m² ","12,234","1,543",0,"13,777",가액변동 
,,,,,,,
본인 ,임야 ,경상남도 거창군 가조면 수월리 산 140-4번지 172.00m² ,273,43,0,316,가액변동 
,,,,,,,
▶ 건물(소계) ,"1,483,997","123,486",0,"1,607,483",,,
,,,,,,,
본인 ,오피스텔 전세(임차)권 ,서울특별시 강서구 등촌동 강변샤르망 건물 63.16m² ,"20,000",0,0,"20,000",변동없음 
,,,,,,,
본인 ,사무실 전세(임차)권 ,경상남도 거창군 거창읍 중앙리 애지안 2층 건물 636.44m² 중 161.10m² ,"3,000",0,0,"3,000",변동없음 
,,,,,,,
본인 ,아파트 ,서울특별시 서초구 서초동 롯데캐슬클래식 건물 120.18m² 중 60.09m² ,"488,000","52,000",0,"540,000",가액변동 
,,,,,,,
배우자 ,근린생활시설 ,경상남도 거창군 거창읍 상림리 대지 510.40m² 건물 333.36m² ,"484,997","19,486",0,"504,483",가액변동 
,,,,,,,
배우자 ,아파트 ,서울특별시 서초구 서초동 롯데캐슬클래식 건물 120.18m² 중 60.09m² ,"488,000","52,000",0,"540,000",가액변동 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"21,090",0,"2,400","18,690",,,
,,,,,,,
본인 ,자동차 ,"2010년식 체어맨W 배기량(3,598cc) ","21,090",0,"2,400","18,690",가액변동 
,,,,,,,
▶ 예금(소계) ,"51,534","6,637","17,908","40,263",,,
,,,,,,,
본인 ,,"우리은행 2, 농협은행 0(7,619 감소), 대신증권 6, 국민은행 12,301(600 증가), 농협중앙회 116(1 증가), 스탠다드차타드은행 1 ","19,444",601,"7,619","12,426",급여저축및생활비지출등 
,,,,,,,
배우자 ,,"국민은행 2,070(6,748 감소), 농협손해보험 5,700(720 증가), 신용협동조합중앙회 31(1 증가) ","13,828","1,240","7,267","7,801",
,,,,,,,
모 ,,"국민은행 2,897(2,330 감소), 농협중앙회 1, 상호저축은행중앙회 445(4 증가) ","5,669",4,"2,330","3,343",
,,,,,,,
장녀 ,,"국민은행 11,903(840 증가), 우리은행 3,950(3,950 증가) ","11,063","4,790",0,"15,853",
,,,,,,,
장남 ,,"중소기업은행 38(4 감소), 농협중앙회 772(2 증가), 씨티은행 26(688 감소), 우리은행 4 ","1,530",2,692,840,
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"39,978","59,309",0,"99,287",,,
,,,,,,,
본인 ,,"농협은행 99,287(59,309 증가) ","39,978","59,309",0,"99,287",후원금 증가 
,,,,,,,
▶ 채무(소계) ,"1,098,646",494,"19,276","1,079,864",,,
,,,,,,,
본인 ,금융기관채무 ,"국민은행 28,455(19,276 감소) ","47,731",0,"19,276","28,455",일부 상환 
,,,,,,,
본인 ,건물임대채무 ,서울특별시 서초구 서초동 롯데캐슬클래식 임대보증금 ,"525,000",0,0,"525,000",변동없음 
,,,,,,,
배우자 ,금융기관채무 ,"농협중앙회 1,409(494 증가) ",915,494,0,"1,409",추가 대출 
,,,,,,,
배우자 ,건물임대채무 ,서울특별시 서초구 서초동 롯데캐슬클래식 임대보증금 ,"525,000",0,0,"525,000",변동없음 
,,,,,,,
총계 ,"532,440","192,774","1,032","724,182","증 감 액 : 191,742천원 (가액변동: 124,922천원) ",,
,,,,,,,
