소속 ,국회 ,직위 ,국회의원 ,성명 ,김정우 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"1,479,000","588,000","760,000","1,307,000",,,
,,,,,,,
본인 ,아파트 ,서울특별시 서초구 반포4동 미도아파트 건물 42.48m² ,"338,500","77,500",0,"416,000",가액변동 
,,,,,,,
본인 ,아파트 전세(임차)권 ,"서울특별시 강남구 대치동 미도아파트 건물 0.00m² 중 0.00m² (건물 총면적 84.96m² 감소, 지분면적 42.48m² 감소) ","305,000",0,"305,000",0,계약만료 
,,,,,,,
본인 ,아파트 전세(임차)권 ,경기도 군포시 당동 용호마을 e편한세상아파트 건물 0.00m² (건물 59.90m² 감소) ,"150,000",0,"150,000",0,계약만료 
,,,,,,,
본인 ,사무실 전세(임차)권 ,경기도 군포시 당동 건물 102.66m² ,"20,000",0,0,"20,000",변동없음 
,,,,,,,
본인 ,아파트 전세(임차)권 ,"경기도 군포시 부곡동 삼성마을아파트 건물 119.88m² 중 59.94m² (건물 총면적 119.88m² 증가, 지분면적 59.94m² 증가) ",- ,"215,000",0,"215,000",이사(공동명의) 
,,,,,,,
배우자 ,아파트 ,서울특별시 서초구 반포동 미도아파트 건물 42.48m² ,"338,500","77,500",0,"416,000",가액변동 
,,,,,,,
배우자 ,아파트 전세(임차)권 ,"서울특별시 강남구 대치동 미도아파트 건물 0.00m² 중 0.00m² (건물 총면적 84.96m² 감소, 지분면적 42.48m² 감소) ","305,000",0,"305,000",0,계약만료 
,,,,,,,
배우자 ,아파트 전세(임차)권 ,"경기도 군포시 부곡동 삼성마을아파트 건물 119.88m² 중 59.94m² (건물 총면적 119.88m² 증가, 지분면적 59.94m² 증가) ",- ,"215,000",0,"215,000",이사(공동명의) 
,,,,,,,
부 ,연립주택 ,강원도 철원군 갈말읍 지포리 ,0,0,0,0,
,,,,,,,
부 ,연립주택 ,강원도 철원군 갈말읍 지포리 건물 85.69m² ,"22,000","3,000",0,"25,000",가액변동 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"24,500",0,60,"24,440",,,
,,,,,,,
본인 ,자동차 ,"2016년식 그랜저 배기량(3,000cc) ","24,500",0,60,"24,440",가액변동 
,,,,,,,
▶ 예금(소계) ,"674,619","467,753","260,054","882,318",,,
,,,,,,,
본인 ,,"신한은행 18,591(13,112 증가), 우체국 3,540, KB증권 1, 농협은행 31,714(7,801 증가), 신한생명보험 10,540(827 증가), (주)KEB하나은행 3,500(2,000 감소), 군포신협 61(1 증가) ","48,206","21,810","2,069","67,947",급여저축및생활비지출등 
,,,,,,,
배우자 ,,"(주)KEB하나은행 229,931(63,761 증가), 케이디비생명보험 50,016, 수협은행 3,122(52,479 감소), 삼성화재해상보험 5,355(2,679 증가), 우체국 20,143, 신한은행 286,616(149,447 증가), 씨티은행 902(35,297 감소), 신한생명보험 34,800(4,800 증가), 오렌지라이프생명보험 15,500(3,000 증가), 농협은행 2(2 증가), 농협생명보험 50,000, OSB저축은행 25,012(25,012 증가) ","560,474","410,765","249,840","721,399",급여저축및생활비지출등 
,,,,,,,
부 ,,"농협은행 5,348(23 감소), 농협중앙회 417(45 증가) ","5,743","5,045","5,023","5,765",
,,,,,,,
모 ,,"국민은행 165(422 감소), 농협은행 20,000(20,000 증가), 농협중앙회 2,532(2,332 증가), 우리은행 3, 메리츠화재해상보험197(197증가),화천철원신협 26 ",816,"22,529",422,"22,923",
,,,,,,,
장남 ,,"오렌지라이프생명보험 10,000, (주)KEB하나은행 20,365(3,066 증가), 우리은행 10(10 증가) ","27,299","4,426","1,350","30,375",
,,,,,,,
장녀 ,,"(주)KEB하나은행 13,909(1,828 증가), 오렌지라이프생명보험 20,000 ","32,081","3,178","1,350","33,909",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"162,591","52,697",0,"215,288",,,
,,,,,,,
본인 ,,"농협중앙회 215,288(52,697 증가) ","162,591","52,697",0,"215,288",후원금 증가 
,,,,,,,
▶ 유가증권(소계) ,0,100,0,100,,,
,,,,,,,
본인 ,비상장주식 ,한겨례신문주식회사 20주(20주 증가) ,0,100,0,100,기보유주식 신규 등록 
,,,,,,,
▶ 채무(소계) ,"213,500","50,000","159,000","104,500",,,
,,,,,,,
본인 ,금융기관채무 ,"현대캐피탈 4,500(9,000 감소), (주)KEB하나은행 0(100,000 감소) ","113,500",0,"109,000","4,500",일부 상환 
,,,,,,,
본인 ,건물임대채무 ,서울특별시 서초구 반포4동 미도아파트 임대보증금 증가 ,0,"50,000",0,"50,000","공동명의로 인한 채무 재등록, 변동없음 "
,,,,,,,
배우자 ,건물임대채무 ,서울특별시 서초구 반포4동 미도아파트 임대보증금 감소 ,"100,000",0,"50,000","50,000","공동명의로 인한 채무 재등록, 변동없음 "
,,,,,,,
총계 ,"2,127,210","1,058,550","861,114","2,324,646","증 감 액 : 197,436천원 (가액변동: 157,940천원) ",,
,,,,,,,
