소속 ,국회 ,직위 ,국회의원 ,성명 ,김정재 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"15,327",476,0,"15,803",,,
,,,,,,,
모 ,임야 ,"경상북도 포항시 남구 장기면 읍내리 산 17-1번지 153,760.00m² 중 14,237.00m² ","15,327",476,0,"15,803",가액변동 
,,,,,,,
▶ 건물(소계) ,"349,315","44,000","3,315","390,000",,,
,,,,,,,
본인 ,아파트 ,서울특별시 은평구 진관동 은평뉴타운기자촌11단지 건물 84.78m² ,"316,000","44,000",0,"360,000",가액변동 
,,,,,,,
본인 ,사무실 전세(임차)권 ,경상북도 포항시 북구 장성동 이레빌딩3층 건물 188.00m² ,"30,000",0,0,"30,000",변동없음 
,,,,,,,
모 ,단독주택 ,"경상북도 포항시 남구 장기면 읍내리 대지 0.00m² 중 0.00m²건물 0.00m² 중 0.00m² (대지 지분면적 29.44m² 감소, 건물 지분면적 11.02m² 감소) ","3,315",0,"3,315",0,지분정리 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"18,600",0,"3,080","15,520",,,
,,,,,,,
본인 ,자동차 ,"2015년식 THE SUV 스포티지2WD 배기량(1,998cc) ","18,600",0,"3,080","15,520",가액변동 
,,,,,,,
▶ 예금(소계) ,"193,096","141,989","139,469","195,616",,,
,,,,,,,
본인 ,,"우리은행 13,503(1,200 증가), 신한은행 8,929(5,037 증가), 삼성생명보험 3,432, 대구은행 11, (주)KB손해보험 17,850(1,800 증가), 농협은행 1,445(53 증가), 국민은행 21(1 증가), (주)KEB하나은행 26, 포항서부신협 104(3 증가) ","37,227","8,094",0,"45,321",급여저축 및 생활비지출 
,,,,,,,
모 ,,"새마을금고 84(41 증가), 포항서부신협 116(3 증가), 포항서부신협 49,851(851증가),포항용흥33,000, (주)KEB하나은행 11,840(6,469 감소), 삼성생명보험 4,404, 형산 51,000 ","155,869","133,895","139,469","150,295",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"69,865","8,869",0,"78,734",,,
,,,,,,,
본인 ,,"농협중앙회 78,734(8,869 증가) ","69,865","8,869",0,"78,734",국회의원 정치자금 계좌 
,,,,,,,
▶ 채권(소계) ,"75,500",0,"21,000","54,500",,,
,,,,,,,
모 ,,사인간채권 감소 ,"75,500",0,"21,000","54,500",채권일부환수 
,,,,,,,
▶ 채무(소계) ,"273,321",0,"57,580","215,741",,,
,,,,,,,
본인 ,,사인간채무 감소 ,"75,500",0,"21,000","54,500",급여로 상환 
,,,,,,,
본인 ,금융기관채무 ,"현대캐피탈 12,411(15,946 감소), 한국주택금융공사 148,830(20,634 감소) ","197,821",0,"36,580","161,241",급여로 상환 
,,,,,,,
총계 ,"448,382","195,334","109,284","534,432","증감액:86,050천원 (가액변동: 41,396천원) ",,
,,,,,,,
