소속 ,국회 ,직위 ,국회의원 ,성명 ,김정호 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"101,956",0,0,"101,956",,,
,,,,,,,
배우자 ,답 ,"부산광역시 기장군 기장읍 청강리 650번지 4,261.00m² 중 710.00m² ","101,956",0,0,"101,956",
,,,,,,,
▶ 건물(소계) ,"60,000","230,000","60,000","230,000",,,
,,,,,,,
본인 ,오피스텔 전세(임차)권 ,경상남도 김해시 대청동 명진파크뷰 건물 0.00m² (건물 33.00m² 감소) ,"10,000",0,"10,000",0,계약만료 
,,,,,,,
본인 ,아파트 전세(임차)권 ,경상남도 김해시 율하동 모아미래도 5단지 건물 84.92m² (건물 84.92m² 증가) ,- ,"150,000",0,"150,000",신규 계약 
,,,,,,,
본인 ,다가구주택 전세(임차)권 ,서울특별시 동작구 사당동 건물 51.11m² (건물 51.11m² 증가) ,- ,"50,000",0,"50,000",신규 계약 
,,,,,,,
본인 ,오피스텔 전세(임차)권 ,서울특별시 영등포구 여의도동 더하우스소호여의도오피스텔 건물 26.87m² (건물 26.87m² 증가) ,- ,"10,000",0,"10,000",의정활동용 오피스텔 신규계약 
,,,,,,,
본인 ,사무실 전세(임차)권 ,경상남도 김해시 대청동 사파이어빌딩 건물 195.17m² (건물 195.17m² 증가) ,- ,"20,000",0,"20,000",지역사무소 신규계약 
,,,,,,,
배우자 ,오피스텔 전세(임차)권 ,부산광역시 금정구 구서동 엔젤하우스 건물 0.00m² (건물 20.00m² 감소) ,"50,000",0,"50,000",0,계약만료 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"22,940","3,697",0,"26,637",,,
,,,,,,,
본인 ,자동차 ,"2019년식 카니발리무진 배기량(2,199cc) 증가 ",0,"3,697",0,"3,697",의정활동용 차량 리스 신규계약 
,,,,,,,
배우자 ,자동차 ,"2018년식 니로 하이브리드 배기량(1,580cc) ","22,940",- ,- ,"22,940",변동없음 
,,,,,,,
▶ 예금(소계) ,"194,437","78,210","108,285","164,362",,,
,,,,,,,
본인 ,,"미래에셋대우(주) 111, 부산은행 18, 신한은행 4, 농협은행 21,743(21,667 증가), 국민은행 1,229(106,344 감소), 농협중앙회 255, KB캐피탈 3,697(3,697 증가) ","108,037","25,440","106,420","27,057",급여저축및생활비지출등 
,,,,,,,
배우자 ,,"(주)KEB하나은행 78(75 증가), 미래에셋대우(주) 166(55 증가), 국민은행 46,063(44,215 증가), 농협중앙회 9, 한화생명보험 5,236(564 증가), 교보생명보험 80,615(3,681 증가), 경남은행 1, 부산은행 156 ","83,734","48,590",0,"132,324",
,,,,,,,
장녀 ,,"국민은행 1,357(1,237 증가), (주)KEB하나은행 102, 농협중앙회 375, 씨티은행 1, 미래에셋대우(주) 0(57 감소), 부산은행 88, 한국카카오은행(주) 830(830 증가), 신한은행 237(179 증가) ",801,"2,246",57,"2,990",
,,,,,,,
장남 ,,"신한은행 0(1,808 감소), (주)KEB하나은행 1,931(1,931 증가), 우리은행 3(3 증가), 미래에셋대우(주) 57 ","1,865","1,934","1,808","1,991",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,0,"32,963",0,"32,963",,,
,,,,,,,
본인 ,,"농협은행 32,963(32,963 증가) ",0,"32,963",0,"32,963",후원금 증가 
,,,,,,,
▶ 유가증권(소계) ,"95,562",29,206,"95,385",,,
,,,,,,,
본인 ,상장주식 ,BNK금융지주 24주 ,234,0,59,175,평가액변동 등 
,,,,,,,
본인 ,비상장주식 ,"농업회사법인(주)봉하마을 9,486주 ","94,860",0,0,"94,860",
,,,,,,,
배우자 ,상장주식 ,BNK금융지주 36주(12주 증가) ,234,29,0,263,
,,,,,,,
장녀 ,상장주식 ,BNK금융지주 0주(12주 감소) ,117,0,117,0,
,,,,,,,
장남 ,상장주식 ,BNK금융지주 12주 ,117,0,30,87,
,,,,,,,
▶ 채무(소계) ,"53,279","147,498","10,000","190,777",,,
,,,,,,,
본인 ,금융기관채무 ,"농협은행 109,560(99,560 증가), KB캐피탈 37,938(37,938 증가) ","10,000","147,498","10,000","147,498",전세자금 대출 리스잔여대금 
,,,,,,,
배우자 ,금융기관채무 ,"교보생명보험 43,279 ","43,279",0,0,"43,279",
,,,,,,,
총계 ,"421,616","197,401","158,491","460,526","증감액:38,910천원 (가액변동: -89천원) ",,
,,,,,,,
