소속 ,국회 ,직위 ,국회의원 ,성명 ,김정훈 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"2,099,000","157,000",0,"2,256,000",,,
,,,,,,,
본인 ,빌딩 전세(임차)권 ,부산광역시 남구 대연동 3층 건물 173.02m² ,"30,000",- ,- ,"30,000",
,,,,,,,
본인 ,아파트 ,부산광역시 남구 대연3동 대연삼익비치아파트 건물 66.87m² ,"278,000","17,000",0,"295,000",가액변동 
,,,,,,,
본인 ,아파트 ,서울특별시 서초구 방배동 롯데캐슬포레스트 건물 119.65m² ,"724,000","68,000",0,"792,000",가액변동 
,,,,,,,
본인 ,아파트 전세(임차)권 ,부산광역시 남구 대연동 대연힐스테이트푸르지오아파트 건물 66.87m² ,"200,000",- ,- ,"200,000",
,,,,,,,
배우자 ,아파트 ,서울특별시 서초구 방배동 롯데캐슬포레스트 건물 119.67m² ,"724,000","68,000",0,"792,000",가액변동 
,,,,,,,
모 ,아파트 ,부산광역시 북구 만덕동 럭키만덕아파트 건물 84.94m² ,"143,000","4,000",0,"147,000",가액변동 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"13,933","2,884","4,733","12,084",,,
,,,,,,,
본인 ,자동차 ,"2014년식 그랜저 HG240 배기량(2,359cc) 감소 ","3,133",0,"3,133",0,기존 렌트카 보증금 환급 
,,,,,"-2,661",,
,,,,,,,
본인 ,자동차 ,"2019년식 쏘나타 2.0 가솔린 모던 배기량(1,999cc) 증가 ",0,"2,884",0,"2,884",신규 렌트카 보증금 
,,,,,,,
배우자 ,자동차 ,"2008년식 제네시스 330 배기량(3,342cc) ","10,800",0,"1,600","9,200",가액변동 
,,,,,,,
▶ 예금(소계) ,"1,120,955","202,354","170,279","1,153,030",,,
,,,,,,,
본인 ,,"대연6동 622(15 증가), 중소기업은행 32,311(81 감소), 대연 503, 농협은행 214,977(100,795 감소), 대연1.3동 503, AIA생명보험 30,000, 국민은행 7, (주)KEB하나은행 15, 문현4동 577, 문현1동 503, 한국투자증권 471(5 증가), 문현동 621, 삼성화재해상보험 800(800 증가) ","381,966","14,882","114,938","281,910","급여 저축, 생활비 지출, 전세금 지급 "
,,,,,,,
배우자 ,,"(주)KEB하나은행 520(1 증가), 하나금융투자 104(1 증가), 국민 은행 20,112(207 증가), 중소기업은행 2,262(2,750 감소), (주)KB 손해보험 60,508(7,356 증가), 삼성생명보험 71,910(8,220 증가), 삼성증권 49, IBK연금보험 120,065(14,000 증가), 씨티은행 673 (6,999 감소), 우리은행 37, 한국투자증권 384,406(41,460 감소) ","682,070","29,785","51,209","660,646",
,,,,,,,
모 ,,"국민은행 181,284(145,346 증가), 하이투자증권 20, 신만덕 0(18 감소), 부산은행 7,156(80 감소), 현대해상화재보험 12,000(4,800 증가) ","50,412","153,946","3,898","200,460",
,,,,,,,
장남 ,,"삼성생명보험 9,175(3,741 증가), 우리은행 245(144 감소), (주)KEB하나은행 594, 삼성생명 0(90 감소) ","6,507","3,741",234,"10,014",
,,,,,,,
▶ 유가증권(소계) ,"42,195","203,615","22,109","223,701",,,
,,,,,,,
본인 ,금융채 ,"국민은행3806할인일7M8 203,565주(203,565주 증가) ",0,"203,565",0,"203,565","신규매입,일부매도 "
,,,,,,,
배우자 ,상장주식 ,"SK하이닉스 332주(138주 감소), 현대차 0주(40주 감소) ","42,195",0,"22,109","20,086",
,,,,,,,
장남 ,비상장주식 ,코리아퍼시픽06 10주(10주 증가) ,0,50,0,50,
,,,,,,,
▶ 채무(소계) ,"213,853","179,200","173,879","219,174",,,
,,,,,,,
본인 ,금융기관채무 ,"현대캐피탈 39,974(23,879 감소), 신한은행 179,200(179,200 증가) ","63,853","179,200","23,879","219,174","차량 리스료 상환, 이주비 대출 "
,,,,,,,
본인 ,건물임대채무 ,부산광역시 남구 대연3동 대연삼익비치아파트 임대보증금 감소 ,"150,000",0,"150,000",0,임대보증금 반환 
,,,,,,,
총계 ,"3,062,230","386,653","23,242","3,425,641","증 감 액 : 363,411천원 (가액변동: 155,400천원) ",,
,,,,,,,
