소속 ,국회 ,직위 ,국회의원 ,성명 ,김종대 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"170,000",0,0,"170,000",,,
,,,,,,,
본인 ,단독주택 전세(임차)권 ,경기도 과천시 과천동 건물 87.98m² ,"170,000",0,0,"170,000",변동 없음 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"4,510",0,610,"3,900",,,
,,,,,,,
배우자 ,자동차 ,"2006년식 스포티지 배기량(1,991cc) ","4,510",0,610,"3,900",차량가액 감소 
,,,,,,,
▶ 예금(소계) ,"212,260","122,579","37,939","296,900",,,
,,,,,,,
본인 ,,"미래에셋생명보험 15,290(835 증가), 푸르덴셜생명보험 33,059(1,766 증가), 신한은행 25, 우리은행 2,279(2,753 감소), 농협은행 1,893(9,795 감소), 국민은행 1,263, (주)KEB하나은행 15, 교보생명보험 8,600(2,400 증가) ","69,971","5,001","12,548","62,424",급여저축및생활비지출 
,,,,,,,
배우자 ,,"한국교직원공제회 59,641(5,440 증가), 미래에셋대우(주) 5, 중소기업은행 221, 농협중앙회 97,030(97,030 증가), NH투자증권 1,637(330 증가), 한화생명보험 28,484(3,636 증가), 농협은행 27,029(23,039 감소), 더케이손해보험(주) 10,445(10,178 증가) ","130,917","116,614","23,039","224,492",
,,,,,,,
장녀 ,,"에이스아메리칸화재해상보험 808(610 증가), 신한은행 0(2,196 감소) ","2,394",610,"2,196",808,
,,,,,,,
장남 ,,"국민은행 3,373(354 증가), (주)KEB하나은행 5,726(135 감소), 농협은행 77(21 감소) ","8,978",354,156,"9,176",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"101,193","20,002","85,898","35,297",,,
,,,,,,,
본인 ,,"농협은행 35,297(65,896 감소) ","101,193","20,002","85,898","35,297",정치자금 지출 
,,,,,,,
▶ 유가증권(소계) ,"50,336",986,"12,921","38,401",,,
,,,,,,,
배우자 ,상장주식 ,"삼성SDI보통주 68주, 한국전자인증 2,325주, 한국정보인증 3,764주 ","50,336",986,"12,921","38,401",평가액 변동 
,,,,,,,
▶ 채권(소계) ,"140,000",0,0,"140,000",,,
,,,,,,,
배우자 ,,사인간채권 ,"140,000",0,0,"140,000",변동 없음 
,,,,,,,
▶ 지식재산권 ,,,,,,,
,,,,,,,
본인 ,저작재산권 ,<안보전쟁> 인물과 사상 저작권 ,- ,- ,- ,- ,수익 감소 
,,,,,,,
본인 ,저작재산권 ,<시크릿파일 위기의 장군들><시크릿파일 서해전쟁> 메디치미디어 저작권 (소득금액: 211천원) ,- ,- ,- ,- ,수익 감소 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
부 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
모 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
총계 ,"678,299","143,567","137,368","684,498","증감액:6,199천원 (가액변동: -12,545천원) ",,
,,,,,,,
