소속 ,국회 ,직위 ,국회의원 ,성명 ,김종민 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"140,100",0,0,"140,100",,,
,,,,,,,
배우자 ,아파트 전세(임차)권 ,충청남도 논산시 내동 제이파크 건물 84.97m² ,"135,000",- ,- ,"135,000",
,,,,,,,
모 ,다세대주택 전세(임차)권 ,서울특별시 관악구 봉천동 건물 66.00m² ,"5,100",- ,- ,"5,100",
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"11,940",0,"2,090","9,850",,,
,,,,,,,
배우자 ,자동차 ,"2012년식 그랜드카니발 배기량(2,199cc) ","11,940",0,"2,090","9,850",가액변동 
,,,,,,,
▶ 예금(소계) ,"100,668","23,375","15,119","108,924",,,
,,,,,,,
본인 ,,"신한은행 695(1 증가), 중소기업은행 70, 우리은행 20(1 감소), 화지산신협 108, 화지산신협 70, 농협은행 10,645(9,535 증가), 대신증권 62, 유안타증권 4, 연무신협 ","26,574","10,447","13,780","23,241",급여저축 및 생활비지출과 대출금변제등으로인한변동 
,,,,,,,
,,"53(1 증가), 국민은행 10,589(13,779 감소), 한국카카오은행(주) 910(910 증가), 스탠다드차타드은행 15 ",,,,,
,,,,,,,
배우자 ,,"DB손해보험(주) 15,704(2,128 증가), 한화투자증권 2, 국민은행 20, 삼성생명보험 4,116, 우체국 502, 신한은행 241(87 증가), 농협중앙회 1, 리딩투자증권 1, 한화손해보험 10,365(1,708 증가), 우리은행 2,570(1,276 증가), 농협은행 934(346 감소), 농협생명보험 28,800(5,400 증가) ","53,003","11,573","1,320","63,256",
,,,,,,,
모 ,,"국민은행 6,528(19 감소), (주)KEB하나은행 251(245 증가) ","6,553",245,19,"6,779",
,,,,,,,
장녀 ,,"농협중앙회 23(3 증가), 충청 8(7 증가), 우리은행 180, 신한은행 7,815(650 증가) ","7,366",660,0,"8,026",
,,,,,,,
장남 ,,"신한은행 7,622(450 증가) ","7,172",450,0,"7,622",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"24,564","31,132",0,"55,696",,,
,,,,,,,
본인 ,,"농협은행 55,696(31,132 증가) ","24,564","31,132",0,"55,696",후원금 증가 
,,,,,,,
▶ 유가증권(소계) ,"100,000",0,0,"100,000",,,
,,,,,,,
본인 ,비상장주식 ,"(주)이미지홀딩스 200,000주 ","100,000",0,0,"100,000",변동없음 
,,,,,,,
▶ 채권(소계) ,"208,000",0,0,"208,000",,,
,,,,,,,
배우자 ,,사인간채권 ,"208,000",0,0,"208,000",
,,,,,,,
▶ 채무(소계) ,"207,576","51,554","68,952","190,178",,,
,,,,,,,
본인 ,,사인간채무 감소 ,"50,000",0,"30,000","20,000",예금 등으로 상환 
,,,,,,,
본인 ,금융기관채무 ,"농협은행 136,584(20,992 감소) ","157,576","17,960","38,952","136,584",예금 등으로 상환 
,,,,,,,
배우자 ,금융기관채무 ,"농협생명보험 20,020(20,020 증가), 현대카드(주) 13,574(13,574 증가) ",0,"33,594",0,"33,594",생활비지출 등 
,,,,,,,
총계 ,"377,696","2,953","-51,743","432,392","증감액:54,696천원 (가액변동: -2,090천원) ",,
,,,,,,,
