소속 ,국회 ,직위 ,국회의원 ,성명 ,김종석 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"1,002,630","33,621",339,"1,035,912",,,
,,,,,,,
본인 ,답 ,경기도 용인시 처인구 이동면 천리 478번지 995.00m² ,"17,313",597,0,"17,910",가액변동 
,,,,,,,
본인 ,전 ,"경기도 용인시 처인구 이동면 천리 479-2번지 1,285.00m² ","55,255","3,598",0,"58,853",가액변동 
,,,,,,,
본인 ,답 ,경기도 용인시 처인구 이동면 천리 562번지 261.00m² ,"8,430",183,0,"8,613",가액변동 
,,,,,,,
본인 ,임야 ,"충청남도 아산시 염치읍 염성리 산 4-12번지 1,686.00m² ","26,807",0,0,"26,807",가액변동없음 
,,,,,,,
본인 ,임야 ,"충청남도 아산시 송악면 유곡리 산 13번지 10,612.00m² ","26,530","1,061",0,"27,591",가액변동 
,,,,,,,
본인 ,임야 ,"충청남도 아산시 송악면 강장리 산 1번지 1,073.00m² ","7,543","2,307",0,"9,850",가액변동 
,,,,,,,
본인 ,전 ,충청남도 아산시 읍내동 179번지 172.00m² 중 43.00m² ,"6,462",0,339,"6,123",가액변동 
,,,,,,,
본인 ,임야 ,"충청남도 아산시 읍내동 산 8번지 8,331.00m² 중 2,082.75m² ","50,819",624,0,"51,443",가액변동 
,,,,,,,
본인 ,대지 ,충청남도 아산시 용화동 295-12번지 30.00m² 중 7.50m² ,"4,582",13,0,"4,595",가액변동 
,,,,,,,
본인 ,도로 ,충청남도 아산시 용화동 295-52번지 266.00m² 중 66.50m² ,"9,728",187,0,"9,915",가액변동 
,,,,,,,
본인 ,도로 ,충청남도 아산시 용화동 295-53번지 99.00m² 중 24.75m² ,"2,710",32,0,"2,742",가액변동 
,,,,,,,
본인 ,임야 ,"경기도 용인시 처인구 이동면 천리 산 122-1번지 219,735.00m² 중 54,933.75m² ","708,645","21,973",0,"730,618",가액변동 
,,,,,,,
본인 ,임야 ,경기도 용인시 처인구 이동면 천리 산 122-2번지 3.00m² 중 0.75m² ,7,1,0,8,가액변동 
,,,,,,,
본인 ,임야 ,"경기도 용인시 처인구 이동면 천리 산 116번지 22,909.00m² 중 5,727.25m² ","75,026","2,864",0,"77,890",가액변동 
,,,,,,,
본인 ,전 ,경기도 용인시 처인구 이동면 천리 474-1번지 258.00m² 중 64.50m² ,"2,773",181,0,"2,954",가액변동 
,,,,,,,
▶ 건물(소계) ,"3,024,000","327,000",0,"3,351,000",,,
,,,,,,,
본인 ,아파트 ,서울특별시 용산구 서빙고동 신동아아파트 건물 166.98m² ,"1,240,000","140,000",0,"1,380,000",가액변동 
,,,,,,,
배우자 ,단독주택 ,서울특별시 서대문구 연희동 대지 82.70m² 건물 60.40m² ,"203,000","20,000",0,"223,000",가액변동 
,,,,,,,
모 ,아파트 ,서울특별시 용산구 이촌동 장미맨숀 건물 196.71m² ,"1,104,000","64,000",0,"1,168,000",가액변동 
,,,,,,,
장남 ,아파트 ,서울특별시 성동구 옥수동 래미안 옥수 리버젠 건물 59.25m² ,"477,000","103,000",0,"580,000",가액변동 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"70,220",0,"9,620","60,600",,,
,,,,,,,
본인 ,자동차 ,"2015년식 K9 배기량(3,778cc) ","38,940",0,"5,190","33,750",가액변동 
,,,,,,,
모 ,자동차 ,"2010년식 에쿠스 배기량(3,778cc) ","31,280",0,"4,430","26,850",가액변동 
,,,,,,,
▶ 예금(소계) ,"2,968,592","1,209,020","1,255,311","2,922,301",,,
,,,,,,,
본인 ,,"신한은행 246,673(47,512 증가), 우체국 3,311(1,200 증가), KB증권 8, 농협은행 16,311(34,581 감소), 신한금융투자(주) 28, 국민은행 42,845(9,758 감소), 한화생명보험 30,000(250 증가), 오렌지라이프생명보험 174,833(9,380 증가) ","500,006","58,550","44,547","514,009",생활비 지출 및 급여저축 
,,,,,,,
배우자 ,,"(주)KEB하나은행 29,728(6,297 증가), DB손해보험(주) 50,000, 흥국화재해상보험(주) 14,985(2,220 증가), 국민은행 72,551(38,407 증가), 하나생명보험 30,000, 오렌지라이프생명보험 129,750(9,000 증가) ","271,090","55,924",0,"327,014",
,,,,,,,
모 ,,"(주)KEB하나은행 2,078,346(1,093,241 증가), 한화생명보험 0(1,210,560 감소) ","2,195,665","1,093,241","1,210,560","2,078,346",
,,,,,,,
장남 ,,"신한은행 44(54 감소), (주)KEB하나은행 575(425 증가) ",248,575,204,619,
,,,,,,,
차남 ,,"키움닷컴증권 36(34 증가), (주)KEB하나은행 2,277(696 증가) ","1,583",730,0,"2,313",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"33,903","24,055",0,"57,958",,,
,,,,,,,
본인 ,,"농협중앙회 57,958(24,055 증가) ","33,903","24,055",0,"57,958",후원액변동및지출 
,,,,,,,
▶ 채무(소계) ,"317,469","236,592","220,674","333,387",,,
,,,,,,,
장남 ,금융기관채무 ,"신한은행 213,692(5,563 감소), (주)KEB하나은행 119,695(21,481 증가) ","317,469","236,592","220,674","333,387",부분채무상환및생활비지출 
,,,,,,,
▶ 회원권(소계) ,"199,500","7,500",0,"207,000",,,
,,,,,,,
본인 ,골프 ,뉴코리아CC 증가 ,"87,000","7,000",0,"94,000",가액변동 
,,,,,,,
본인 ,콘도미니엄 ,보광휘닉스 증가 ,"31,500",500,0,"32,000",가액변동 
,,,,,,,
배우자 ,헬스 ,힐튼호텔 ,"20,000",- ,- ,"20,000",가액변동없음 
,,,,,,,
모 ,헬스 ,호텔신라휘트니스클럽 ,"61,000",- ,- ,"61,000",가액변동없음 
,,,,,,,
총계 ,"6,981,376","1,364,604","1,044,596","7,301,384","증 감 액 : 320,008천원 (가액변동: 357,662천원) ",,
,,,,,,,
