소속 ,국회 ,직위 ,국회의원 ,성명 ,김종회 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"460,229","40,218","3,522","496,925",,,
,,,,,,,
본인 ,전 ,"전라북도 김제시 성덕면 대목리 642-2번지 1,484.00m² ","13,608","1,187",0,"14,795",가액변동 
,,,,,,,
본인 ,전 ,"전라북도 김제시 성덕면 대목리 695번지 1,540.00m² 중 513.00m² ","4,555",400,0,"4,955",가액변동 
,,,,,,,
본인 ,전 ,"전라북도 김제시 성덕면 대목리 917번지 1,154.00m² 중 384.00m² ","3,248",284,0,"3,532",가액변동 
,,,,,,,
본인 ,전 ,"전라북도 김제시 성덕면 대목리 918번지 1,392.00m² 중 464.00m² ","4,120",362,0,"4,482",가액변동 
,,,,,,,
본인 ,전 ,"전라북도 김제시 성덕면 대석리 355-2번지 1,630.00m² ","16,267","1,500",0,"17,767",가액변동 
,,,,,,,
본인 ,전 ,전라북도 김제시 성덕면 대석리 355-3번지 228.00m² ,"2,275",210,0,"2,485",가액변동 
,,,,,,,
본인 ,전 ,"전라북도 김제시 성덕면 대석리 356번지 1,244.00m² ","12,415","1,144",0,"13,559",가액변동 
,,,,,,,
본인 ,전 ,전라북도 김제시 성덕면 대석리 357번지 276.00m² ,"2,649",249,0,"2,898",가액변동 
,,,,,,,
본인 ,전 ,전라북도 김제시 성덕면 대석리 368-2번지 688.00m² ,"6,116",323,0,"6,439",가액변동 
,,,,,,,
본인 ,전 ,전라북도 김제시 성덕면 대석리 368-3번지 261.00m² ,"2,390",350,0,"2,740",가액변동 
,,,,,,,
본인 ,전 ,전라북도 김제시 성덕면 대석리 390번지 456.00m² ,"4,468",411,0,"4,879",가액변동 
,,,,,,,
본인 ,전 ,전라북도 김제시 성덕면 대석리 392-1번지 770.00m² ,"7,546",693,0,"8,239",가액변동 
,,,,,,,
본인 ,전 ,전라북도 김제시 성덕면 대석리 397-2번지 696.00m² ,"6,946",640,0,"7,586",가액변동 
,,,,,,,
본인 ,전 ,전라북도 김제시 성덕면 대석리 398번지 370.00m² ,"3,577",345,0,"3,922",가액변동 
,,,,,,,
본인 ,전 ,전라북도 김제시 성덕면 대석리 410번지 523.00m² ,"6,537",0,105,"6,432",가액변동 
,,,,,,,
본인 ,전 ,전라북도 김제시 성덕면 대석리 414번지 294.00m² ,"2,842",274,0,"3,116",가액변동 
,,,,,,,
본인 ,전 ,전라북도 김제시 성덕면 대석리 416번지 368.00m² ,"3,716",332,0,"4,048",가액변동 
,,,,,,,
본인 ,전 ,"전라북도 김제시 성덕면 대석리 798-3번지 1,990.00m² ","18,128","1,772",0,"19,900",가액변동 
,,,,,,,
본인 ,답 ,전라북도 김제시 황산동 523-12번지 780.00m² ,"12,246",390,0,"12,636",가액변동 
,,,,,,,
본인 ,답 ,"전라북도 김제시 성덕면 대석리 1219번지 3,954.00m² ","43,494","3,954",0,"47,448",가액변동 
,,,,,,,
본인 ,답 ,"전라북도 김제시 성덕면 대석리 1220번지 1,776.00m² ","19,536","1,776",0,"21,312",가액변동 
,,,,,,,
본인 ,답 ,"전라북도 김제시 성덕면 대석리 1221번지 1,524.00m² ","16,764","1,524",0,"18,288",가액변동 
,,,,,,,
본인 ,답 ,"전라북도 김제시 성덕면 대석리 1248번지 1,599.00m² ","16,949","1,599",0,"18,548",가액변동 
,,,,,,,
본인 ,답 ,"전라북도 김제시 성덕면 대석리 1249번지 2,775.00m² ","29,970","2,220",0,"32,190",가액변동 
,,,,,,,
본인 ,답 ,"전라북도 김제시 성덕면 대석리 1250번지 2,177.00m² ","23,511","1,742",0,"25,253",가액변동 
,,,,,,,
본인 ,답 ,"전라북도 김제시 성덕면 대석리 1251번지 1,859.00m² ","19,705","1,859",0,"21,564",가액변동 
,,,,,,,
본인 ,답 ,"전라북도 김제시 성덕면 대석리 1252번지 1,730.00m² ","18,338","1,730",0,"20,068",가액변동 
,,,,,,,
본인 ,임야 ,전라북도 김제시 성덕면 대석리 407번지 56.00m² ,507,53,0,560,가액변동 
,,,,,,,
본인 ,임야 ,"전라북도 김제시 성덕면 대석리 409-3번지 1,037.00m² ","9,509",964,0,"10,473",가액변동 
,,,,,,,
본인 ,임야 ,전라북도 김제시 성덕면 대석리 411번지 60.00m² ,544,56,0,600,가액변동 
,,,,,,,
본인 ,임야 ,전라북도 김제시 성덕면 대석리 587-2번지 516.00m² ,"4,045",428,0,"4,473",가액변동 
,,,,,,,
본인 ,임야 ,"전라북도 정읍시 산외면 정량리 산 24-1번지 16,529.00m² ","7,504",446,0,"7,950",가액변동 
,,,,,,,
본인 ,대지 ,"전라북도 김제시 성덕면 대석리 409번지 1,584.00m² ","18,374","1,742",0,"20,116",가액변동 
,,,,,,,
본인 ,대지 ,전라북도 김제시 성덕면 대석리 415번지 185.00m² ,"2,053",241,0,"2,294",가액변동 
,,,,,,,
본인 ,대지 ,전라북도 김제시 성덕면 대석리 422-1번지 354.00m² ,"4,212",496,0,"4,708",가액변동 
,,,,,,,
본인 ,임야 ,"전라북도 정읍시 산외면 목욕리 산 135번지 2,281.00m² ","2,896",114,0,"3,010",가액변동 
,,,,,,,
본인 ,답 ,"전라북도 김제시 성덕면 대석리 1425-12번지 3,857.00m² ","42,427","3,857",0,"46,284",가액변동 
,,,,,,,
본인 ,대지 ,전라북도 김제시 성덕면 대석리 368-5번지 417.00m² ,"4,878",543,0,"5,421",가액변동 
,,,,,,,
본인 ,답 ,전라북도 김제시 성덕면 대석리 397-1번지 661.00m² ,"7,072",595,0,"7,667",가액변동 
,,,,,,,
본인 ,임야 ,"전라북도 김제시 성덕면 대석리 408번지 1,553.00m² ","15,483",823,0,"16,306",가액변동 
,,,,,,,
본인 ,임야 ,전라북도 김제시 성덕면 대석리 산 18-4번지 712.00m² ,"6,764",640,0,"7,404",가액변동 
,,,,,,,
본인 ,답 ,전라북도 김제시 성덕면 대석리 1249-1번지 107.00m² ,"1,155",86,0,"1,241",가액변동 
,,,,,,,
본인 ,답 ,전라북도 김제시 성덕면 대석리 1250-1번지 194.00m² ,"1,998",155,0,"2,153",가액변동 
,,,,,,,
본인 ,대지 ,전라북도 김제시 성덕면 대석리 1374-1번지 468.00m² ,"8,892",0,"3,417","5,475",가액변동 
,,,,,,,
본인 ,전 ,전라북도 김제시 성덕면 대석리 1112-30번지 96.00m² (96.00m² 증가) ,- ,"1,709",0,"1,709",매매 
,,,,"-1,709",,,
,,,,,,,
▶ 건물(소계) ,"93,142","32,589",0,"125,731",,,
,,,,,,,
본인 ,단독주택 ,전라북도 김제시 성덕면 대석리 대지 804.92m² 건물 98.00m² ,"28,700","1,000",0,"29,700",가액변동 
,,,,,,,
본인 ,근린생활시설 ,"전라북도 김제시 성덕면 대석리 대지 1,516.08m² 건물 184.60m² ","35,442","31,589",0,"67,031",가액변동 
,,,,,,,
본인 ,사무실 전세(임차)권 ,전라북도 김제시 요촌동 (2층) 건물 165.00m² ,"10,000",0,0,"10,000",변동없음 
,,,,,,,
본인 ,오피스텔 전세(임차)권 ,서울특별시 영등포구 여의도동 여의도 플렉시움오피스텔 건물 31.39m² ,"10,000",0,0,"10,000",변동없음 
,,,,,,,
본인 ,사무실 전세(임차)권 ,전라북도 부안군 부안읍 동중리 건물 100.00m² ,"9,000",0,0,"9,000",변동없음 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"5,830",0,720,"5,110",,,
,,,,,,,
본인 ,자동차 ,"2005년식 뉴렉스턴 배기량(2,696cc) ","5,830",0,720,"5,110",가액변동 
,,,,,,,
▶ 예금(소계) ,"78,539","28,877","22,026","85,390",,,
,,,,,,,
본인 ,,"전북은행 859(426 증가), 산림조합중앙회 500, 새마을금고 50, 신용협동조합중앙회 60, KB증권 3, 농협은행 6,102(299 감소), 국민은행 1,019(1 증가), 한화생명보험 8,560(2,016 증가), 농협중앙회 26,010(3,042 증가), 새마을금고중앙회 공제사업부 2,555(667 증가) ","39,865","6,379",526,"45,718",수당등저축 
,,,,,,,
배우자 ,,"국민은행 1,406(2 증가), 농협중앙회 20,320(2,635 증가), 농협생명보험 0(2,985 감소) ","22,074","19,115","19,463","21,726",
,,,,,,,
부 ,,"농협중앙회 13,871(2,678 증가) ","11,193","2,678",0,"13,871",
,,,,,,,
차녀 ,,"김제하나 1,297, 농협중앙회 2(2 증가) ","1,297",2,0,"1,299",
,,,,,,,
차남 ,,김제하나 954(193증가) ,761,193,0,954,
,,,,,,,
장남 ,,"신한은행 2, 중소기업은행 1, 우체국 0(30 감소), 농협중앙회 119(1,684 감소), 국민은행 33, 농협은행 35(254 감소) ","2,158",0,"1,968",190,
,,,,,,,
장녀 ,,"농협중앙회 1,118(68 감소), 농협은행 514(509 증가) ","1,191",510,69,"1,632",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"6,584","111,278",0,"117,862",,,
,,,,,,,
본인 ,,"농협은행 117,862(111,278 증가) ","6,584","111,278",0,"117,862",정차지금 수입 증가 
,,,,,,,
