소속 ,국회 ,직위 ,국회의원 ,성명 ,김종훈 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"245,000",0,0,"245,000",,,
,,,,,,,
배우자 ,대지 ,울산광역시 동구 전하동 756-23번지 165.40m² ,"245,000",0,0,"245,000",
,,,,,,,
▶ 건물(소계) ,"156,670","150,330",0,"307,000",,,
,,,,,,,
배우자 ,다가구주택 ,울산광역시 동구 전하동 건물 233.24m² ,"156,670","150,330",0,"307,000",가액변동 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"17,970","11,650","1,320","28,300",,,
,,,,,,,
본인 ,자동차 ,"2012년식 싼타페 배기량(2,195cc) ","17,970",0,"1,320","16,650",가액변동 
,,,,,,,
배우자 ,자동차 ,2018년식 모닝 배기량(998cc) 증가 ,0,"11,650",0,"11,650",신규구입 
,,,,"-11,650",,,
,,,,,,,
▶ 예금(소계) ,"162,947","28,800","20,500","171,247",,,
,,,,,,,
본인 ,,"일산 5,857(4,771 증가), 우리은행 1, 농협은행 7,317(14,003 감소), 국민은행 3, (주)KEB하나은행 24, 오렌지라이프생명 보험 14,406(824 증가), 경남은행 6,164(5,224 증가), 새마을금고중앙회 공제사업부 3,116(334 증가) ","39,738","12,148","14,998","36,888",급여저축 등 
,,,,,,,
배우자 ,,"DB손해보험(주) 15,355(1,979 증가), 서부 551, 삼성화재해상보험 2,010(360 증가), 현대해상화재보험 1,000(1,000 증가), 에이아이지손해보험(주) 350(350 증가), 농협중앙회 7, 우체국 208(208 증가), 오렌지라이프생명보험 65,377(4,844 증가), 농협은행 8,684(1,024 증가), 새마을금고 407(303 증가), 교보생명보험 29,756(2,277 증가), 라이나생명보험 4,162(147 증가) ","115,375","14,516","2,024","127,867",
,,,,,,,
장녀 ,,"(주)KEB하나은행 1,107(1,104 증가), 국민은행 67(67 증가), 농협은행 3,480(240 증가), 경남은행 5, 한국카카오은행(주) 189(189 증가) ","3,248","1,600",0,"4,848",
,,,,,,,
차녀 ,,"국민은행 3, 우리은행 296(296 증가), 농협은행 1,345(3,238 감소) ","4,586",536,"3,478","1,644",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"11,156","50,145",0,"61,301",,,
,,,,,,,
본인 ,,"농협중앙회 61,301(50,145 증가) ","11,156","50,145",0,"61,301",후원금 증가 
,,,,,,,
▶ 채권(소계) ,"116,850",0,0,"116,850",,,
,,,,,,,
본인 ,,사인간채권 ,"116,850",0,0,"116,850",
,,,,,,,
▶ 채무(소계) ,"566,739","2,999","3,508","566,230",,,
,,,,,,,
본인 ,금융기관채무 ,"새마을금고 350,000, 농협은행 181,500, 오렌지라이프생명보험 8,340 ","539,840",0,0,"539,840",
,,,,,,,
배우자 ,금융기관채무 ,"현대캐피탈 7,392(3,508 감소), 오렌지라이프생명보험 14,998(2,999 증가), 교보생명보험 4,000 ","26,899","2,999","3,508","26,390",일부상환 
,,,,,,,
총계 ,"143,854","237,926","18,312","363,468","증 감 액 : 219,614천원 (가액변동: 149,010천원) ",,
,,,,,,,
