소속 ,국회 ,직위 ,국회의원 ,성명 ,김중로 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"62,441","5,381",0,"67,822",,,
,,,,,,,
본인 ,임야 ,"강원도 강릉시 옥계면 도직리 산 85-1번지 19,837.00m² 중 4,959.25m² ","5,901","1,190",0,"7,091",가액변동 
,,,,,,,
배우자 ,목장용지 ,세종특별자치시 금남면 도남리 116-25번지 762.00m² ,"56,540","4,191",0,"60,731",가액변동 
,,,,,,,
▶ 건물(소계) ,"30,000",0,0,"30,000",,,
,,,,,,,
본인 ,오피스텔 전세(임차)권 ,서울특별시 마포구 도화동 마포트라팰리스 건물 80.30m² ,"30,000",0,0,"30,000",변동없음 
,,,,,,,
▶ 예금(소계) ,"153,062","143,407","64,415","232,054",,,
,,,,,,,
본인 ,,"중소기업은행 124,125(51,908 증가), 우리은행 7, (주)KB손해보험 16,360(3,090 증가), 농협은행 27,157(14,583 증가), 국민은행 188(1,225 감소) ","99,481","122,555","54,199","167,837",급여및연금소득저축 
,,,,,,,
배우자 ,,"(주)KEB하나은행 23, 스탠다드차타드은행 100, 국민은행 13,970(2,221 증가), 세종신협 2,808(69 증가), (주)KB손해보험 27,495(2,357 증가), 농협중앙회 26, 중소기업은행 10, 우리은행 1, 세종신협 204(14 증가) ","39,976","14,790","10,129","44,637",
,,,,,,,
차녀 ,,"Chase Manhattan 12,025, 씨티은행 81(87 감소), (주)KB손해 보험 1,788(1,431 증가), 중소기업은행 4,400(4,000 증가), 신한은행 631(631 증가), 씨티은행(국외) 655 ","13,605","6,062",87,"19,580",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"56,743",0,"16,005","40,738",,,
,,,,,,,
본인 ,,"농협은행 40,738(16,005 감소) ","56,743",0,"16,005","40,738",정치자금 잔액 변동 
,,,,,,,
▶ 채권(소계) ,"50,000",0,0,"50,000",,,
,,,,,,,
본인 ,,사인간채권 ,"50,000",0,0,"50,000",변동없음 
,,,,,,,
▶ 채무(소계) ,"161,080",0,0,"161,080",,,
,,,,,,,
본인 ,금융기관채무 ,"(주)KB손해보험 1,470 ","1,470",0,0,"1,470",변동없음 
,,,,,,,
배우자 ,금융기관채무 ,"(주)KB손해보험 2,610, 신용협동조합중앙회 157,000 ","159,610",0,0,"159,610",변동없음 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
장녀 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
총계 ,"191,166","148,788","80,420","259,534","증감액:68,368천원 (가액변동: 5,381천원) ",,
,,,,,,,
