소속 ,국회 ,직위 ,국회의원 ,성명 ,강석호 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"1,713,237","56,142","11,245","1,758,134",,,
,,,,,,,
본인 ,대지 ,경상북도 포항시 북구 신흥동 823-6번지 138.00m² ,"129,030",0,"6,486","122,544",가액변동 
,,,,,,,
본인 ,대지 ,경상북도 포항시 북구 신흥동 823-12번지 155.00m² ,"96,519",0,"4,759","91,760",가액변동 
,,,,,,,
본인 ,임야 ,"경상북도 포항시 남구 장기면 창지리 산 73-1번지 6,926.00m² ","5,617",187,0,"5,804",가액변동 
,,,,,,,
본인 ,임야 ,"경상북도 영덕군 영덕읍 우곡리 산 27-1번지 53,254.00m² 중 26,627.00m² ","34,615",0,0,"34,615",가액변동없음 
,,,,,,,
본인 ,임야 ,"제주특별자치도 서귀포시 표선면 표선리 72-5번지 6,744.00m² 중 2,248.00m² ","62,270","5,620",0,"67,890",가액변동 
,,,,,,,
본인 ,임야 ,제주특별자치도 서귀포시 표선면 표선리 72-6번지 479.00m² 중 159.60m² ,"4,247",304,0,"4,551",가액변동 
,,,,,,,
본인 ,전 ,"경상북도 포항시 남구 장기면 창지리 432번지 2,116.00m² ","8,887",254,0,"9,141",가액변동 
,,,,,,,
본인 ,전 ,제주특별자치도 서귀포시 표선면 표선리 72-4번지 205.00m² 중 68.30m² ,"7,653","1,504",0,"9,157",가액변동 
,,,,,,,
본인 ,전 ,제주특별자치도 서귀포시 표선면 표선리 72-11번지 212.00m² 중 70.60m² ,"2,049",142,0,"2,191",가액변동 
,,,,,,,
본인 ,하천 ,"경상북도 포항시 남구 오천읍 구정리 311-8번지 1,464.00m² ","211,694","2,489",0,"214,183",가액변동 
,,,,,,,
본인 ,하천 ,경상북도 포항시 남구 오천읍 구정리 311-35번지 42.00m² ,"6,880",79,0,"6,959",가액변동 
,,,,,,,
본인 ,하천 ,경상북도 포항시 남구 오천읍 구정리 525-1번지 88.00m² ,"15,831",185,0,"16,016",가액변동 
,,,,,,,
본인 ,하천 ,"경상북도 포항시 북구 흥해읍 용전리 314번지 1,507.00m² ","61,938","2,260",0,"64,198",가액변동 
,,,,,,,
본인 ,하천 ,"경상북도 포항시 북구 흥해읍 용전리 315번지 9,453.00m² ","604,992","23,633",0,"628,625",가액변동 
,,,,,,,
본인 ,하천 ,경상북도 포항시 북구 흥해읍 용전리 315-1번지 226.00m² ,"14,464",565,0,"15,029",가액변동 
,,,,,,,
본인 ,도로 ,경상북도 포항시 북구 흥해읍 용전리 215-4번지 300.00m² ,"13,140",420,0,"13,560",가액변동 
,,,,,,,
본인 ,하천 ,경상북도 포항시 남구 오천읍 구정리 525번지 671.00m² ,"116,083","1,342",0,"117,425",가액변동 
,,,,,,,
본인 ,답 ,대구광역시 서구 비산동 840-36번지 79.00m² ,"47,945","5,475",0,"53,420",가액변동 
,,,,,,,
본인 ,묘지 ,"경상북도 포항시 남구 호미곶면 강사리 589-1번지 2,413.00m² ","131,267","11,583",0,"142,850",가액변동 
,,,,,,,
본인 ,하천 ,경상북도 포항시 남구 오천읍 구정리 534-3번지 208.00m² 중 25.50m² ,"3,116",100,0,"3,216",가액변동 
,,,,,,,
배우자 ,전 ,"경상북도 영양군 일월면 곡강리 292-3번지 9,567.00m² ","135,000",0,0,"135,000",가액변동없음 
,,,,,,,
▶ 건물(소계) ,"4,466,870","88,245","14,000","4,541,115",,,
,,,,,,,
본인 ,단독주택 ,경상북도 포항시 북구 신흥동 대지 367.00m² 건물 197.30m² ,"218,000",0,"8,000","210,000",가액변동 
,,,,,,,
본인 ,단독주택 ,경상북도 포항시 북구 신흥동 대지 188.00m² 건물 338.49m² ,"123,000","8,000",0,"131,000",가액변동 
,,,,,,,
본인 ,상가 ,대구광역시 서구 비산동 대지 779.00m² 건물 157.65m² ,"787,870","80,245",0,"868,115",가액변동 
,,,,,,,
본인 ,아파트 ,서울특별시 용산구 이촌동 엘지한강자이아파트 건물 202.32m² 중 101.16m² ,"1,100,000",0,0,"1,100,000",가액변동없음 
,,,,,,,
본인 ,사무실 전세(임차)권 ,경상북도 영양군 영양읍 서부리 건물 97.13m² ,"3,000",0,0,"3,000",변동없음 
,,,,,,,
본인 ,사무실 전세(임차)권 ,경상북도 영덕군 영덕읍 남석리 건물 301.25m² ,"40,000",0,0,"40,000",변동없음 
,,,,,,,
본인 ,사무실 전세(임차)권 ,경상북도 울진군 울진읍 읍내리 건물 99.17m² ,"80,000",0,0,"80,000",변동없음 
,,,,,,,
본인 ,아파트 ,경상북도 포항시 남구 연일읍 유강리 대림한숲타운 건물 214.85m² ,"188,000",0,"6,000","182,000",가액변동 
,,,,,,,
본인 ,다세대주택 전세(임차)권 ,경상북도 영덕군 영덕읍 남석리 건물 75.89m² ,"20,000",0,0,"20,000",변동없음 
,,,,,,,
본인 ,상가 ,경상북도 포항시 북구 신흥동 대지 185.00m² 건물 75.86m² ,"140,000",0,0,"140,000",가액변동없음 
,,,,,,,
본인 ,사무실 전세(임차)권 ,경상북도 봉화군 봉화읍 내성리 건물 177.16m² ,"120,000",0,0,"120,000",변동없음 
,,,,,,,
본인 ,오피스텔 ,서울특별시 마포구 도화동 마포트라팰리스 건물 76.81m² ,"547,000",0,0,"547,000",가액변동없음 
,,,,,,,
배우자 ,아파트 ,서울특별시 용산구 이촌동 엘지한강자이아파트 건물 202.32m² 중 101.16m² ,"1,100,000",0,0,"1,100,000",가액변동없음 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"10,892","66,298",0,"77,190",,,
,,,,,,,
본인 ,자동차 ,"2015년식 에쿠스 배기량(3,778cc) ","10,892","53,798",0,"64,690",리스계약종료 후 차량매입 
,,,,,,,
배우자 ,자동차 ,"2009년식 에쿠스 배기량(3,778cc) 증가 ",0,"12,500",0,"12,500",신규 등록 
,,,,,,,
▶ 예금(소계) ,"6,031,151","864,471","1,099,544","5,796,078",,,
,,,,,,,
본인 ,,"미래에셋대우(주) 3(3 증가), 하나금융투자 12(12 증가), 신한은행 4,294,801(246,275 감소), 우리은행 92, KB증권 907(430 증가), 농협은행 5,455(30,264 감소), 씨티은행 245, 포항중앙 358(3 증가), (주)KEB하나은행 724,975(37,311 감소), 국민은행 2(2 증가), 오렌지라이프생명보험 375,655, 영일 106, (자)영진상호저축 9(9 증가), 유진투자증권 4(4 증가) ","5,716,011","721,380","1,034,767","5,402,624","정기예금 해약, 재예치, 이자및생활비지출등 "
,,,,,,,
배우자 ,,"포항중앙 297(3 증가), 하나금융투자 12(12 증가), 흥국생명보험 50,500(6,000 증가), 미래에셋대우(주) 127, 국민은행 18,709(2,449 감소), 삼성생명보험 109,167, 씨티은행 996, 우리은행 149,099(68,547 증가), 한화생명보험 22,881(2,270 증가), 신한생명보험 41,666(3,931 증가) ","315,140","143,091","64,777","393,454",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"355,153",0,"7,943","347,210",,,
,,,,,,,
본인 ,,"농협중앙회 347,210(7,943 감소) ","355,153",0,"7,943","347,210",정치자금 지출 등 
,,,,,,,
▶ 유가증권(소계) ,"4,208,859","2,820,000","2,830,192","4,198,667",,,
,,,,,,,
본인 ,상장주식 ,삼성증권 478주 ,"17,494",0,"2,437","15,057",평가액변동 및 주식발행인명 변경으로 인한 재등록 
,,,,,,,
본인 ,비상장주식 ,"스톨베르그&삼일 136,361주, 한국프로스퍼 0주(565,551주 감소), 호전 564,000주(564,000주 증가) ","4,191,365","2,820,000","2,827,755","4,183,610",
,,,,,,,
▶ 채무(소계) ,"124,868",0,"4,868","120,000",,,
,,,,,,,
본인 ,금융기관채무 ,"현대캐피탈 0(4,868 감소) ","4,868",0,"4,868",0,리스계약종료 
,,,,,,,
본인 ,건물임대채무 ,대구광역시 서구 비산동 임대보증금 ,"120,000",0,0,"120,000",변동없음 
,,,,,,,
▶ 회원권(소계) ,"95,950","39,000","1,000","133,950",,,
,,,,,,,
본인 ,콘도미니엄 ,(주)명성콘도미니움 ,"5,950",- ,- ,"5,950",변동없음 
,,,,,,,
본인 ,헬스 ,신라호텔피트니스 증가 ,0,"39,000",0,"39,000",신규 구입 
,,,,,,,
배우자 ,골프 ,경주 신라 컨트리클럽 감소 ,"90,000",0,"1,000","89,000",가액변동 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
모 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
장남 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
총계 ,"16,757,244","3,934,156","3,959,056","16,732,344","증 감 액 : -24,900천원 (가액변동: 169,503천원) ",,
,,,,,,,
