소속 ,국회 ,직위 ,국회의원 ,성명 ,김진태 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"70,069","2,526",0,"72,595",,,
,,,,,,,
본인 ,답 ,"강원도 양구군 남면 송우리 356번지 1,820.00m² 중 910.00m² ","10,010",455,0,"10,465",가액변동 
,,,,,,,
본인 ,답 ,"경상북도 성주군 선남면 신부리 164번지 4,810.00m² 중 2,071.00m² ","60,059","2,071",0,"62,130",가액변동 
,,,,,,,
▶ 건물(소계) ,"2,405,000","290,000",0,"2,695,000",,,
,,,,,,,
본인 ,아파트 ,서울특별시 강남구 대치동 선경아파트1차 건물 128.32m² 중 64.16m² ,"640,000","120,000",0,"760,000",가액변동 
,,,,,,,
본인 ,아파트 ,강원도 춘천시 동내면 거두리 성우오스타아파트 건물 84.99m² 중 42.50m² ,"112,500",0,0,"112,500",가액변동없음 
,,,,,,,
본인 ,사무실 전세(임차)권 ,강원도 춘천시 석사동 청인빌딩 4층 건물 277.00m² ,"50,000",0,0,"50,000",변동없음 
,,,,,,,
배우자 ,아파트 ,서울특별시 강남구 대치동 선경아파트 건물 128.32m² 중 64.16m² ,"640,000","120,000",0,"760,000",가액변동 
,,,,,,,
배우자 ,아파트 ,강원도 춘천시 동내면 거두리 성우오스타아파트 건물 84.99m² 중 42.50m² ,"112,500",0,0,"112,500",가액변동없음 
,,,,,,,
배우자 ,아파트 전세(임차)권 ,서울특별시 광진구 자양동 광진트라팰리스 건물 153.79m² ,"850,000","50,000",0,"900,000",보증금 증가 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"32,950",0,"4,820","28,130",,,
,,,,,,,
본인 ,자동차 ,"2009년식 제네시스 380 배기량(3,778cc) ","13,800",0,"2,340","11,460",가액변동 
,,,,,,,
본인 ,자동차 ,"2012년식 그랜드카니발리무진 배기량(3,470cc) ","19,150",0,"2,480","16,670",가액변동 
,,,,,,,
▶ 예금(소계) ,"1,274,493","670,507","665,857","1,279,143",,,
,,,,,,,
본인 ,,"새춘천신협 1,105, 중소기업은행 9, 신한은행 4,763(3,702 증가), 삼성생명보험 170,000, 새마을금고 465, 농협은행 9,283(7,381 감소), 춘천중부 11,000, 한화생명보험 30,000, 국민은행 18,675 (2,510 증가), (주)KEB하나은행 198,725(45,886 증가), 춘천신협 23(23 증가), 춘천와이신협 1,130(24 증가), 춘천와이신협 10, 교보생명보험 30,000, 스탠다드차타드은행 10, 안암동 17(1 증가) ","430,450","194,675","149,910","475,215",급여저축및생활비지출등 
,,,,,,,
배우자 ,,"(주)KEB하나은행 204,748(41,587 감소), 대신증권 2, 스탠다드차타드은행 1,535(1,141 증가), 강남대치 0(12 감소), 신한은행 410(395 증가), 삼성생명보험 203,772(320 증가), 우체국 1,315(791 증가), 메트라이프생명보험 60,097(3,215 증가), 우리은행 172, 한국산업은행 254,697(8,739 감소), 교보생명보험 10,000, 한국투자증권 1 ","781,225","452,708","497,184","736,749",급여저축및생활비지출등 
,,,,,,,
장남 ,,"신한은행 17(5 증가), 교보라이프플래닛생명보험 150(150 증가), (주)KEB하나은행 44,732(5,818 증가), 국민은행 0(3,311 감소), 안암동 17(1 증가) ","42,253","16,974","14,311","44,916",
,,,,,,,
차남 ,,"국민은행 0(2,472 감소), (주)KEB하나은행 22,235(4,170 증가), 안암동 16, 신한은행 12 ","20,565","6,150","4,452","22,263",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"126,749","101,843",0,"228,592",,,
,,,,,,,
본인 ,,"농협은행 228,592(101,843 증가) ","126,749","101,843",0,"228,592",후원금 증가 
,,,,,,,
▶ 채무(소계) ,"950,000",0,0,"950,000",,,
,,,,,,,
본인 ,건물임대채무 ,서울특별시 강남구 대치동 선경아파트1차 임대보증금 ,"950,000",0,0,"950,000",변동없음 
,,,,,,,
총계 ,"2,959,261","1,064,876","670,677","3,353,460","증 감 액 : 394,199천원 (가액변동: 237,706천원) ",,
,,,,,,,
