소속 ,국회 ,직위 ,국회의원 ,성명 ,김진표 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"448,160","13,280",0,"461,440",,,
,,,,,,,
본인 ,잡종지 ,경기도 안양시 동안구 비산동 547-32번지 160.00m² 중 80.00m² ,"224,080","6,640",0,"230,720",가액변동 
,,,,,,,
배우자 ,잡종지 ,경기도 안양시 동안구 비산동 547-32번지 160.00m² 중 80.00m² ,"224,080","6,640",0,"230,720",가액변동 
,,,,,,,
▶ 건물(소계) ,"1,312,000","700,000","240,000","1,772,000",,,
,,,,,,,
본인 ,아파트 ,서울특별시 강남구 도곡동 개포4차 우성 아파트 건물 153.70m² ,"1,072,000","200,000",0,"1,272,000",가액변동 
,,,,,,,
배우자 ,아파트 전세(임차)권 ,"경기도 수원시 영통구 영통동 삼성 래미안 아파트 건물 0.00m² (건물 164,395.00m² 감소) ","240,000",0,"240,000",0,거주지 변경 
,,,,,,,
배우자 ,아파트 전세(임차)권 ,경기도 수원시 영통구 망포동 그대가프리미어 건물 174.52m² (건물 174.52m² 증가) ,- ,"500,000",0,"500,000",거주지 변경 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"29,120",0,"5,690","23,430",,,
,,,,,,,
배우자 ,자동차 ,"2014년식 제네시스 배기량(3,342cc) ","29,120",0,"5,690","23,430",가액변동 
,,,,,,,
▶ 예금(소계) ,"718,209","25,998","371,470","372,737",,,
,,,,,,,
본인 ,,"상호저축은행중앙회 0(23,000 감소), 삼성생명보험 77,324, 중소기업은행 121, 우리은행 11,039(5,007 증가), 한국교직원공제회 37, 삼성증권 54,373(345,515 감소), KB증권 5, 신한금융투자(주) 8,066(34 증가), 농협은행 2,500(242 증가), 국민은행 31,271(227 감소), (주)KEB하나은행 4, (주)스카이저축은 11,000(11,000 증가) ","548,199","16,286","368,745","195,740",거주지 이전으로 인한 상향된 전세보증금 지출과기타지출등 
,,,,,,,
배우자 ,,"삼성화재해상보험 19,035(3,209 증가), KB증권 4, 삼성생명보험 92,095, 한화생명보험 50,700(3,600 증가), 우리은행 6,105(2,225 감소), 신한금융투자(주) 858(3 증가), 미래에셋생명보험 8,200(2,400 증가) ","170,010","9,712","2,725","176,997",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"126,454",0,"107,505","18,949",,,
,,,,,,,
본인 ,,"농협은행 18,949(107,505 감소) ","126,454",0,"107,505","18,949",정치자금 지출 
,,,,,,,
▶ 유가증권(소계) ,"28,536","10,884",320,"39,100",,,
,,,,,,,
본인 ,상장주식 ,"인트론바이오테크놀로지 200주, 바이로메드 120주 ","28,536","10,884",320,"39,100",평가액변동 
,,,,,,,
▶ 채무(소계) ,"853,000",0,0,"853,000",,,
,,,,,,,
본인 ,건물임대채무 ,서울특별시 강남구 도곡동 개포4차 우성 아파트 임대보증금 ,"850,000",0,0,"850,000",변동없음 
,,,,,,,
본인 ,토지임대채무 ,경기도 안양시 동안구 비산동 547-32번지 임대보증금 ,"3,000",0,0,"3,000",변동없음 
,,,,,,,
▶ 회원권(소계) ,"68,250",0,0,"68,250",,,
,,,,,,,
본인 ,콘도미니엄 ,용평리조트 ,"33,250",- ,- ,"33,250",변동없음 
,,,,,,,
본인 ,골프 ,용평버치힐컨트리클럽 ,"35,000",- ,- ,"35,000",변동없음 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
장남 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
총계 ,"1,877,729","750,162","724,985","1,902,906","증감액:25,177천원 (가액변동: 218,154천원) ",,
,,,,,,,
