소속 ,국회 ,직위 ,국회의원 ,성명 ,김철민 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"845,119","20,424",0,"865,543",,,
,,,,,,,
본인 ,유지 ,"경기도 시흥시 월곶동 520-359번지 14,234.00m² 중 2,846.80m² ","418,479","8,541",0,"427,020",가액변동 
,,,,,,,
배우자 ,전 ,"경기도 안산시 단원구 대부남동 583-1번지 1,768.00m² 중 1,652.89m² ","102,148","10,248",0,"112,396",가액변동 
,,,,,,,
배우자 ,대지 ,강원도 원주시 단구동 131-15번지 843.00m² ,"313,174","1,517",0,"314,691",가액변동 
,,,,,,,
배우자 ,임야 ,"강원도 영월군 무릉도원면 운학리 산 54번지 11,802.00m² ","11,318",118,0,"11,436",가액변동 
,,,,,,,
▶ 건물(소계) ,"1,848,344","250,116","19,000","2,079,460",,,
,,,,,,,
본인 ,근린생활시설 ,"경기도 시흥시 정왕동 한일프라자 대지 1,228.90m² 중 13.71m² 건물 34.30m² ","60,998",831,0,"61,829",가액변동 
,,,,,,,
본인 ,근린생활시설 ,경기도 시흥시 정왕동 대지 539.30m² 건물 689.13m² ,"1,202,387","234,675",0,"1,437,062",가액변동 
,,,,,,,
본인 ,근린생활시설 ,경기도 안산시 상록구 본오동 상림프라자 대지 849.60m² 중 7.39m² 건물 41.81m² 중 20.90m² ,"50,144","2,019",0,"52,163",가액변동 
,,,,,,,
본인 ,근린생활시설 ,경기도 안산시 상록구 본오동 상림프라자 대지 849.60m² 중 7.38m² 건물 41.81m² 중 20.90m² ,"50,103","2,060",0,"52,163",가액변동 
,,,,,,,
본인 ,근린생활시설 ,경기도 안산시 상록구 본오동 상림프라자 대지 849.60m² 중 8.98m² 건물 50.85m² 중 25.43m² ,"60,957","2,487",0,"63,444",가액변동 
,,,,,,,
본인 ,오피스텔 ,"경기도 안산시 상록구 이동 네스트빌 대지 1,137.50m² 중 10.84m² 건물 27.36m² ","61,755","3,044",0,"64,799",가액변동 
,,,,,,,
본인 ,근린생활시설 전세(임차)권 ,경기도 안산시 상록구 성포동 건물 98.40m² ,"15,000",0,0,"15,000",변동없음 
,,,,,,,
배우자 ,아파트 ,경기도 안산시 상록구 사동 선경아파트 건물 129.77m² ,"267,000",0,"19,000","248,000",가액변동 
,,,,,,,
배우자 ,아파트 전세(임차)권 ,"경기도 안산시 상록구 이동 푸르지오2차아파트 건물 30,732.00m² 중 151.00m² ","80,000",0,0,"80,000",변동없음 
,,,,,,,
장남 ,아파트 전세(임차)권 ,세종특별자치시 도담동 라온프라이빗시티1 건물 37.70m² (건물 37.70m² 증가) ,- ,"5,000",0,"5,000",전세계약금 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"28,000",0,"2,900","25,100",,,
,,,,,,,
배우자 ,자동차 ,"2017년식 쏘나타 배기량(1,998cc) ","28,000",0,"2,900","25,100",가액변동 
,,,,,,,
▶ 예금(소계) ,"168,673","60,902","1,849","227,726",,,
,,,,,,,
본인 ,,"미래에셋대우(주) 4, 신용협동조합중앙회 10,055(650 증가), 경기도건축사신협 16,102(519 증가), 농협은행 70,797(9,688 증가), 국민은행 1,709(1,519 증가), 웰컴저축은행 130(1 증가), 농협중앙회 525, 상록신협 1,775(36 증가), 오렌지라이프생명보험 5,850(5,850 증가), 교보증권 3 ","88,687","18,263",0,"106,950","급여저축,대여금(5천만원) 환수및생활비지출등 "
,,,,,,,
배우자 ,,"상록신협 77(2 증가), 삼성화재해상보험 3,213(562 증가), 현대해상화재보험 6,946(1,086 증가), 신한은행 7, 씨티은행 24,987(3,821 증가), 오렌지라이프생명보험 44,971(3,095 증가) ","71,635","8,566",0,"80,201",
,,,,,,,
장남 ,,"신한은행 8,451(7,246 증가), 현대해상화재보험 2,221(351 증가), 신한금융투자(주) 26,338(26,338 증가), 농협은행 783(93 감소) ","3,951","34,073",231,"37,793",
,,,,,,,
장녀 ,,"씨티은행 1,571(1,618 감소), 농협은행 11, 신한은행 1,200 ","4,400",0,"1,618","2,782",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"130,144","150,359",0,"280,503",,,
,,,,,,,
본인 ,,"국민은행 280,503(150,359 증가) ","130,144","150,359",0,"280,503",후원금 증가 
,,,,,,,
▶ 채권(소계) ,"800,000",0,"50,000","750,000",,,
,,,,,,,
본인 ,,사인간채권 감소 ,"800,000",0,"50,000","750,000",일부환수 
,,,,,,,
▶ 채무(소계) ,"1,832,521","6,831","12,860","1,826,492",,,
,,,,,,,
본인 ,금융기관채무 ,"신용협동조합중앙회 1,050,000, 메리츠캐피탈 49,661(12,860 감소) ","1,112,521",0,"12,860","1,099,661",리스료 상환 
,,,,,,,
본인 ,건물임대채무 ,경기도 시흥시 정왕동 한일프라자 임대보증금 ,"15,000",0,0,"15,000",변동없음 
,,,,,,,
본인 ,건물임대채무 ,경기도 안산시 상록구 이동 네스트빌 임대보증금 ,"5,000",0,0,"5,000",변동없음 
,,,,,,,
본인 ,건물임대채무 ,경기도 시흥시 정왕동 임대보증금 ,"100,000",0,0,"100,000",변동없음 
,,,,,,,
배우자 ,금융기관채무 ,"신용협동조합중앙회 300,000 ","300,000",0,0,"300,000",변동없음 
,,,,,,,
배우자 ,건물임대채무 ,경기도 안산시 상록구 사동 선경아파트 임대보증금 ,"300,000",0,0,"300,000",변동없음 
,,,,,,,
장남 ,금융기관채무 ,"농협은행 6,831(6,831 증가) ",0,"6,831",0,"6,831",전세계약금 대출 
,,,,,,,
총계 ,"1,987,759","474,970","60,889","2,401,840","증 감 액 : 414,081천원 (가액변동: 243,640천원) ",,
,,,,,,,
