소속 ,국회 ,직위 ,국회의원 ,성명 ,김태년 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"591,500","9,000","10,000","590,500",,,
,,,,,,,
본인 ,아파트 ,경기도 성남시 수정구 수진동 삼부아파트 건물 135.00m² 중 67.50m² ,"258,750",0,0,"258,750",변동없음 
,,,,,,,
배우자 ,아파트 ,경기도 성남시 수정구 수진동 삼부아파트 건물 135.00m² 중 67.50m² ,"258,750",0,0,"258,750",변동없음 
,,,,,,,
배우자 ,단독주택 전세(임차)권 ,서울특별시 동대문구 제기동 건물 0.00m² (건물 30.00m² 감소) ,"10,000",0,"10,000",0,장녀 자취 이사(계약만료) 
,,,,,,,
배우자 ,다가구주택 전세(임차)권 ,서울특별시 성북구 안암동5가 건물 18.00m² (건물 18.00m² 증가) ,- ,"5,000",0,"5,000",장녀 자취 보증금 
,,,,,,,
모 ,아파트 ,전라남도 순천시 덕암동 삼풍 백합아파트 건물 84.96m² ,"64,000","4,000",0,"68,000",가액변동 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"7,220","45,885","7,220","45,885",,,
,,,,,,,
본인 ,자동차 ,"2009년식 카니발 배기량(2,900cc) 감소 ","7,220",0,"7,220",0,차량매도 
,,,,,"-4,800",,
,,,,,,,
배우자 ,자동차 ,"2018년식 모하비 배기량(2,959cc) 증가 ",0,"45,665",0,"45,665",신차구입 
,,,,,,,
모 ,자동차 ,"2017년식 LF쏘나타2.0 배기량(1,999cc) 증가 ",0,220,0,220,추가신고(공동소유 1%) 
,,,,,,,
▶ 예금(소계) ,"284,373","87,346","25,491","346,228",,,
,,,,,,,
본인 ,,"푸르덴셜생명보험 26,170(1,637 증가), 주민신협 2,083(74 증가), 분당신협 888, 성남수정 10, 농협은행 1,345(850 감소), 한화생명보험 8,352, 국민은행 4,006(5 증가), (주)KEB하나은행 28, 성남중앙신협 1,568, 교보생명보험 42,009(6,462 증가) ","79,131","8,178",850,"86,459",급여저축및생활비지출등 
,,,,,,,
배우자 ,,"(주)KEB하나은행 1,912(513 증가), 주민신협 317(7 증가), DB손해보험(주) 980(260 증가), 흥국생명보험 38,115(5,940 증가), 국민은행 2,709(2,420 증가), 삼성생명보험 37,471(2,622 증가), 신한은행 13,770(13,696 증가), (주)KB손해보험 3,518(665 증가), 동양생명보험 17,313(3,582 증가), 한국카카오은행(주) 10(10 증가), 한화생명보험 22,053(2,629 증가), 우리은행 101, 농협은행 3,056(891 증가), 교보생명보험 75,707(13,326 증가) ","170,471","46,561",0,"217,032",
,,,,,,,
모 ,,"광주은행 7, 농협중앙회 1,004(1 증가), 수협중앙회 37,174(5,387 증가) ","32,797","30,001","24,613","38,185",
,,,,,,,
삼녀 ,,(주)KEB하나은행 939(1 증가) ,938,1,0,939,
,,,,,,,
장녀 ,,"국민은행 3(3 감소), 중소기업은행 0(25 감소), 주민신협 406(11 증가) ",426,11,28,409,
,,,,,,,
차녀 ,,"국민은행 804(713 증가), 교보생명보험 968(968 증가), 성남중앙신협 7, 한국카카오은행(주) 902(902 증가), 농협은행 117, 주민신협 406(11 증가) ",610,"2,594",0,"3,204",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"27,802","12,699",0,"40,501",,,
,,,,,,,
본인 ,,"농협은행 40,501(12,699 증가) ","27,802","12,699",0,"40,501",후원금증가로인한잔액변동 
,,,,,,,
▶ 채무(소계) ,"240,277","73,597","31,975","281,899",,,
,,,,,,,
본인 ,금융기관채무 ,"신용협동조합중앙회 20,000, 한국주택금융공사 157,343 (21,559 감소), (주)KEB하나은행 30,959(10,416 감소) ","240,277",0,"31,975","208,302",급여및예금으로상환 
,,,,,,,
배우자 ,금융기관채무 ,"흥국생명보험 10,000(10,000 증가), 현대캐피탈 15,187(15,187 증가), 농협은행 16,450(16,450 증가), 교보생명보험 31,960(31,960 증가) ",0,"73,597",0,"73,597","차량구입과 생활비, 교육비 대출등 "
,,,,,,,
총계 ,"670,618","81,333","10,736","741,215","증감액:70,597천원 (가액변동: 4,000천원) ",,
,,,,,,,
