소속 ,국회 ,직위 ,국회의원 ,성명 ,김태흠 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"61,225","4,181",0,"65,406",,,
,,,,,,,
본인 ,전 ,"충청남도 보령시 웅천읍 수부리 60번지 1,732.00m² ","22,862","1,386",0,"24,248",가액변동 
,,,,,,,
본인 ,전 ,"충청남도 보령시 웅천읍 수부리 61-1번지 2,565.00m² ","31,036","1,283",0,"32,319",가액변동 
,,,,,,,
본인 ,임야 ,충청남도 보령시 웅천읍 수부리 66-5번지 442.00m² ,"5,348",353,0,"5,701",가액변동 
,,,,,,,
본인 ,전 ,충청남도 보령시 웅천읍 수부리 61-5번지 197.00m² ,975,65,0,"1,040",가액변동 
,,,,,,,
본인 ,임야 ,충청남도 보령시 웅천읍 수부리 66-10번지 83.00m² ,"1,004",66,0,"1,070",가액변동 
,,,,,,,
본인 ,도로 ,충청남도 보령시 웅천읍 수부리 61-7번지 75.00m² (75.00m² 증가) ,- ,742,0,742,추가신고 
,,,,,,,
본인 ,도로 ,충청남도 보령시 웅천읍 수부리 66-8번지 4.00m² (4.00m² 증가) ,- ,39,0,39,추가신고 
,,,,,,,
본인 ,도로 ,충청남도 보령시 웅천읍 수부리 66-9번지 25.00m² (25.00m² 증가) ,- ,247,0,247,추가신고 
,,,,,,,
▶ 건물(소계) ,"784,700",400,0,"785,100",,,
,,,,,,,
본인 ,단독주택 ,충청남도 보령시 웅천읍 수부리 대지 895.00m² 건물 99.03m² ,"54,700",400,0,"55,100",가액변동 
,,,,,,,
배우자 ,단독주택 ,경기도 성남시 분당구 이매동 대지 279.28m² 건물 284.00m² ,"730,000",0,0,"730,000",
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"19,770",0,"3,130","16,640",,,
,,,,,,,
배우자 ,자동차 ,"2012년식 베라크루즈 배기량(3,000cc) ","19,770",0,"3,130","16,640",가액변동 
,,,,,,,
▶ 예금(소계) ,"134,587","25,520","22,991","137,116",,,
,,,,,,,
본인 ,,"삼성생명보험 18,176(2,652 증가), 농협은행 753(191 감소), 동양생명보험 38,453(4,084 증가) ","50,837","6,769",224,"57,382",급여저축 등 
,,,,,,,
배우자 ,,"케이디비생명보험 0(21,000 감소), 국민은행 11,883(11,631 증가), 메리츠화재해상보험 743(402 증가), 우체국 21,250(3,250 증가), 농협은행 648, 교보생명보험 38,901(2,986 증가), MG손해보험(주) 1,003(482 증가)","76,677","18,751","21,000","74,428",
,,,,,,,
,,,,,,,
모 ,,"농협중앙회 5,306(1,445 감소) ","6,751",0,"1,445","5,306",
,,,,,,,
장녀 ,,국민은행 0(202 감소) ,202,0,202,0,
,,,,,,,
장남 ,,국민은행 0(120 감소) ,120,0,120,0,
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"38,250",0,"9,741","28,509",,,
,,,,,,,
본인 ,,"농협은행 28,509(9,741 감소) ","38,250",0,"9,741","28,509",후원금 감소 
,,,,,,,
▶ 채무(소계) ,"159,630","33,592","16,280","176,942",,,
,,,,,,,
본인 ,금융기관채무 ,"농협은행 76,942(17,312 증가), 농협중앙회 100,000 ","159,630","33,592","16,280","176,942",가계자금 
,,,,,,,
총계 ,"878,902","-3,491","19,582","855,829","증 감 액 : -23,073천원 (가액변동: 423천원) ",,
,,,,,,,
